# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 10
# wmin : 300
# wmax : 15000
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
0.300      0.0187          12.1
0.305      0.0870          70.8
0.310      0.1953         149.2
0.315      0.2980         257.1
0.320      0.3551         317.1
0.325      0.4101         358.6
0.330      0.4768         488.1
0.335      0.5023         439.5
0.340      0.5230         440.5
0.345      0.5442         391.1
0.350      0.5641         427.0
0.355      0.5812         445.3
0.360      0.5957         403.7
0.365      0.6134         441.2
0.370      0.6286         480.7
0.375      0.6427         413.0
0.380      0.6550         456.3
0.385      0.6691         410.9
0.390      0.6815         480.5
0.395      0.6932         461.7
0.400      0.7043         649.1
0.405      0.7155         654.6
0.410      0.7261         619.4
0.415      0.7364         601.6
0.420      0.7460         587.8
0.425      0.7552         587.1
0.430      0.7641         471.3
0.435      0.7724         565.1
0.440      0.7801         597.8
0.445      0.7874         623.6
0.450      0.7948         656.4
0.455      0.8018         635.3
0.460      0.8076         633.4
0.465      0.8139         621.2
0.470      0.8191         611.0
0.475      0.8221         639.7
0.480      0.8264         645.1
0.485      0.8337         605.2
0.490      0.8388         616.1
0.495      0.8430         621.2
0.500      0.8454         589.5
0.505      0.8468         581.4
0.510      0.8517         584.3
0.515      0.8552         573.3
0.520      0.8578         586.4
0.525      0.8585         601.0
0.530      0.8584         588.3
0.535      0.8607         578.7
0.540      0.8636         550.3
0.545      0.8649         571.1
0.550      0.8668         579.3
0.555      0.8681         587.7
0.560      0.8677        1411.5
0.565      0.8662         580.9
0.570      0.8635         572.1
0.575      0.8621         581.2
0.580      0.8672         578.0
0.585      0.8752         606.3
0.590      0.8744         771.8
0.595      0.8754         616.7
0.600      0.8773         575.9
0.605      0.8801         569.2
0.610      0.8845         556.9
0.615      0.8889         571.9
0.620      0.8918         577.0
0.625      0.8931         640.1
0.630      0.8843        1220.0
0.635      0.9002         793.3
0.640      0.9067         543.8
0.645      0.9104         565.8
0.650      0.9112         581.5
0.655      0.9158         598.1
0.660      0.9202         560.8
0.665      0.9235         520.8
0.670      0.9265         500.5
0.675      0.9291         490.5
0.680      0.9314         484.2
0.685      0.8937         695.2
0.690      0.8494         508.6
0.695      0.9236         628.0
0.700      0.9335         523.1
0.705      0.9371         493.2
0.710      0.9409         475.0
0.715      0.9369         478.7
0.720      0.9045         438.6
0.725      0.9126         807.6
0.730      0.9224        1008.7
0.735      0.9427         978.5
0.740      0.9483         605.9
0.745      0.9510         621.5
0.750      0.9522         597.9
0.755      0.9537         758.2
0.760      0.6445         408.5
0.765      0.6643         406.5
0.770      0.9403         949.2
0.775      0.9563        1032.6
0.780      0.9572        1279.1
0.785      0.9577        1225.2
0.790      0.9550        1279.7
0.795      0.9566        1031.8
0.800      0.9572        1062.5
0.805      0.9582         928.1
0.810      0.9569         587.6
0.815      0.9213         526.1
0.820      0.9291         503.3
0.825      0.9258         505.6
0.830      0.9318        1504.8
0.835      0.9561        1622.4
0.840      0.9622        1477.0
0.845      0.9651        1755.0
0.850      0.9655         939.7
0.855      0.9662         821.0
0.860      0.9673         749.6
0.865      0.9682        1725.7
0.870      0.9688         836.9
0.875      0.9693        1704.3
0.880      0.9695        1432.0
0.885      0.9694        2846.9
0.890      0.9691        2849.0
0.895      0.9429        1750.7
0.900      0.8994        1256.0
0.905      0.9311         943.8
0.910      0.9139         733.6
0.915      0.9149         693.5
0.920      0.9339         606.6
0.925      0.9490         632.6
0.930      0.8367        1721.1
0.935      0.6415        1103.4
0.940      0.8002        2474.9
0.945      0.7388        1692.8
0.950      0.7700        2111.3
0.955      0.8007        1139.2
0.960      0.8462         752.9
0.965      0.8803         745.5
0.970      0.9471        2907.6
0.975      0.9237         915.1
0.980      0.9457        3755.6
0.985      0.9658        2868.4
0.990      0.9741        2959.7
0.995      0.9760        4686.7
1.000      0.9762        3317.4
1.005      0.9769        2174.3
1.010      0.9766        2169.0
1.015      0.9776        4627.8
1.020      0.9778        5395.2
1.025      0.9777        2059.6
1.030      0.9783        8957.8
1.035      0.9785        2146.1
1.040      0.9785        9481.0
1.045      0.9783        4299.9
1.050      0.9771        1252.6
1.055      0.9750        1842.9
1.060      0.9711        1257.6
1.065      0.9684         793.7
1.070      0.9714        3241.3
1.075      0.9757        6378.5
1.080      0.9764        1625.9
1.085      0.9731       11626.2
1.090      0.9755        2410.1
1.095      0.9667        7198.2
1.100      0.9550        7174.2
1.105      0.9441        4832.9
1.110      0.9129        2257.5
1.115      0.7567        1362.7
1.120      0.6841         406.7
1.125      0.6427         389.7
1.130      0.7299        3694.0
1.135      0.6233        4924.4
1.140      0.8000         758.9
1.145      0.7228       11465.5
1.150      0.7814         933.9
1.155      0.8071        7017.6
1.160      0.8780        6257.7
1.165      0.9364        6288.6
1.170      0.9531        3843.4
1.175      0.9521         976.0
1.180      0.9347        1403.5
1.185      0.9581         911.7
1.190      0.9510         436.4
1.195      0.9667        1027.3
1.200      0.9559        7761.7
1.205      0.9483        4750.9
1.210      0.9600        9107.0
1.215      0.9709        4887.7
1.220      0.9692        2505.2
1.225      0.9718        8330.1
1.230      0.9787        6771.8
1.235      0.9786        6863.0
1.240      0.9785        4005.0
1.245      0.9765         387.1
1.250      0.9717        2759.2
1.255      0.9590        3373.4
1.260      0.9342        6552.3
1.265      0.8810        5929.3
1.270      0.8548       18623.2
1.275      0.9320       13237.6
1.280      0.9639       12951.9
1.285      0.9765        2410.8
1.290      0.9766       11993.4
1.295      0.9730        1984.4
1.300      0.9704        7370.0
1.305      0.9490        2473.9
1.310      0.9434        6468.1
1.315      0.9217        5414.3
1.320      0.9122        1436.3
1.325      0.9050        2941.4
1.330      0.8208        1027.3
1.335      0.8288         599.5
1.340      0.8167         832.2
1.345      0.6994         284.0
1.350      0.3874         194.6
1.355      0.1776         140.3
1.360      0.0618          21.9
1.365      0.0901         412.4
1.370      0.0499         111.9
1.375      0.1744         205.4
1.380      0.1516         132.4
1.385      0.1072        1346.1
1.390      0.2230         705.3
1.395      0.1252          51.7
1.400      0.2135        4270.0
1.405      0.2075         467.5
1.410      0.2695        4915.3
1.415      0.3945       10707.2
1.420      0.3752        7281.9
1.425      0.4585         935.4
1.430      0.4397        1326.6
1.435      0.4974       15738.5
1.440      0.4980         952.9
1.445      0.5287        1218.4
1.450      0.5901       21778.0
1.455      0.7644        9301.7
1.460      0.7811       18443.8
1.465      0.6630        5087.2
1.470      0.6064       12310.0
1.475      0.7292        6751.0
1.480      0.6836       16577.7
1.485      0.7859       21027.8
1.490      0.8437       24355.3
1.495      0.8937        8515.9
1.500      0.9349        1852.3
1.505      0.9230       83446.3
1.510      0.9507        7000.1
1.515      0.9633        2443.8
1.520      0.9717       13810.3
1.525      0.9797       42384.6
1.530      0.9825       16145.4
1.535      0.9789       43264.9
1.540      0.9819       12410.6
1.545      0.9865       29542.4
1.550      0.9892       11454.1
1.555      0.9899       26041.3
1.560      0.9898       18168.6
1.565      0.9894       36414.6
1.570      0.9472        9369.6
1.575      0.9418        5109.5
1.580      0.9473        8901.9
1.585      0.9840       94828.2
1.590      0.9900        4160.3
1.595      0.9896       14120.8
1.600      0.9520         785.5
1.605      0.9423       42872.5
1.610      0.9431       16747.3
1.615      0.9782       45822.5
1.620      0.9883       13390.4
1.625      0.9892       31282.9
1.630      0.9873        9434.8
