# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 10
# wmin : 2500
# wmax : 15000
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
 2.500       0.6125      200922.0
 2.510       0.4709      306120.8
 2.520       0.2880      450390.7
 2.530       0.1397      600831.8
 2.540       0.0796      716147.8
 2.550       0.0288      824419.2
 2.560       0.0488      866491.4
 2.570       0.0017     1026937.3
 2.580       0.0002     1116564.0
 2.590       0.0000     1202700.9
 2.600       0.0000     1273058.9
 2.610       0.0000     1356885.1
 2.620       0.0000     1424713.1
 2.630       0.0000     1529040.1
 2.640       0.0030     1484986.2
 2.650       0.0017     1624364.6
 2.660       0.0000     1799770.8
 2.670       0.0000     1939380.7
 2.680       0.0000     2048202.5
 2.690       0.0000     2141141.0
 2.700       0.0000     2248929.9
 2.710       0.0000     2376008.3
 2.720       0.0000     2513055.6
 2.730       0.0005     2510709.5
 2.740       0.0000     2778664.4
 2.750       0.0000     2892956.6
 2.760       0.0000     3107342.4
 2.770       0.0000     3241903.6
 2.780       0.0000     3405296.2
 2.790       0.0003     3478466.3
 2.800       0.0007     3623691.1
 2.810       0.0060     3603264.0
 2.820       0.0150     3696484.4
 2.830       0.0837     3307635.8
 2.840       0.0957     3487328.7
 2.850       0.0618     3871764.2
 2.860       0.1724     3235173.9
 2.870       0.1924     3408316.7
 2.880       0.3643     2568464.1
 2.890       0.3553     2861501.4
 2.900       0.3903     3005197.6
 2.910       0.4612     2630405.8
 2.920       0.4300     3144398.4
 2.930       0.7291     1412251.9
 2.940       0.5404     2640393.7
 2.950       0.5478     2792895.7
 2.960       0.6859     1827845.6
 2.970       0.3667     4226195.3
 2.980       0.5235     3138513.9
 2.990       0.7730     1447764.6
 3.000       0.7071     2167679.6
 3.010       0.5865     3135015.7
 3.020       0.5394     3806324.4
 3.030       0.6937     2529925.1
 3.040       0.5113     4329109.8
 3.050       0.4144     5495235.2
 3.060       0.6052     3607934.1
 3.070       0.5542     4426583.4
 3.080       0.6227     3917474.6
 3.090       0.5594     4660578.4
 3.100       0.5453     4997397.1
 3.110       0.4474     6432574.4
 3.120       0.7403     3040791.4
 3.130       0.6045     4886070.9
 3.140       0.7275     3461878.4
 3.150       0.6638     4356604.9
 3.160       0.8187     2148452.3
 3.170       0.8583     1641916.4
 3.180       0.7552     2938792.9
 3.190       0.6488     5202974.5
