# author : Kieran Leschinski
# source : skycalc website
# date_created : 2019-07-24
# date_modified : 2019-07-24
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# action : transmission
# wavelength_unit : nm
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2019-07-24 (KL) Created file
#
wavelength  transmission    emission
0.7000      0.9325          71.79600
0.7010      0.9327          82.49900
0.7020      0.9340          45.95200
0.7030      0.9337          49.94300
0.7040      0.9366          81.34300
0.7050      0.9371          48.35100
0.7060      0.9388          82.26600
0.7070      0.9392          92.11200
0.7080      0.9395          4.8510 0
0.7090      0.9409          0.8700 0
0.7100      0.9409          55.16400
0.7110      0.9414          61.13200
0.7120      0.9420          54.67300
0.7130      0.9420          86.11700
0.7140      0.9418          73.10800
0.7150      0.9406          97.88800
0.7160      0.9404          71.86900
0.7170      0.9198          62.69100
0.7180      0.9022          73.31800
0.7190      0.8777          17.85200
0.7200      0.8926          30.00100
0.7210      0.9114          29.24500
0.7220      0.9388          49.33600
0.7230      0.9207          58.78900
0.7240      0.9031          306.8900
0.7250      0.9056          123.6100
0.7260      0.9196          49.58700
0.7270      0.9137          97.09600
0.7280      0.9110          579.3700
0.7290      0.9183          94.28600
0.7300      0.9311          58.70300
0.7310      0.9195          33.45100
0.7320      0.9323          281.4900
0.7330      0.9412          4.3940 0
0.7340      0.9429          459.8000
0.7350      0.9427          2.6420 0
0.7360      0.9436          89.84000
0.7370      0.9433          337.7100
0.7380      0.9472          79.97000
0.7390      0.9464          95.63200
0.7400      0.9485          26.87600
0.7410      0.9493          57.77600
0.7420      0.9500          75.29500
0.7430      0.9503          57.80500
0.7440      0.9508          10.54900
0.7450      0.9511          51.94900
0.7460      0.9512          94.86300
0.7470      0.9514          94.68800
0.7480      0.9516          97.62900
0.7490      0.9519          59.65600
0.7500      0.9522          26.41900
0.7510      0.9525          42.48900
0.7520      0.9528          65.00600
0.7530      0.9532          319.1100
0.7540      0.9534          3.5500 0
0.7550      0.9537          58.37900
0.7560      0.9540          94.04800
0.7570      0.9542          14.90000
0.7580      0.9545          98.03600
0.7590      0.9527          99.95600
0.7600      0.3905          43.24100
0.7610      0.2917          52.63700
0.7620      0.6855          85.97400
0.7630      0.4593          26.40700
0.7640      0.5883          5.5650 0
0.7650      0.6715          27.08100
0.7660      0.7664          84.64800
0.7670      0.8479          91.83400
0.7680      0.9149          49.71300
0.7690      0.9314          97.34600
0.7700      0.9466          79.46900
0.7710      0.9534          369.8000
0.7720      0.9550          747.3400
0.7730      0.9556          41.55800
0.7740      0.9560          2.2830 0
0.7750      0.9564          33.04000
0.7760      0.9566          170.2100
0.7770      0.9568          21.88000
0.7780      0.9569          78.72000
0.7790      0.9570          91.96000
0.7800      0.9572          676.1200
0.7810      0.9574          86.77900
0.7820      0.9576          62.44000
0.7830      0.9578          19.73800
0.7840      0.9579          40.37400
0.7850      0.9580          34.70300
0.7860      0.9581          634.0800
0.7870      0.9566          295.5400
0.7880      0.9564          88.56000
0.7890      0.9555          15.53700
0.7900      0.9523          62.69900
0.7910      0.9552          23.11000
0.7920      0.9556          106.6800
0.7930      0.9553          99.91000
0.7940      0.9594          35.43200
0.7950      0.9587          82.63400
0.7960      0.9546          79.03800
0.7970      0.9550          69.86000
0.7980      0.9588          184.3900
0.7990      0.9578          31.11500
0.8000      0.9565          98.72000
0.8010      0.9564          14.44700
0.8020      0.9566          86.66900
0.8030      0.9564          817.8000
0.8040      0.9572          18.15000
0.8050      0.9580          83.16500
0.8060      0.9599          23.82000
0.8070      0.9595          3.0770 0
0.8080      0.9600          35.24200
0.8090      0.9587          37.75800
0.8100      0.9574          99.48000
0.8110      0.9560          75.39500
0.8120      0.9524          95.74800
0.8130      0.9494          22.89300
0.8140      0.9265          76.47100
0.8150      0.9255          97.28700
0.8160      0.9001          66.85300
0.8170      0.9054          68.30700
0.8180      0.9043          65.62700
0.8190      0.9273          13.17000
0.8200      0.9142          16.78600
0.8210      0.9533          23.10500
0.8220      0.9468          7.8800 0
0.8230      0.8561          45.43200
0.8240      0.9417          22.30500
0.8250      0.9455          35.49800
0.8260      0.9367          13.04000
0.8270      0.9495          12.16200
0.8280      0.9132          733.5000
0.8290      0.9380          953.8300
0.8300      0.9379          267.9800
0.8310      0.9394          2.8300 0
0.8320      0.9306          63.01700
0.8330      0.9556          14.26300
0.8340      0.9481          64.62900
0.8350      0.9609          307.3500
0.8360      0.9540          763.3200
0.8370      0.9619          58.02500
0.8380      0.9600          440.4400
0.8390      0.9622          83.07800
0.8400      0.9630          291.4800
0.8410      0.9621          37.63300
0.8420      0.9635          532.6200
0.8430      0.9647          301.8600
0.8440      0.9639          93.90600
0.8450      0.9654          464.3200
0.8460      0.9655          87.10700
0.8470      0.9662          824.6900
0.8480      0.9655          3.8730 0
0.8490      0.9656          42.47200
0.8500      0.9659          277.3000
0.8510      0.9648          699.2400
0.8520      0.9656          84.67500
0.8530      0.9660          51.83600
0.8540      0.9655          520.1200
0.8550      0.9665          72.68000
0.8560      0.9662          48.34200
0.8570      0.9667          76.33400
0.8580      0.9668          59.10100
0.8590      0.9670          82.85000
0.8600      0.9674          41.79500
0.8610      0.9675          28.32500
0.8620      0.9677          38.13000
0.8630      0.9678          832.4800
0.8640      0.9681          468.3900
0.8650      0.9682          406.9400
0.8660      0.9683          21.06000
0.8670      0.9684          880.2700
0.8680      0.9686          306.9100
0.8690      0.9687          8.7860 0
0.8700      0.9688          57.47000
0.8710      0.9689          13.64500
0.8720      0.9691          83.30700
0.8730      0.9692          2.0340 0
0.8740      0.9692          27.10600
0.8750      0.9693          22.04300
0.8760      0.9694          203.3600
0.8770      0.9695          464.2900
0.8780      0.9695          722.0200
0.8790      0.9696          543.9500
0.8800      0.9697          88.00400
0.8810      0.9694          24.48400
0.8820      0.9694          78.47000
0.8830      0.9697          777.4500
0.8840      0.9697          214.5200
0.8850      0.9697          356.4000
0.8860      0.9687          49.07900
0.8870      0.9694          233.6800
0.8880      0.9684          81.94800
0.8890      0.9703          49.04000
0.8900      0.9688          67.58000
0.8910      0.9697          534.7700
0.8920      0.9681          409.9700
0.8930      0.9635          37.55000
0.8940      0.9603          55.89100
0.8950      0.9517          157.2000
0.8960      0.9345          537.9300
0.8970      0.9045          62.65200
0.8980      0.9197          97.18000
0.8990      0.8460          687.4800
0.9000      0.9240          758.6800
0.9010      0.8951          38.00000
0.9020      0.9128          1.2960 0
0.9030      0.9016          3.0260 0
0.9040      0.9612          131.3800
0.9050      0.9548          667.6400
0.9060      0.9416          8.5720 0
0.9070      0.8963          7.9920 0
0.9080      0.9056          60.05900
0.9090      0.9154          10.97500
0.9100      0.9075          24.99000
0.9110      0.9230          15.45300
0.9120      0.9184          56.91100
0.9130      0.9096          51.71800
0.9140      0.9014          88.21600
0.9150      0.9368          0.3860 0
0.9160      0.8837          54.38100
0.9170      0.9434          73.84300
0.9180      0.8950          49.07600
0.9190      0.9393          70.89100
0.9200      0.9395          73.08500
0.9210      0.9574          95.25200
0.9220      0.9386          48.65400
0.9230      0.9554          51.21000
0.9240      0.9447          74.22100
0.9250      0.9378          71.18100
0.9260      0.9474          78.47700
0.9270      0.9599          87.73100
0.9280      0.9101          57.66000
0.9290      0.9034          55.01700
0.9300      0.8385          14.83400
0.9310      0.8015          18.11000
0.9320      0.7320          963.6400
0.9330      0.6919          219.0100
0.9340      0.6420          164.1800
0.9350      0.6529          99.73300
0.9360      0.5914          55.82900
0.9370      0.6297          79.95800
0.9380      0.6831          357.1000
0.9390      0.8112          31.15800
0.9400      0.8648          563.8100
0.9410      0.8180          96.40500
0.9420      0.8259          225.8300
0.9430      0.6929          19.00500
0.9440      0.7121          714.6800
0.9450      0.8083          88.90100
0.9460      0.6576          231.9200
0.9470      0.8253          8.6380 0
0.9480      0.7077          595.1300
0.9490      0.8950          48.55800
0.9500      0.6050          67.55700
0.9510      0.9196          124.9000
0.9520      0.7303          925.0100
0.9530      0.7974          88.78100
0.9540      0.8486          20.93500
0.9550      0.8078          96.91800
0.9560      0.7892          497.7300
0.9570      0.7609          693.9500
0.9580      0.8449          23.84500
0.9590      0.8215          9.2010 0
0.9600      0.8544          30.60800
0.9610      0.8588          1.9200 0
0.9620      0.8516          199.8600
0.9630      0.8792          47.75700
0.9640      0.8663          40.18800
0.9650      0.8786          52.29100
0.9660      0.8920          37.13400
0.9670      0.8855          350.0900
0.9680      0.9343          638.3200
0.9690      0.9555          445.7200
0.9700      0.9372          802.6100
0.9710      0.9625          947.9000
0.9720      0.9458          705.4500
0.9730      0.9342          89.87800
0.9740      0.9210          127.3100
0.9750      0.9116          87.98800
0.9760      0.9135          78.12200
0.9770      0.9381          94.89800
0.9780      0.9416          97.68400
0.9790      0.9351          928.3000
0.9800      0.9258          626.2800
0.9810      0.9650          986.9800
0.9820      0.9613          40.44800
0.9830      0.9508          78.88300
0.9840      0.9730          22.55300
0.9850      0.9587          171.9400
0.9860      0.9740          24.33100
0.9870      0.9725          944.7900
0.9880      0.9711          36.89600
0.9890      0.9758          30.26800
0.9900      0.9722          686.2800
0.9910      0.9754          27.65700
0.9920      0.9760          221.4800
0.9930      0.9738          29.33100
0.9940      0.9762          540.3600
0.9950      0.9768          884.9400
0.9960      0.9766          743.8000
0.9970      0.9767          34.42900
0.9980      0.9768          803.0400
0.9990      0.9768          35.35500
1.0000      0.9760          1830.980
1.0010      0.9770          1432.010
1.0020      0.9743          10885.80
1.0030      0.9769          3659.040
1.0040      0.9762          747.5590
1.0050      0.9774          1816.870
1.0060      0.9768          2719.090
1.0070      0.9772          1931.740
1.0080      0.9766          640.0340
1.0090      0.9762          5973.470
1.0100      0.9756          771.9680
1.0110      0.9776          2812.130
1.0120      0.9769          645.9660
1.0130      0.9777          7195.770
1.0140      0.9777          781.5870
1.0150      0.9778          1193.110
1.0160      0.9775          4191.820
1.0170      0.9775          9776.900
1.0180      0.9782          2767.920
1.0190      0.9767          8325.840
1.0200      0.9781          695.8260
1.0210      0.9781          14536.20
1.0220      0.9778          650.1950
1.0230      0.9777          6993.600
1.0240      0.9765          652.1360
1.0250      0.9783          654.3300
1.0260      0.9780          654.8030
1.0270      0.9782          1341.920
1.0280      0.9780          656.7710
1.0290      0.9780          29415.50
1.0300      0.9785          10230.00
1.0310      0.9783          3830.440
1.0320      0.9786          659.0310
1.0330      0.9785          1574.760
1.0340      0.9786          950.0880
1.0350      0.9787          6290.000
1.0360      0.9786          1225.220
1.0370      0.9783          693.5140
1.0380      0.9785          18736.80
1.0390      0.9785          696.8720
1.0400      0.9785          7448.330
1.0410      0.9784          715.7280
1.0420      0.9785          19807.70
