# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 1
# wmin : 300
# wmax : 1100
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
0.300       0.0187         12.1
0.301       0.0270         17.2
0.302       0.0368         24.8
0.303       0.0533         40.0
0.304       0.0639         52.1
0.305       0.0870         70.8
0.306       0.1031         82.0
0.307       0.1239         98.8
0.308       0.1453        120.3
0.309       0.1608        124.8
0.310       0.1953        149.2
0.311       0.2104        182.3
0.312       0.2339        208.5
0.313       0.2576        222.3
0.314       0.2670        240.0
0.315       0.2980        283.3
0.316       0.3061        246.0
0.317       0.3294        282.6
0.318       0.3361        290.8
0.319       0.3713        305.3
0.320       0.3551        305.3
0.321       0.3994        381.0
0.322       0.3848        331.1
0.323       0.4007        311.5
0.324       0.4343        345.9
0.325       0.4101        351.0
0.326       0.4404        426.6
0.327       0.4548        457.8
0.328       0.4352        415.8
0.329       0.4682        457.0
0.330       0.4768        509.2
0.331       0.4665        456.0
0.332       0.4851        442.7
0.333       0.4916        438.6
0.334       0.4867        418.2
0.335       0.5023        430.9
0.336       0.5087        409.3
0.337       0.5085        411.9
0.338       0.5135        437.1
0.339       0.5214        425.5
0.340       0.5230        429.9
0.341       0.5280        427.6
0.342       0.5335        427.8
0.343       0.5370        429.3
0.344       0.5373        400.3
0.345       0.5442        395.7
0.346       0.5490        428.7
0.347       0.5532        401.4
0.348       0.5566        434.4
0.349       0.5607        427.2
0.350       0.5641        418.8
0.351       0.5677        431.5
0.352       0.5705        400.7
0.353       0.5744        395.8
0.354       0.5780        430.4
0.355       0.5812        459.9
0.356       0.5844        441.9
0.357       0.5872        372.8
0.358       0.5902        330.2
0.359       0.5930        345.6
0.360       0.5957        397.3
0.361       0.5989        383.0
0.362       0.6028        411.6
0.363       0.6067        425.6
0.364       0.6102        434.1
0.365       0.6135        435.4
0.366       0.6167        467.9
0.367       0.6197        481.1
0.368       0.6227        460.4
0.369       0.6257        460.1
0.370       0.6286        492.8
0.371       0.6315        472.4
0.372       0.6344        456.9
0.373       0.6372        418.4
0.374       0.6400        422.0
0.375       0.6427        411.1
0.376       0.6454        440.2
0.377       0.6479        467.6
0.378       0.6503        516.2
0.379       0.6525        489.1
0.380       0.6550        452.5
0.381       0.6577        457.4
0.382       0.6608        420.1
0.383       0.6638        357.5
0.384       0.6665        357.4
0.385       0.6692        413.3
0.386       0.6717        407.1
0.387       0.6742        403.6
0.388       0.6767        401.7
0.389       0.6791        427.1
0.390       0.6815        468.1
0.391       0.6839        530.9
0.392       0.6863        492.2
0.393       0.6886        366.6
0.394       0.6909        337.8
0.395       0.6932        469.8
0.396       0.6955        459.9
0.397       0.6977        368.6
0.398       0.6999        476.6
0.399       0.7021        613.7
0.400       0.7043        640.6
0.401       0.7066        668.8
0.402       0.7088        682.8
0.403       0.7111        668.4
0.404       0.7133        646.9
0.405       0.7155        662.6
0.406       0.7177        645.9
0.407       0.7198        627.3
0.408       0.7220        649.1
0.409       0.7241        661.1
0.410       0.7261        619.8
0.411       0.7282        599.6
0.412       0.7303        655.5
0.413       0.7323        632.6
0.414       0.7344        606.4
0.415       0.7364        589.3
0.416       0.7383        616.8
0.417       0.7403        633.6
0.418       0.7422        580.5
0.419       0.7441        582.0
0.420       0.7460        586.0
0.421       0.7479        599.7
0.422       0.7498        580.2
0.423       0.7516        555.7
0.424       0.7534        584.2
0.425       0.7552        593.8
0.426       0.7570        571.7
0.427       0.7588        556.5
0.428       0.7606        535.0
0.429       0.7623        529.0
0.430       0.7641        471.0
0.431       0.7658        467.8
0.432       0.7674        572.2
0.433       0.7690        561.6
0.434       0.7707        572.3
0.435       0.7724        563.7
0.436       0.7740        595.5
0.437       0.7756        621.9
0.438       0.7772        571.9
0.439       0.7787        557.6
0.440       0.7801        594.4
0.441       0.7816        617.8
0.442       0.7830        645.1
0.443       0.7843        637.5
0.444       0.7859        628.7
0.445       0.7874        624.7
0.446       0.7889        604.2
0.447       0.7904        631.6
0.448       0.7919        652.1
0.449       0.7934        637.2
0.450       0.7948        655.5
