# date_created : 2023-03-21
# location : Sidling spring
# wavelength_unit : nm
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# action : transmission
# Details : http://www.gemini.edu/sciops/ObsProcess/obsConstraints/atm-models/trans_30_10.dat
#
wavelength transmission emission
1161.0 0.924793 0.1
1161.5 0.939469 0.1
1162.0 0.935235 0.1
1162.5 0.940330 0.1
1163.0 0.967153 0.1
1163.5 0.963672 0.1
1164.0 0.962931 0.1
1164.5 0.968273 0.1
1165.0 0.949592 0.1
1165.5 0.934222 0.1
1166.0 0.940428 0.1
1166.5 0.953383 0.1
1167.0 0.959292 0.1
1167.5 0.968087 0.1
1168.0 0.967105 0.1
1168.5 0.966740 0.1
1169.0 0.973188 0.1
1169.5 0.975666 0.1
1170.0 0.976777 0.1
1170.5 0.970486 0.1
1171.0 0.971351 0.1
1171.5 0.978771 0.1
1172.0 0.974734 0.1
1172.5 0.969387 0.1
1173.0 0.968874 0.1
1173.5 0.950085 0.1
1174.0 0.926160 0.1
1174.5 0.950492 0.1
1175.0 0.970293 0.1
1175.5 0.969632 0.1
1176.0 0.985673 0.1
1176.5 0.992625 0.1
1177.0 0.976347 0.1
1177.5 0.939686 0.1
1178.0 0.939704 0.1
1178.5 0.967125 0.1
1179.0 0.977988 0.1
1179.5 0.963961 0.1
1180.0 0.970498 0.1
1180.5 0.984841 0.1
1181.0 0.973231 0.1
1181.5 0.931265 0.1
1182.0 0.901812 0.1
1182.5 0.940128 0.1
1183.0 0.97894 0.1
1183.5 0.983834 0.1
1184.0 0.963308 0.1
1184.5 0.942425 0.1
1185.0 0.948056 0.1
1185.5 0.974568 0.1
1186.0 0.985875 0.1
1186.5 0.981767 0.1
1187.0 0.971953 0.1
1187.5 0.946152 0.1
1188.0 0.927766 0.1
1188.5 0.942206 0.1
1189.0 0.966158 0.1
1189.5 0.97845 0.1
1190.0 0.98131 0.1
1190.5 0.975805 0.1
1191.0 0.976528 0.1
1191.5 0.981461 0.1
1192.0 0.98515 0.1
1192.5 0.989246 0.1
1193.0 0.980573 0.1
1193.5 0.969614 0.1
1194.0 0.980815 0.1
1194.5 0.985875 0.1
1195.0 0.979645 0.1
1195.5 0.975587 0.1
1196.0 0.978874 0.1
1196.5 0.984236 0.1
1197.0 0.983552 0.1
1197.5 0.974215 0.1
1198.0 0.976686 0.1
1198.5 0.965804 0.1
1199.0 0.953592 0.1
1199.5 0.969139 0.1
1200.0 0.979289 0.1
1200.5 0.977727 0.1
1201.0 0.973854 0.1
1201.5 0.96744 0.1
1202.0 0.96946 0.1
1202.5 0.98217 0.1
1203.0 0.974242 0.1
1203.5 0.938635 0.1
1204.0 0.931655 0.1
1204.5 0.961394 0.1
1205.0 0.96694 0.1
1205.5 0.979921 0.1
1206.0 0.988763 0.1
1206.5 0.981954 0.1
1207.0 0.975657 0.1
1207.5 0.97462 0.1
1208.0 0.974888 0.1
1208.5 0.976584 0.1
1209.0 0.974079 0.1
1209.5 0.975023 0.1
1210.0 0.980829 0.1
1210.5 0.988011 0.1
1211.0 0.979813 0.1
1211.5 0.970395 0.1
1212.0 0.975829 0.1
1212.5 0.981656 0.1
1213.0 0.989676 0.1
1213.5 0.989908 0.1
1214.0 0.981482 0.1
1214.5 0.97762 0.1
1215.0 0.979185 0.1
1215.5 0.985892 0.1
1216.0 0.991672 0.1
1216.5 0.988323 0.1
1217.0 0.988118 0.1
1217.5 0.992453 0.1
1218.0 0.990045 0.1
1218.5 0.988053 0.1
1219.0 0.985249 0.1
1219.5 0.986161 0.1
1220.0 0.988808 0.1
1220.5 0.991329 0.1
1221.0 0.991927 0.1
1221.5 0.985437 0.1
1222.0 0.984916 0.1
1222.5 0.98675 0.1
1223.0 0.98793 0.1
1223.5 0.988101 0.1
1224.0 0.989341 0.1
1224.5 0.992705 0.1
1225.0 0.993683 0.1
1225.5 0.99338 0.1
1226.0 0.994528 0.1
1226.5 0.992313 0.1
1227.0 0.988305 0.1
1227.5 0.991586 0.1
1228.0 0.996353 0.1
1228.5 0.99734 0.1
1229.0 0.996037 0.1
1229.5 0.995 0.1
1230.0 0.996146 0.1
1230.5 0.998058 0.1
1231.0 0.998798 0.1
1231.5 0.998681 0.1
1232.0 0.99861 0.1
1232.5 0.997529 0.1
1233.0 0.996024 0.1
1233.5 0.996784 0.1
1234.0 0.998865 0.1
1234.5 0.999455 0.1
1235.0 0.999224 0.1
1235.5 0.999201 0.1
1236.0 0.999391 0.1
1236.5 0.998944 0.1
1237.0 0.998798 0.1
1237.5 0.999424 0.1
1238.0 0.999618 0.1
1238.5 0.999606 0.1
1239.0 0.999781 0.1
1239.5 0.99993 0.1
1240.0 0.999797 0.1
1240.5 0.999385 0.1
1241.0 0.99935 0.1
1241.5 0.999734 0.1
1242.0 0.999924 0.1
1242.5 0.999974 0.1
1243.0 0.999987 0.1
1243.5 0.999939 0.1
1244.0 0.999773 0.1
1244.5 0.999739 0.1
1245.0 0.999856 0.1
1245.5 0.999907 0.1
1246.0 0.999909 0.1
1246.5 0.999764 0.1
1247.0 0.999769 0.1
1247.5 0.999678 0.1
1248.0 0.999199 0.1
1248.5 0.999371 0.1
1249.0 0.999458 0.1
1249.5 0.998813 0.1
1250.0 0.999102 0.1
1250.5 0.999015 0.1
1251.0 0.997745 0.1
1251.5 0.998324 0.1
1252.0 0.99845 0.1
1252.5 0.996314 0.1
1253.0 0.997153 0.1
1253.5 0.997924 0.1
1254.0 0.994379 0.1
1254.5 0.994844 0.1
1255.0 0.997322 0.1
1255.5 0.993264 0.1
1256.0 0.992223 0.1
1256.5 0.996706 0.1
1257.0 0.993291 0.1
1257.5 0.988848 0.1
1258.0 0.994142 0.1
1258.5 0.993098 0.1
1259.0 0.984481 0.1
1259.5 0.986507 0.1
