# source : Generic_Bessell.I SVO
# wavelength_unit : angstrom
# download_date : 2020-05-23
wavelength transmission
14900.0 0.90802
14905.0 0.958796
14910.0 0.913225
14915.0 0.849135
14920.0 0.884093
14925.0 0.915954
14930.0 0.928744
14935.0 0.949936
14940.0 0.945656
14945.0 0.927238
14950.0 0.900331
14955.0 0.895292
14960.0 0.898208
14965.0 0.900709
14970.0 0.943867
14975.0 0.955807
14980.0 0.932836
14985.0 0.944357
14990.0 0.954788
14995.0 0.954577
15000.0 0.970904
15005.0 0.985127
15009.9 0.986479
15015.0 0.973983
15020.0 0.96211
15025.0 0.957062
15029.9 0.942257
15035.0 0.916619
15040.0 0.893669
15045.0 0.906644
15049.9 0.93975
15055.0 0.973944
15060.0 0.987869
15065.0 0.993428
15069.9 0.986808
15075.0 0.981119
15080.0 0.964471
15085.0 0.927070
15089.9 0.928636
15095.0 0.970236
15100.0 0.986694
15105.0 0.985894
15109.9 0.986642
15115.0 0.989801
15120.0 0.987493
15125.0 0.978365
15129.9 0.976059
15135.0 0.97338
15140.0 0.971952
15145.0 0.980061
15149.9 0.987342
15155.0 0.991995
15160.0 0.985098
15165.0 0.977038
15169.9 0.977478
15175.0 0.978418
15180.0 0.983991
15185.0 0.984922
15189.9 0.980764
15195.0 0.985204
15200.0 0.990749
15205.0 0.992445
15209.9 0.99613
15215.0 0.994892
15220.0 0.993991
15225.0 0.997639
15230.0 0.998183
15235.0 0.996923
15240.0 0.995911
15245.0 0.992753
15250.0 0.992698
15255.0 0.992474
15260.0 0.991742
15265.0 0.991178
15270.0 0.990807
15275.0 0.993021
15280.0 0.996219
15285.0 0.996003
15290.0 0.995775
15295.0 0.995845
15300.0 0.995311
15305.0 0.995772
15310.0 0.994481
15315.0 0.993689
15320.0 0.996246
15325.0 0.996974
15330.0 0.996282
15335.0 0.995132
15340.0 0.993863
15345.0 0.992836
15350.0 0.991561
15355.0 0.992123
15360.0 0.993688
15365.0 0.994914
15370.0 0.99542
15375.0 0.996934
15380.0 0.998167
15385.0 0.9973
15390.0 0.995481
15395.0 0.994804
15400.0 0.995068
15405.0 0.994998
15410.0 0.995093
15415.0 0.995186
15420.0 0.995262
15425.0 0.996167
15430.0 0.997174
15435.0 0.997792
15440.0 0.997405
15445.0 0.997537
15450.0 0.998712
15455.0 0.998904
15460.0 0.998787
15465.0 0.999114
15470.0 0.999524
15475.0 0.99966
15480.0 0.999717
15485.0 0.999892
15490.0 0.999952
15495.0 0.999882
15500.0 0.999877
15505.0 0.999828
15510.0 0.999648
15515.0 0.999403
15520.0 0.999029
15525.0 0.999389
15530.0 0.999835
15535.0 0.9999
15540.0 0.999712
15545.0 0.99966
15550.0 0.999874
15555.0 0.999949
15560.0 0.999817
15565.0 0.999734
15570.0 0.999882
15575.0 0.99994
15580.0 0.999821
15585.0 0.999696
15590.0 0.99973
15595.0 0.999773
15600.0 0.999786
15605.0 0.999804
15610.0 0.999806
15615.0 0.999774
15620.0 0.999318
15625.0 0.999153
15630.0 0.999566
15634.9 0.999677
15640.0 0.999438
15645.0 0.999379
15650.0 0.999713
15654.9 0.99973
15660.0 0.999565
15665.0 0.999507
15670.0 0.999153
15674.9 0.998277
15680.0 0.996639
15685.0 0.993974
15690.0 0.989486
15694.9 0.98305
