# description : ELT telescope throughput vs. wavelength for the M1->M5.
# author : R. Holzloehner
# source : See ESO-306070 and ESO-293390 for background.
# date_created : 2018-09-18
# date_modified : 2021-12-01
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# notes :
#   - Baseline coatings.
#   - Dust contaminated coatings.
#   - 4nm roughness modeled.
#   - Partly based on measured data by Tom Schneider (Gemini).
#   - Reflection is for the combined M1-M5 system, not for individual mirrors
#   - Reflection reduced for contamination by 11.7 per cent as in ESO-253082_4, sect 4.11
#   - Emissivity is calculated from ESO-253082_4, sect 4.12.2
# changes :
#   - 2019-11-06 (KL) Converted from .xlsx to .dat file, added ScopeSim meta data
#   - 2020-07-09 (KL) Added inner and outer dimensions to meta, for use with MICADO-Sci
#   - 2020-08-17 (KL) Added emissivity column according to ESO-253082_4, sect 4.12.2
#   - 2021-12-01 (OC) Reflectivity reduced by 11.7 per cent
#
wavelength  reflection  emissivity
     0.300      0.0001      1.1199
     0.305      0.0000      1.1200
     0.310      0.0000      1.1200
     0.315      0.0000      1.1200
     0.320      0.0000      1.1200
     0.325      0.0001      1.1199
     0.330      0.0060      1.1132
     0.335      0.0362      1.0790
     0.340      0.0811      1.0282
     0.345      0.1258      0.9775
     0.350      0.1652      0.9329
     0.355      0.1998      0.8937
     0.360      0.2277      0.8621
     0.365      0.2559      0.8302
     0.370      0.2803      0.8026
     0.375      0.3029      0.7770
     0.380      0.3256      0.7513
     0.385      0.3453      0.7290
     0.390      0.3647      0.7070
     0.395      0.3829      0.6864
     0.400      0.4019      0.6649
     0.405      0.4178      0.6468
     0.410      0.4333      0.6293
     0.415      0.4491      0.6114
     0.420      0.4618      0.5970
     0.425      0.4750      0.5821
     0.430      0.4868      0.5687
     0.435      0.4974      0.5567
     0.440      0.5085      0.5441
     0.445      0.5183      0.5330
     0.450      0.5268      0.5234
     0.455      0.5349      0.5142
     0.460      0.5426      0.5055
     0.465      0.5486      0.4987
     0.470      0.5555      0.4909
     0.475      0.5614      0.4842
     0.480      0.5696      0.4749
     0.485      0.5744      0.4695
     0.490      0.5785      0.4648
     0.495      0.5846      0.4579
     0.500      0.5884      0.4536
     0.505      0.5958      0.4453
     0.510      0.5982      0.4425
     0.515      0.6023      0.4379
