# description : ELT telescope throughput vs. wavelength for the M1->M5.
# author : R. Holzloehner
# source : See ESO-306070 and ESO-293390 for background.
# date_created : 2018-09-18
# date_modified : 2019-06-11
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# notes :
#   - Baseline coatings.
#   - Fresh coatings without contamination.
#   - 4nm roughness modeled.
#   - Partly based on measured data by Tom Schneider (Gemini).
#   - Reflection is for the combined M1-M5 system, not for individual mirrors
#   - Emissivity is calculated from ESO-253082_4, sect 4.12.2
# changes :
#   - 2019-11-06 (KL) Converted from .xlsx to .dat file, added ScopeSim meta data
#   - 2020-07-09 (KL) Added inner and outer dimensions to meta, for use with MICADO-Sci
#   - 2020-08-17 (KL) Added emissivity column according to ESO-253082_4, sect 4.12.2
#
wavelength      reflection  emissivity
0.300           0.0001      1.1199
0.305           0.0000      1.1200
0.310           0.0000      1.1200
0.315           0.0000      1.1200
0.320           0.0000      1.1200
0.325           0.0001      1.1199
0.330           0.0068      1.1132
0.335           0.0410      1.0790
0.340           0.0918      1.0282
0.345           0.1425      0.9775
0.350           0.1871      0.9329
0.355           0.2263      0.8937
0.360           0.2579      0.8621
0.365           0.2898      0.8302
0.370           0.3174      0.8026
0.375           0.3430      0.7770
0.380           0.3687      0.7513
0.385           0.3910      0.7290
0.390           0.4130      0.7070
0.395           0.4336      0.6864
0.400           0.4551      0.6649
0.405           0.4732      0.6468
0.410           0.4907      0.6293
0.415           0.5086      0.6114
0.420           0.5230      0.5970
0.425           0.5379      0.5821
0.430           0.5513      0.5687
0.435           0.5633      0.5567
0.440           0.5759      0.5441
0.445           0.5870      0.5330
0.450           0.5966      0.5234
0.455           0.6058      0.5142
0.460           0.6145      0.5055
0.465           0.6213      0.4987
0.470           0.6291      0.4909
0.475           0.6358      0.4842
0.480           0.6451      0.4749
0.485           0.6505      0.4695
0.490           0.6552      0.4648
0.495           0.6621      0.4579
0.500           0.6664      0.4536
0.505           0.6747      0.4453
0.510           0.6775      0.4425
0.515           0.6821      0.4379
0.520           0.6875      0.4325
0.525           0.6903      0.4297
0.530           0.6943      0.4257
0.535           0.7002      0.4198
0.540           0.7032      0.4168
0.545           0.7063      0.4137
0.550           0.7102      0.4098
0.555           0.7146      0.4054
0.560           0.7141      0.4059
