# author : ERIS package
# source : Davies et al. 2023 A&A 674 A207
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : window:transmission
# status : development
# description : ERIS IR-VIS dichroic. Transmits NIR to science instruments, reflects VIS to WFS
# wavelength_unit : um
# changes :
# - 2026-04-15 Created for ERIS package. Estimated from optical design
wavelength  transmission  reflection  emissivity
0.30        0.00          0.95        0.05
0.60        0.05          0.90        0.05
0.70        0.20          0.75        0.05
0.80        0.70          0.25        0.05
0.85        0.90          0.05        0.05
0.90        0.95          0.02        0.03
1.00        0.95          0.02        0.03
2.00        0.95          0.02        0.03
3.00        0.95          0.02        0.03
4.00        0.95          0.02        0.03
5.00        0.95          0.02        0.03
6.00        0.95          0.02        0.03
