# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.Br-a-cont
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Br-a-cont filter transmission curve
# wavelength_unit : um
wavelength  transmission
3.845300  0.000900
3.846010  0.000700
3.846720  0.000600
3.847430  0.000600
3.848150  0.000600
3.848860  0.000700
3.849580  0.000800
3.850290  0.000900
3.851010  0.001000
3.851720  0.001000
3.852440  0.001000
3.853150  0.001000
3.853870  0.001000
3.854580  0.001000
3.855300  0.000900
3.856020  0.000800
3.856740  0.000800
3.857450  0.000700
3.858170  0.000700
3.858890  0.000800
3.859610  0.001000
3.860320  0.001200
3.861040  0.001400
3.861760  0.001600
3.862480  0.001700
3.863200  0.001900
3.863920  0.002000
3.864640  0.002100
3.865360  0.002200
3.866080  0.002400
3.866800  0.002600
3.867520  0.002800
3.868240  0.003000
3.868970  0.003100
3.869690  0.003100
3.870410  0.003100
3.871130  0.003000
3.871860  0.002900
3.872580  0.002900
3.873300  0.002900
3.874020  0.003000
3.874750  0.003300
3.875470  0.003700
3.876200  0.004300
3.876920  0.004900
3.877640  0.005700
3.878370  0.006500
3.879100  0.007300
3.879820  0.008000
3.880550  0.008700
3.881270  0.009300
3.882000  0.010000
3.882730  0.010700
3.883450  0.011400
3.884180  0.012300
3.884910  0.013500
3.885640  0.014800
3.886360  0.016300
3.887090  0.018000
3.887820  0.020000
3.888550  0.022100
3.889280  0.024300
3.890010  0.026700
3.890740  0.029400
3.891470  0.032200
3.892200  0.035400
3.892930  0.039000
3.893660  0.042900
3.894390  0.047400
3.895120  0.052500
3.895850  0.058200
3.896590  0.064700
3.897320  0.071900
3.898050  0.080100
3.898780  0.089300
3.899520  0.099600
3.900250  0.111200
3.900980  0.124300
3.901720  0.138900
3.902450  0.155200
3.903180  0.173200
3.903920  0.193200
3.904650  0.215200
3.905390  0.239100
3.906120  0.265100
3.906860  0.293100
3.907600  0.322900
3.908330  0.354500
3.909070  0.387600
3.909810  0.421900
3.910540  0.457000
3.911280  0.492500
3.912020  0.527800
3.912760  0.562400
3.913500  0.595800
3.914230  0.627500
3.914970  0.656900
3.915710  0.683600
3.916450  0.707400
3.917190  0.728100
3.917930  0.745600
3.918670  0.759900
3.919410  0.771200
3.920150  0.779800
3.920890  0.785900
3.921630  0.789800
3.922380  0.791900
3.923120  0.792400
3.923860  0.791700
3.924600  0.790000
3.925350  0.787700
3.926090  0.785100
3.926830  0.782200
3.927580  0.779400
3.928320  0.776700
3.929060  0.774200
3.929810  0.772000
3.930550  0.770100
3.931300  0.768700
3.932040  0.767800
3.932790  0.767400
3.933530  0.767600
3.934280  0.768300
3.935030  0.769600
3.935770  0.771300
3.936520  0.773400
3.937270  0.775900
3.938020  0.778800
3.938760  0.782000
3.939510  0.785600
3.940260  0.789500
3.941010  0.793700
3.941760  0.798200
3.942510  0.802900
3.943250  0.807700
3.944010  0.812500
3.944760  0.817400
3.945510  0.822300
3.946260  0.827200
3.947010  0.832000
3.947760  0.836800
3.948510  0.841500
3.949260  0.846100
3.950010  0.850600
3.950770  0.854900
3.951520  0.859100
3.952270  0.863200
3.953020  0.867200
3.953780  0.871000
3.954530  0.874700
3.955290  0.878100
3.956040  0.881400
3.956800  0.884400
3.957550  0.887200
3.958310  0.889700
3.959060  0.891900
3.959820  0.893900
3.960570  0.895700
3.961330  0.897200
3.962090  0.898600
3.962840  0.899900
3.963600  0.901000
3.964360  0.902000
3.965120  0.902900
3.965870  0.903800
3.966630  0.904500
3.967390  0.905200
3.968150  0.905800
3.968910  0.906200
3.969670  0.906500
3.970430  0.906500
3.971190  0.906400
3.971950  0.906200
3.972710  0.905900
3.973470  0.905500
3.974230  0.905200
3.975000  0.904800
3.975760  0.904400
3.976520  0.903900
3.977280  0.903300
3.978040  0.902600
3.978810  0.901800
3.979570  0.901000
3.980340  0.900200
3.981100  0.899400
3.981860  0.898700
3.982630  0.898000
3.983390  0.897400
3.984160  0.896700
3.984920  0.896100
3.985690  0.895600
3.986460  0.895200
3.987220  0.895000
