# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.Br-a
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Br-a filter transmission curve
# wavelength_unit : um
wavelength  transmission
3.986460  0.001371
3.986840  0.001530
3.987220  0.001631
3.987600  0.001680
3.987990  0.001690
3.988370  0.001673
3.988750  0.001640
3.989140  0.001593
3.989520  0.001534
3.989910  0.001463
3.990290  0.001382
3.990670  0.001304
3.991060  0.001243
3.991440  0.001218
3.991820  0.001241
3.992210  0.001310
3.992590  0.001408
3.992980  0.001503
3.993360  0.001552
3.993750  0.001521
3.994130  0.001387
3.994520  0.001153
3.994900  0.000848
3.995290  0.000517
3.995670  0.000210
3.996050  0.000000
3.996440  0.000000
3.996820  0.000000
3.997210  0.000000
3.997600  0.000000
3.997980  0.000000
3.998370  0.000074
3.998750  0.000168
3.999140  0.000255
3.999520  0.000340
3.999910  0.000434
4.000290  0.000549
4.000680  0.000697
4.001070  0.000887
4.001450  0.001121
4.001840  0.001390
4.002220  0.001672
4.002610  0.001931
4.003000  0.002128
4.003380  0.002225
4.003770  0.002202
4.004150  0.002063
4.004540  0.001838
4.004930  0.001577
4.005320  0.001338
4.005700  0.001171
4.006090  0.001106
4.006480  0.001153
4.006860  0.001297
4.007250  0.001515
4.007640  0.001777
4.008020  0.002060
4.008410  0.002346
4.008800  0.002627
4.009190  0.002900
4.009570  0.003170
4.009960  0.003446
4.010350  0.003737
4.010740  0.004052
4.011130  0.004391
4.011510  0.004738
4.011900  0.005062
4.012290  0.005321
4.012680  0.005472
4.013060  0.005487
4.013450  0.005369
4.013840  0.005158
4.014230  0.004928
4.014620  0.004767
4.015010  0.004760
4.015390  0.004958
4.015780  0.005373
4.016170  0.005973
4.016560  0.006698
4.016950  0.007478
4.017340  0.008254
4.017730  0.008986
4.018120  0.009658
4.018510  0.010265
4.018900  0.010808
4.019290  0.011286
4.019680  0.011693
4.020060  0.012027
4.020450  0.012300
4.020840  0.012538
4.021230  0.012785
4.021620  0.013089
4.022010  0.013495
4.022400  0.014030
4.022790  0.014702
4.023180  0.015502
4.023570  0.016417
4.023970  0.017440
4.024360  0.018576
4.024750  0.019847
4.025140  0.021277
4.025530  0.022890
4.025920  0.024692
4.026310  0.026671
4.026700  0.028804
4.027090  0.031066
4.027480  0.033442
4.027870  0.035944
4.028260  0.038606
4.028650  0.041482
4.029040  0.044631
4.029440  0.048106
4.029830  0.051940
4.030220  0.056148
4.030610  0.060737
4.031000  0.065717
4.031390  0.071115
4.031790  0.076986
4.032180  0.083412
4.032570  0.090495
4.032960  0.098344
4.033350  0.107059
4.033750  0.116728
4.034140  0.127415
4.034530  0.139167
4.034920  0.152020
4.035320  0.166006
4.035710  0.181161
4.036100  0.197529
4.036490  0.215171
4.036890  0.234160
4.037280  0.254572
4.037670  0.276472
4.038070  0.299887
4.038460  0.324786
4.038850  0.351061
4.039250  0.378530
4.039640  0.406956
4.040030  0.436072
4.040430  0.465612
4.040820  0.495320
4.041210  0.524948
4.041610  0.554235
4.042000  0.582888
4.042390  0.610587
4.042790  0.636998
4.043180  0.661812
4.043580  0.684771
4.043970  0.705685
4.044360  0.724430
4.044760  0.740928
4.045150  0.755151
4.045550  0.767120
4.045940  0.776931
4.046340  0.784759
4.046730  0.790854
4.047130  0.795503
4.047520  0.798976
4.047920  0.801488
4.048310  0.803184
4.048710  0.804160
4.049100  0.804507
4.049500  0.804352
4.049890  0.803869
4.050290  0.803256
4.050680  0.802689
4.051080  0.802274
4.051470  0.802030
4.051870  0.801900
4.052270  0.801795
4.052660  0.801631
4.053060  0.801351
4.053450  0.800904
4.053850  0.800199
4.054250  0.799065
4.054640  0.797233
4.055040  0.794359
4.055440  0.790083
4.055830  0.784098
4.056230  0.776200
4.056630  0.766288
4.057020  0.754341
4.057420  0.740369
4.057820  0.724380
4.058210  0.706384
4.058610  0.686407
4.059010  0.664528
4.059400  0.640894
4.059800  0.615717
4.060200  0.589243
4.060600  0.561728
4.060990  0.533422
4.061390  0.504575
4.061790  0.475449
4.062190  0.446330
4.062580  0.417520
4.062980  0.389320
4.063380  0.361996
4.063780  0.335760
4.064180  0.310758
4.064570  0.287080
4.064970  0.264771
4.065370  0.243848
4.065770  0.224306
4.066170  0.206126
4.066570  0.189270
4.066970  0.173686
4.067370  0.159316
4.067760  0.146098
4.068160  0.133972
4.068560  0.122880
4.068960  0.112763
4.069360  0.103558
4.069760  0.095195
4.070160  0.087602
4.070560  0.080706
4.070960  0.074442
4.071360  0.068757
4.071760  0.063601
4.072160  0.058933
4.072550  0.054708
4.072950  0.050879
4.073350  0.047395
4.073760  0.044208
4.074160  0.041280
4.074560  0.038583
4.074960  0.036099
4.075360  0.033823
4.075760  0.031753
4.076160  0.029887
4.076560  0.028218
4.076960  0.026733
4.077360  0.025409
4.077760  0.024217
4.078160  0.023115
4.078560  0.022059
4.078960  0.020998
4.079360  0.019887
4.079760  0.018694
4.080170  0.017408
4.080570  0.016042
4.080970  0.014636
4.081370  0.013246
4.081770  0.011939
4.082170  0.010777
4.082580  0.009808
4.082980  0.009058
4.083380  0.008531
4.083780  0.008207
4.084180  0.008051
4.084590  0.008010
4.084990  0.008025
4.085390  0.008036
4.085790  0.007991
4.086190  0.007851
4.086600  0.007601
4.087000  0.007246
4.087400  0.006813
4.087810  0.006344
4.088210  0.005884
4.088610  0.005476
4.089010  0.005147
4.089420  0.004908
4.089820  0.004754
4.090220  0.004664
4.090630  0.004609
4.091030  0.004558
4.091430  0.004481
4.091840  0.004359
4.092240  0.004188
4.092650  0.003978
4.093050  0.003757
4.093450  0.003560
4.093860  0.003417
4.094260  0.003345
4.094670  0.003336
4.095070  0.003358
4.095470  0.003362
4.095880  0.003299
4.096280  0.003134
4.096690  0.002866
4.097090  0.002525
4.097500  0.002170
4.097900  0.001872
4.098310  0.001689
4.098710  0.001654
4.099110  0.001766
4.099520  0.001993
4.099930  0.002281
4.100330  0.002570
4.100740  0.002810
4.101140  0.002966
4.101550  0.003028
4.101950  0.003003
4.102360  0.002916
4.102760  0.002802
4.103170  0.002702
4.103580  0.002653
4.103980  0.002680
4.104390  0.002793
4.104790  0.002979
4.105200  0.003206
4.105610  0.003429
4.106010  0.003601
4.106420  0.003686
4.106830  0.003663
4.107230  0.003532
4.107640  0.003307
4.108050  0.003012
4.108450  0.002670
4.108860  0.002304
4.109270  0.001938
4.109670  0.001600
4.110080  0.001326
4.110490  0.001152
4.110900  0.001107
4.111300  0.001199
4.111710  0.001407
4.112120  0.001679
4.112530  0.001943
4.112930  0.002124
4.113340  0.002168
4.113750  0.002054
4.114160  0.001797
