# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.Br-g
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Br-g filter transmission curve
# wavelength_unit : um
wavelength  transmission
2.130180  0.004000
2.130390  0.004000
2.130610  0.004000
2.130830  0.003800
2.131050  0.003600
2.131270  0.003300
2.131490  0.002800
2.131710  0.002300
2.131930  0.001800
2.132150  0.001400
2.132370  0.001100
2.132580  0.001000
2.132800  0.001200
2.133020  0.001400
2.133240  0.001700
2.133460  0.001900
2.133680  0.002000
2.133900  0.002000
2.134120  0.001900
2.134340  0.001800
2.134560  0.001800
2.134780  0.001900
2.135000  0.002200
2.135220  0.002500
2.135440  0.002900
2.135660  0.003300
2.135880  0.003600
2.136100  0.003800
2.136320  0.004000
2.136540  0.004100
2.136760  0.004100
2.136980  0.004000
2.137200  0.003900
2.137420  0.003800
2.137640  0.003700
2.137860  0.003600
2.138080  0.003600
2.138300  0.003700
2.138520  0.003900
2.138740  0.004100
2.138960  0.004400
2.139180  0.004700
2.139400  0.004900
2.139620  0.005100
2.139850  0.005400
2.140070  0.005700
2.140290  0.006000
2.140510  0.006300
2.140730  0.006500
2.140950  0.006800
2.141170  0.007000
2.141390  0.007100
2.141610  0.007300
2.141830  0.007400
2.142060  0.007600
2.142280  0.007900
2.142500  0.008200
2.142720  0.008600
2.142940  0.008900
2.143160  0.009200
2.143380  0.009500
2.143600  0.009800
2.143830  0.010000
2.144050  0.010300
2.144270  0.010600
2.144490  0.011000
2.144710  0.011400
2.144930  0.011800
2.145160  0.012200
2.145380  0.012700
2.145600  0.013100
2.145820  0.013600
2.146040  0.014000
2.146270  0.014500
2.146490  0.014900
2.146710  0.015200
2.146930  0.015400
2.147160  0.015600
2.147380  0.015600
2.147600  0.015800
2.147820  0.016000
2.148040  0.016300
2.148270  0.016800
2.148490  0.017400
2.148710  0.018200
2.148930  0.019100
2.149160  0.020100
2.149380  0.021200
2.149600  0.022300
2.149830  0.023500
2.150050  0.024700
2.150270  0.025900
2.150490  0.027100
2.150720  0.028200
2.150940  0.029200
2.151160  0.030300
2.151390  0.031500
2.151610  0.032800
2.151830  0.034200
2.152060  0.035800
2.152280  0.037600
2.152500  0.039400
2.152730  0.041300
2.152950  0.043200
2.153170  0.045100
2.153400  0.047100
2.153620  0.049100
2.153840  0.051200
2.154070  0.053500
2.154290  0.056000
2.154520  0.058700
2.154740  0.061600
2.154960  0.064800
2.155190  0.068300
2.155410  0.072100
2.155640  0.076300
2.155860  0.080600
2.156080  0.085200
2.156310  0.090000
2.156530  0.094900
2.156760  0.099800
2.156980  0.105000
2.157200  0.110300
2.157430  0.116000
2.157650  0.122100
2.157880  0.128800
2.158100  0.136000
2.158330  0.143900
2.158550  0.152500
2.158780  0.161700
2.159000  0.171400
2.159230  0.181700
2.159450  0.192400
