# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.Fe-II
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Fe-II filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.616600  0.001428
1.616700  0.001407
1.616800  0.001443
1.616900  0.001524
1.617000  0.001484
1.617100  0.001504
1.617200  0.001609
1.617300  0.001627
1.617400  0.001744
1.617500  0.001790
1.617600  0.001758
1.617700  0.001802
1.617800  0.001905
1.617900  0.001926
1.618000  0.001971
1.618100  0.002053
1.618200  0.002063
1.618300  0.002097
1.618400  0.002118
1.618500  0.002221
1.618600  0.002330
1.618700  0.002252
1.618800  0.002372
1.618900  0.002433
1.619000  0.002518
1.619100  0.002578
1.619200  0.002615
1.619300  0.002675
1.619400  0.002730
1.619500  0.002862
1.619600  0.002870
1.619700  0.002957
1.619800  0.003047
1.619900  0.003098
1.620000  0.003187
1.620100  0.003244
1.620200  0.003363
1.620300  0.003499
1.620400  0.003525
1.620500  0.003619
1.620600  0.003754
1.620700  0.003822
1.620800  0.003981
1.620900  0.004094
1.621000  0.004144
1.621100  0.004345
1.621200  0.004393
1.621300  0.004561
1.621400  0.004623
1.621500  0.004727
1.621600  0.004885
1.621700  0.005054
1.621800  0.005212
1.621900  0.005371
1.622000  0.005516
1.622100  0.005658
1.622200  0.005914
1.622300  0.006073
1.622400  0.006162
1.622500  0.006371
1.622600  0.006615
1.622700  0.006832
1.622800  0.007013
1.622900  0.007214
1.623000  0.007431
1.623100  0.007654
1.623200  0.007892
1.623300  0.008186
1.623400  0.008384
1.623500  0.008665
1.623600  0.008833
1.623700  0.009196
1.623800  0.009448
1.623900  0.009827
1.624000  0.010114
1.624100  0.010461
1.624200  0.010825
1.624300  0.011231
1.624400  0.011598
1.624500  0.011856
1.624600  0.012382
1.624700  0.012711
1.624800  0.013168
1.624900  0.013581
1.625000  0.014095
1.625100  0.014509
1.625200  0.015090
1.625300  0.015568
1.625400  0.016109
1.625500  0.016780
1.625600  0.017366
1.625700  0.017919
1.625800  0.018502
1.625900  0.019331
1.626000  0.019962
1.626100  0.020762
1.626200  0.021459
1.626300  0.022311
1.626400  0.023043
1.626500  0.023967
1.626600  0.024907
1.626700  0.025829
1.626800  0.026908
1.626900  0.027915
1.627000  0.028991
1.627100  0.030045
1.627200  0.031399
1.627300  0.032609
1.627400  0.033918
1.627500  0.035028
1.627600  0.036693
1.627700  0.038078
1.627800  0.039668
1.627900  0.041174
1.628000  0.043013
1.628100  0.044910
1.628200  0.046711
1.628300  0.048666
1.628400  0.050720
1.628500  0.053101
1.628600  0.055133
1.628700  0.057628
1.628800  0.059810
1.628900  0.062843
1.629000  0.065402
1.629100  0.068374
1.629200  0.071096
1.629300  0.074547
1.629400  0.077933
1.629500  0.081391
1.629600  0.084978
1.629700  0.088808
1.629800  0.093450
1.629900  0.097363
1.630000  0.102014
1.630100  0.106145
1.630200  0.111757
1.630300  0.116516
1.630400  0.122275
1.630500  0.127268
1.630600  0.133953
1.630700  0.140607
1.630800  0.147090
1.630900  0.153823
1.631000  0.161118
1.631100  0.169598
1.631200  0.177068
1.631300  0.185814
1.631400  0.193665
1.631500  0.204136
1.631600  0.213042
1.631700  0.223563
1.631800  0.232811
1.631900  0.244892
1.632000  0.256304
1.632100  0.268631
1.632200  0.280051
1.632300  0.293539
1.632400  0.308535
1.632500  0.321461
1.632600  0.336527
1.632700  0.349512
1.632800  0.367191
1.632900  0.380733
1.633000  0.398445
1.633100  0.412692
1.633200  0.431411
1.633300  0.449173
1.633400  0.466484
1.633500  0.483999
1.633600  0.503197
1.633700  0.522898
1.633800  0.540414
1.633900  0.559332
1.634000  0.576784
1.634100  0.598598
1.634200  0.614865
1.634300  0.634417
1.634400  0.650228
1.634500  0.670987
1.634600  0.687304
1.634700  0.705494
1.634800  0.721333
1.634900  0.738118
1.635000  0.755706
1.635100  0.769914
1.635200  0.784439
1.635300  0.797320
1.635400  0.812621
1.635500  0.823629
1.635600  0.835842
1.635700  0.845450
1.635800  0.857083
1.635900  0.866029
1.636000  0.874837
1.636100  0.882217
1.636200  0.889825
1.636300  0.896696
1.636400  0.902616
1.636500  0.907828
1.636600  0.912246
1.636700  0.916730
1.636800  0.919989
1.636900  0.922826
1.637000  0.924983
1.637100  0.927408
1.637200  0.928946
1.637300  0.930398
1.637400  0.931319
1.637500  0.932090
1.637600  0.932451
1.637700  0.932523
1.637800  0.932538
1.637900  0.932413
1.638000  0.932051
1.638100  0.931715
1.638200  0.931176
1.638300  0.930401
1.638400  0.929714
1.638500  0.929042
1.638600  0.928316
1.638700  0.927634
1.638800  0.926766
1.638900  0.926039
1.639000  0.925147
1.639100  0.924715
1.639200  0.923986
1.639300  0.923254
1.639400  0.922892
1.639500  0.922318
1.639600  0.921866
1.639700  0.921454
1.639800  0.921092
1.639900  0.920978
1.640000  0.920879
1.640100  0.920727
1.640200  0.920584
1.640300  0.920576
1.640400  0.920753
1.640500  0.920976
1.640600  0.921239
1.640700  0.921506
1.640800  0.921768
1.640900  0.922088
1.641000  0.922551
1.641100  0.923203
1.641200  0.923644
1.641300  0.924380
1.641400  0.925090
1.641500  0.925697
1.641600  0.926214
1.641700  0.926909
1.641800  0.927766
1.641900  0.928384
1.642000  0.929161
1.642100  0.930116
1.642200  0.930688
1.642300  0.931656
1.642400  0.932361
1.642500  0.933124
1.642600  0.933671
1.642700  0.934309
1.642800  0.935071
1.642900  0.935856
1.643000  0.936429
1.643100  0.937244
1.643200  0.937965
1.643300  0.938343
1.643400  0.938978
1.643500  0.939343
1.643600  0.939730
1.643700  0.940076
1.643800  0.940407
1.643900  0.940859
1.644000  0.941216
1.644100  0.941461
1.644200  0.941628
1.644300  0.941706
1.644400  0.941621
1.644500  0.941787
1.644600  0.941861
1.644700  0.941625
1.644800  0.941609
1.644900  0.941666
1.645000  0.941858
1.645100  0.941559
1.645200  0.941393
1.645300  0.941069
1.645400  0.940915
1.645500  0.940451
1.645600  0.940273
1.645700  0.940202
1.645800  0.939793
1.645900  0.939821
1.646000  0.939442
1.646100  0.939220
1.646200  0.938832
1.646300  0.938459
1.646400  0.938004
1.646500  0.938059
1.646600  0.937833
1.646700  0.937613
1.646800  0.937695
1.646900  0.937365
1.647000  0.937223
1.647100  0.937038
1.647200  0.936753
1.647300  0.936600
1.647400  0.936566
1.647500  0.936740
1.647600  0.936670
1.647700  0.936843
1.647800  0.937056
1.647900  0.936862
1.648000  0.936913
1.648100  0.936979
1.648200  0.936856
1.648300  0.936672
1.648400  0.936998
1.648500  0.937204
1.648600  0.937205
1.648700  0.936973
1.648800  0.936894
1.648900  0.936411
1.649000  0.936194
1.649100  0.935813
1.649200  0.935331
1.649300  0.934817
1.649400  0.934019
1.649500  0.933234
1.649600  0.932022
1.649700  0.930652
1.649800  0.928940
1.649900  0.927046
1.650000  0.924631
1.650100  0.921908
1.650200  0.919178
1.650300  0.916151
1.650400  0.913030
1.650500  0.908340
1.650600  0.904270
1.650700  0.899131
1.650800  0.894069
1.650900  0.887328
1.651000  0.880947
1.651100  0.873672
1.651200  0.866404
1.651300  0.858169
1.651400  0.847780
1.651500  0.838942
1.651600  0.828233
1.651700  0.818609
1.651800  0.805080
1.651900  0.794445
1.652000  0.781566
1.652100  0.769367
1.652200  0.754466
1.652300  0.739639
1.652400  0.725068
1.652500  0.710174
1.652600  0.694234
1.652700  0.676807
1.652800  0.660918
1.652900  0.644234
1.653000  0.628861
1.653100  0.608412
1.653200  0.592550
1.653300  0.574567
1.653400  0.559087
1.653500  0.539469
1.653600  0.522496
1.653700  0.505338
1.653800  0.488950
1.653900  0.471220
1.654000  0.452426
1.654100  0.437183
1.654200  0.420706
1.654300  0.406034
1.654400  0.387867
1.654500  0.374475
1.654600  0.359025
1.654700  0.346626
1.654800  0.330648
1.654900  0.317387
1.655000  0.304668
1.655100  0.292501
1.655200  0.279758
1.655300  0.267330
1.655400  0.256035
1.655500  0.245258
1.655600  0.235194
1.655700  0.223526
1.655800  0.214796
1.655900  0.205242
1.656000  0.197454
1.656100  0.187753
1.656200  0.180199
1.656300  0.172124
