# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.H
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX H filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.423000  0.000000
1.424000  0.000000
1.425000  0.000000
1.426000  0.000000
1.427000  0.000000
1.428000  0.000000
1.429000  0.000000
1.430000  0.000000
1.431000  0.000000
1.432000  0.000000
1.433000  0.000000
1.434000  0.000000
1.435000  0.000000
1.436000  0.000000
1.437000  0.000000
1.438000  0.000000
1.439000  0.000000
1.440000  0.000000
1.441000  0.000000
1.442000  0.000000
1.443000  0.000000
1.444000  0.000000
1.445000  0.000000
1.446000  0.000000
1.447000  0.000000
1.448000  0.000000
1.449000  0.000000
1.450000  0.000000
1.451000  0.000000
1.452000  0.000100
1.453000  0.000000
1.454000  0.000000
1.455000  0.000000
1.456000  0.000000
1.457000  0.000000
1.458000  0.000000
1.459000  0.000000
1.460000  0.000100
1.461000  0.000000
1.462000  0.000000
1.463000  0.000100
1.464000  0.000000
1.465000  0.000100
1.466000  0.000000
1.467000  0.000000
1.468000  0.000100
1.469000  0.000000
1.470000  0.000100
1.471000  0.000100
1.472000  0.000100
1.473000  0.000100
1.474000  0.000200
1.475000  0.000200
1.476000  0.000300
1.477000  0.000400
1.478000  0.000500
1.479000  0.000600
1.480000  0.000900
1.481000  0.001100
1.482000  0.001400
1.483000  0.002000
1.484000  0.002800
1.485000  0.003600
1.486000  0.005200
1.487000  0.007300
1.488000  0.010200
1.489000  0.014400
1.490000  0.020500
1.491000  0.029700
1.492000  0.043100
1.493000  0.062800
1.494000  0.090900
1.495000  0.128500
1.496000  0.179700
1.497000  0.244100
1.498000  0.320400
1.499000  0.409700
1.500000  0.502200
1.501000  0.590400
1.502000  0.673800
1.503000  0.748900
1.504000  0.810700
1.505000  0.863000
1.506000  0.903600
1.507000  0.930600
1.508000  0.948200
1.509000  0.956700
1.510000  0.958300
1.511000  0.954800
1.512000  0.948300
1.513000  0.940600
1.514000  0.933700
1.515000  0.927800
1.516000  0.923600
1.517000  0.921700
1.518000  0.922200
1.519000  0.924800
1.520000  0.928500
1.521000  0.933500
1.522000  0.938900
1.523000  0.943700
1.524000  0.948500
1.525000  0.952100
1.526000  0.953900
1.527000  0.954500
1.528000  0.953800
1.529000  0.951500
1.530000  0.948200
1.531000  0.944300
1.532000  0.940000
1.533000  0.935700
1.534000  0.932100
1.535000  0.928500
1.536000  0.926300
1.537000  0.924800
1.538000  0.924200
1.539000  0.924300
1.540000  0.925600
1.541000  0.927200
1.542000  0.929500
1.543000  0.932000
1.544000  0.934600
1.545000  0.937000
1.546000  0.939000
1.547000  0.940700
1.548000  0.941800
1.549000  0.942200
1.550000  0.942300
1.551000  0.941800
1.552000  0.940600
1.553000  0.939500
1.554000  0.938300
1.555000  0.936800
1.556000  0.935700
1.557000  0.934300
1.558000  0.933900
1.559000  0.933600
1.560000  0.933800
1.561000  0.934400
1.562000  0.935400
1.563000  0.936800
1.564000  0.938600
1.565000  0.940300
1.566000  0.942400
1.567000  0.944400
1.568000  0.946100
1.569000  0.947900
1.570000  0.949400
1.571000  0.950200
1.572000  0.951000
1.573000  0.951500
1.574000  0.951500
1.575000  0.951100
1.576000  0.950700
1.577000  0.949900
1.578000  0.949100
1.579000  0.948200
1.580000  0.947400
1.581000  0.946600
1.582000  0.946100
1.583000  0.945900
1.584000  0.945600
1.585000  0.945500
1.586000  0.946000
1.587000  0.946400
1.588000  0.946800
1.589000  0.947500
1.590000  0.948100
1.591000  0.948900
1.592000  0.949400
1.593000  0.949600
1.594000  0.949800
1.595000  0.949800
1.596000  0.949500
1.597000  0.948700
1.598000  0.947700
1.599000  0.947000
1.600000  0.945500
1.601000  0.943800
1.602000  0.942300
1.603000  0.940500
1.604000  0.938900
1.605000  0.937400
1.606000  0.935900
1.607000  0.934500
1.608000  0.933600
1.609000  0.933000
1.610000  0.932400
1.611000  0.932200
1.612000  0.932400
1.613000  0.932800
1.614000  0.933600
1.615000  0.934600
1.616000  0.935700
1.617000  0.937100
1.618000  0.938700
1.619000  0.940100
1.620000  0.941700
1.621000  0.943500
1.622000  0.945100
1.623000  0.946400
1.624000  0.947900
1.625000  0.949200
1.626000  0.950300
1.627000  0.951200
1.628000  0.952200
1.629000  0.952600
1.630000  0.953200
1.631000  0.953700
1.632000  0.954000
1.633000  0.954100
1.634000  0.954400
1.635000  0.954700
1.636000  0.954900
1.637000  0.954900
1.638000  0.955200
1.639000  0.955500
1.640000  0.956000
1.641000  0.956400
1.642000  0.956700
1.643000  0.957400
1.644000  0.958100
1.645000  0.958700
1.646000  0.959400
1.647000  0.960000
1.648000  0.960800
1.649000  0.961500
1.650000  0.962200
1.651000  0.962800
1.652000  0.963400
1.653000  0.963900
1.654000  0.964400
1.655000  0.964600
1.656000  0.964700
1.657000  0.965000
1.658000  0.965100
1.659000  0.964900
1.660000  0.964800
1.661000  0.964500
1.662000  0.964300
1.663000  0.963900
1.664000  0.963500
1.665000  0.962900
1.666000  0.962400
1.667000  0.962100
1.668000  0.961400
1.669000  0.960800
1.670000  0.960500
1.671000  0.959900
1.672000  0.959400
1.673000  0.958900
1.674000  0.958600
1.675000  0.958300
1.676000  0.958200
1.677000  0.957900
1.678000  0.957400
1.679000  0.957500
1.680000  0.957500
1.681000  0.957200
1.682000  0.957200
1.683000  0.957100
1.684000  0.957000
1.685000  0.956800
1.686000  0.956800
1.687000  0.956500
1.688000  0.956200
1.689000  0.956200
1.690000  0.955700
1.691000  0.955100
1.692000  0.954700
1.693000  0.954100
1.694000  0.953400
1.695000  0.952800
1.696000  0.952000
1.697000  0.951100
1.698000  0.950300
1.699000  0.949500
1.700000  0.948600
1.701000  0.947700
1.702000  0.947100
1.703000  0.946400
1.704000  0.945600
1.705000  0.945100
1.706000  0.944600
1.707000  0.944300
1.708000  0.944100
1.709000  0.944000
1.710000  0.943800
1.711000  0.944000
1.712000  0.944300
1.713000  0.944400
1.714000  0.944700
1.715000  0.945100
1.716000  0.945600
1.717000  0.946100
1.718000  0.946500
1.719000  0.947000
1.720000  0.947300
1.721000  0.947900
1.722000  0.948100
1.723000  0.948300
1.724000  0.948900
1.725000  0.949200
1.726000  0.949400
1.727000  0.949500
1.728000  0.949800
1.729000  0.950000
1.730000  0.950000
1.731000  0.950400
1.732000  0.950400
1.733000  0.950600
1.734000  0.951100
1.735000  0.951300
1.736000  0.951600
1.737000  0.952000
1.738000  0.952600
1.739000  0.953100
1.740000  0.953500
1.741000  0.954100
1.742000  0.954500
1.743000  0.955100
1.744000  0.955700
1.745000  0.956000
1.746000  0.956300
1.747000  0.956800
1.748000  0.957000
1.749000  0.956900
1.750000  0.957100
1.751000  0.957000
1.752000  0.956900
1.753000  0.956800
1.754000  0.956400
1.755000  0.956100
1.756000  0.955800
1.757000  0.955400
1.758000  0.954900
1.759000  0.954400
1.760000  0.954300
1.761000  0.954000
1.762000  0.953700
1.763000  0.953600
1.764000  0.953300
1.765000  0.953300
1.766000  0.953400
1.767000  0.953300
1.768000  0.953100
1.769000  0.953200
1.770000  0.953300
1.771000  0.953000
1.772000  0.952900
1.773000  0.952800
1.774000  0.952400
1.775000  0.952000
1.776000  0.951400
1.777000  0.950800
1.778000  0.950000
1.779000  0.949400
1.780000  0.948500
1.781000  0.947400
1.782000  0.946600
1.783000  0.945600
1.784000  0.944600
1.785000  0.943600
1.786000  0.942500
1.787000  0.941100
1.788000  0.939900
1.789000  0.938700
1.790000  0.937000
1.791000  0.935500
1.792000  0.933900
1.793000  0.932300
1.794000  0.930300
1.795000  0.928600
1.796000  0.927400
1.797000  0.926200
1.798000  0.925300
1.799000  0.924900
1.800000  0.924900
1.801000  0.925100
1.802000  0.924900
1.803000  0.923200
1.804000  0.918900
1.805000  0.909800
1.806000  0.893000
1.807000  0.866100
1.808000  0.828300
1.809000  0.777200
1.810000  0.712100
1.811000  0.634200
1.812000  0.551800
1.813000  0.465600
1.814000  0.382300
1.815000  0.311000
1.816000  0.244800
1.817000  0.193100
1.818000  0.152500
1.819000  0.118600
1.820000  0.090100
1.821000  0.067600
1.822000  0.051700
1.823000  0.040400
1.824000  0.032700
1.825000  0.026100
1.826000  0.020600
1.827000  0.016300
1.828000  0.013000
1.829000  0.010500
1.830000  0.008500
1.831000  0.006900
1.832000  0.005700
1.833000  0.004700
1.834000  0.004000
1.835000  0.003400
1.836000  0.002700
1.837000  0.002300
1.838000  0.001900
1.839000  0.001600
1.840000  0.001400
1.841000  0.001200
1.842000  0.001000
1.843000  0.000900
1.844000  0.000800
1.845000  0.000600
1.846000  0.000600
1.847000  0.000500
1.848000  0.000400
1.849000  0.000300
1.850000  0.000300
1.851000  0.000200
1.852000  0.000200
1.853000  0.000300
1.854000  0.000200
1.855000  0.000200
1.856000  0.000200
1.857000  0.000200
1.858000  0.000100
1.859000  0.000100
1.860000  0.000100
1.861000  0.000000
1.862000  0.000100
1.863000  0.000100
1.864000  0.000000
1.865000  0.000000
1.866000  0.000100
1.867000  0.000000
1.868000  0.000000
1.869000  0.000000
1.870000  0.000000
1.871000  0.000100
1.872000  0.000100
1.873000  0.000100
1.874000  0.000000
1.875000  0.000000
1.876000  0.000000
1.877000  0.000100
1.878000  0.000100
1.879000  0.000000
1.880000  0.000000
1.881000  0.000000
1.882000  0.000000
1.883000  0.000000
1.884000  0.000000
1.885000  0.000000
1.886000  0.000000
1.887000  0.000000
1.888000  0.000000
1.889000  0.000000
1.890000  0.000000
1.891000  0.000000
1.892000  0.000100
1.893000  0.000000
1.894000  0.000000
1.895000  0.000000
1.896000  0.000000
1.897000  0.000000
1.898000  0.000000
1.899000  0.000000
1.900000  0.000100
1.901000  0.000000
