# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.H2-1-OS
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX H2-1-0S filter transmission curve
# wavelength_unit : um
wavelength  transmission
2.068360  0.001300
2.068570  0.001000
2.068770  0.000900
2.068980  0.000900
2.069190  0.000900
2.069390  0.001100
2.069600  0.001300
2.069810  0.001500
2.070010  0.001700
2.070220  0.001800
2.070430  0.001900
2.070630  0.002000
2.070840  0.002000
2.071050  0.002100
2.071250  0.002000
2.071460  0.002000
2.071670  0.001900
2.071870  0.001800
2.072080  0.001600
2.072290  0.001400
2.072490  0.001200
2.072700  0.001100
2.072910  0.000900
2.073120  0.000700
2.073320  0.000600
2.073530  0.000500
2.073740  0.000400
2.073940  0.000400
2.074150  0.000500
2.074360  0.000600
2.074570  0.000900
2.074770  0.001300
2.074980  0.001800
2.075190  0.002400
2.075400  0.002900
2.075610  0.003400
2.075810  0.003700
2.076020  0.003800
2.076230  0.003800
2.076440  0.003700
2.076640  0.003400
2.076850  0.003100
2.077060  0.002800
2.077270  0.002500
2.077480  0.002300
2.077680  0.002200
2.077890  0.002200
2.078100  0.002200
2.078310  0.002300
2.078520  0.002400
2.078730  0.002400
2.078930  0.002500
2.079140  0.002600
2.079350  0.002600
2.079560  0.002600
2.079770  0.002700
2.079980  0.002800
2.080180  0.003000
2.080390  0.003200
2.080600  0.003500
2.080810  0.003700
2.081020  0.003900
2.081230  0.004000
2.081440  0.004000
2.081650  0.003900
2.081860  0.003700
2.082060  0.003500
2.082270  0.003300
2.082480  0.003200
2.082690  0.003100
2.082900  0.003100
2.083110  0.003100
2.083320  0.003100
2.083530  0.003100
2.083740  0.003200
2.083950  0.003300
2.084160  0.003400
2.084370  0.003600
2.084570  0.003800
2.084780  0.004000
2.084990  0.004200
2.085200  0.004400
2.085410  0.004500
2.085620  0.004500
2.085830  0.004600
2.086040  0.004700
2.086250  0.004800
2.086460  0.005000
2.086670  0.005300
2.086880  0.005600
2.087090  0.005900
2.087300  0.006200
2.087510  0.006600
2.087720  0.006900
2.087930  0.007100
2.088140  0.007300
2.088350  0.007400
2.088560  0.007400
2.088770  0.007400
2.088980  0.007200
2.089190  0.007100
2.089400  0.006900
2.089620  0.006700
2.089830  0.006500
2.090040  0.006500
2.090250  0.006500
2.090460  0.006700
2.090670  0.007000
2.090880  0.007300
2.091090  0.007700
2.091300  0.008100
2.091510  0.008500
2.091720  0.008800
2.091930  0.009000
2.092140  0.009200
2.092360  0.009500
2.092570  0.009800
2.092780  0.010200
2.092990  0.010700
2.093200  0.011200
2.093410  0.011900
2.093620  0.012600
2.093830  0.013300
2.094050  0.014100
2.094260  0.014800
2.094470  0.015600
2.094680  0.016500
2.094890  0.017300
2.095100  0.018100
2.095310  0.018900
2.095530  0.019700
2.095740  0.020400
2.095950  0.021200
2.096160  0.022100
2.096370  0.022900
2.096590  0.023700
2.096800  0.024500
2.097010  0.025200
2.097220  0.025900
2.097430  0.026600
2.097650  0.027300
2.097860  0.028100
2.098070  0.029000
2.098280  0.030100
2.098490  0.031300
2.098710  0.032600
2.098920  0.034000
2.099130  0.035500
2.099340  0.037100
2.099560  0.038700
2.099770  0.040400
2.099980  0.042300
2.100190  0.044300
2.100410  0.046400
2.100620  0.048600
2.100830  0.050900
2.101050  0.053400
2.101260  0.056100
2.101470  0.058900
2.101680  0.061900
2.101900  0.065100
2.102110  0.068500
2.102320  0.072000
2.102540  0.075600
2.102750  0.079300
2.102960  0.083000
2.103180  0.086900
2.103390  0.090900
2.103600  0.095100
2.103820  0.099500
2.104030  0.104200
2.104240  0.109300
2.104460  0.114700
2.104670  0.120600
2.104880  0.126900
2.105100  0.133700
2.105310  0.141000
2.105520  0.148900
2.105740  0.157200
2.105950  0.165900
2.106170  0.175100
2.106380  0.184800
2.106590  0.194900
2.106810  0.205400
2.107020  0.216400
2.107240  0.228000
2.107450  0.240100
2.107660  0.252800
2.107880  0.266100
2.108090  0.279900
2.108310  0.294400
2.108520  0.309400
