# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.H2_cont
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX H2-cont filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.982560  0.000000
1.982750  0.000000
1.982940  0.000000
1.983130  0.000000
1.983320  0.000000
1.983510  0.000000
1.983700  0.000000
1.983890  0.000000
1.984080  0.000000
1.984270  0.000000
1.984450  0.000000
1.984640  0.000000
1.984830  0.000000
1.985020  0.000000
1.985210  0.000000
1.985400  0.000000
1.985590  0.000100
1.985780  0.000100
1.985970  0.000000
1.986170  0.000000
1.986360  0.000000
1.986550  0.000000
1.986740  0.000000
1.986930  0.000000
1.987120  0.000000
1.987310  0.000000
1.987500  0.000000
1.987690  0.000000
1.987880  0.000000
1.988070  0.000000
1.988260  0.000000
1.988450  0.000000
1.988640  0.000000
1.988830  0.000000
1.989020  0.000000
1.989210  0.000100
1.989400  0.000400
1.989590  0.000600
1.989790  0.000800
1.989980  0.001000
1.990170  0.001000
1.990360  0.001000
1.990550  0.000900
1.990740  0.000700
1.990930  0.000500
1.991120  0.000300
1.991310  0.000100
1.991500  0.000000
1.991700  0.000000
1.991890  0.000000
1.992080  0.000000
1.992270  0.000000
1.992460  0.000000
1.992650  0.000000
1.992840  0.000100
1.993040  0.000500
1.993230  0.000800
1.993420  0.000900
1.993610  0.001000
1.993800  0.000900
1.993990  0.000800
1.994190  0.000700
1.994380  0.000600
1.994570  0.000700
1.994760  0.000900
1.994950  0.001200
1.995140  0.001500
1.995340  0.001700
1.995530  0.001700
1.995720  0.001700
1.995910  0.001500
1.996100  0.001300
1.996300  0.001200
1.996490  0.001100
1.996680  0.001100
1.996870  0.001100
1.997070  0.001100
1.997260  0.001100
1.997450  0.001000
1.997640  0.000800
1.997840  0.000700
1.998030  0.000600
1.998220  0.000600
1.998410  0.000700
1.998600  0.000900
1.998800  0.001100
1.998990  0.001200
1.999180  0.001300
1.999380  0.001300
1.999570  0.001200
1.999760  0.001100
1.999950  0.001000
2.000150  0.000800
2.000340  0.000700
2.000530  0.000700
2.000730  0.000500
2.000920  0.000400
2.001110  0.000200
2.001300  0.000000
2.001500  0.000000
2.001690  0.000000
2.001880  0.000000
2.002080  0.000000
2.002270  0.000000
2.002460  0.000000
2.002660  0.000000
2.002850  0.000000
2.003040  0.000000
2.003240  0.000000
2.003430  0.000000
2.003620  0.000000
2.003820  0.000000
2.004010  0.000000
2.004210  0.000000
2.004400  0.000000
2.004590  0.000000
2.004790  0.000000
2.004980  0.000000
2.005170  0.000000
2.005370  0.000000
2.005560  0.000000
2.005760  0.000000
2.005950  0.000000
2.006140  0.000000
2.006340  0.000000
2.006530  0.000100
2.006730  0.000300
2.006920  0.000400
2.007110  0.000500
2.007310  0.000500
2.007500  0.000400
2.007700  0.000400
2.007890  0.000300
2.008090  0.000300
2.008280  0.000400
2.008480  0.000600
2.008670  0.000800
2.008860  0.001100
2.009060  0.001500
2.009250  0.001800
2.009450  0.002000
2.009640  0.002100
2.009840  0.002100
2.010030  0.002000
2.010230  0.001800
2.010420  0.001600
2.010620  0.001500
2.010810  0.001500
2.011010  0.001600
2.011200  0.001700
2.011400  0.001800
2.011590  0.001900
2.011790  0.002000
2.011980  0.001900
2.012180  0.001800
2.012370  0.001700
2.012570  0.001600
2.012760  0.001700
2.012960  0.002000
2.013150  0.002200
2.013350  0.002500
2.013540  0.002700
2.013740  0.002800
2.013940  0.002900
2.014130  0.002800
2.014330  0.002800
2.014520  0.002900
2.014720  0.003100
2.014910  0.003400
2.015110  0.003800
2.015310  0.004300
2.015500  0.004700
2.015700  0.005100
2.015890  0.005400
2.016090  0.005500
2.016290  0.005700
2.016480  0.005800
2.016680  0.005900
2.016870  0.006100
2.017070  0.006400
2.017270  0.006700
2.017460  0.007200
2.017660  0.007700
2.017850  0.008200
2.018050  0.008700
2.018250  0.009300
2.018440  0.009800
2.018640  0.010300
2.018840  0.010900
2.019030  0.011400
2.019230  0.011900
2.019430  0.012300
2.019620  0.012700
2.019820  0.013000
2.020020  0.013300
2.020210  0.013600
2.020410  0.013900
2.020610  0.014400
2.020800  0.015100
2.021000  0.015900
2.021200  0.016800
2.021390  0.017600
2.021590  0.018400
2.021790  0.019000
2.021980  0.019500
2.022180  0.020000
2.022380  0.020400
2.022580  0.021000
2.022770  0.021800
2.022970  0.022800
2.023170  0.024000
2.023370  0.025200
2.023560  0.026500
2.023760  0.027700
2.023960  0.028900
2.024160  0.030200
2.024350  0.031500
2.024550  0.032800
2.024750  0.034400
2.024950  0.036000
2.025140  0.037800
2.025340  0.039700
2.025540  0.041700
2.025740  0.043700
2.025940  0.045900
2.026130  0.048100
2.026330  0.050500
2.026530  0.052900
2.026730  0.055500
2.026920  0.058100
2.027120  0.060800
2.027320  0.063700
2.027520  0.066600
2.027720  0.069700
2.027920  0.073000
2.028110  0.076400
2.028310  0.080100
2.028510  0.083900
2.028710  0.087900
2.028910  0.092200
2.029110  0.096600
2.029300  0.101300
2.029500  0.106200
2.029700  0.111400
2.029900  0.116700
2.030100  0.122300
2.030300  0.128200
2.030500  0.134400
2.030700  0.141000
2.030890  0.148000
2.031090  0.155400
2.031290  0.163100
2.031490  0.171000
2.031690  0.179200
2.031890  0.187600
2.032090  0.196400
2.032290  0.205600
2.032490  0.215400
2.032690  0.225700
2.032880  0.236600
2.033080  0.248200
2.033280  0.260400
2.033480  0.273100
2.033680  0.286300
2.033880  0.299900
2.034080  0.314000
2.034280  0.328500
2.034480  0.343400
2.034680  0.358900
2.034880  0.374800
2.035080  0.391100
2.035280  0.407900
2.035480  0.425100
2.035680  0.442800
2.035880  0.460800
2.036080  0.479200
2.036280  0.497800
2.036480  0.516800
2.036680  0.535800
2.036880  0.555000
2.037080  0.574100
2.037280  0.593000
2.037480  0.611800
2.037680  0.630200
2.037880  0.648300
2.038080  0.666000
2.038280  0.683300
2.038480  0.700100
2.038680  0.716600
2.038880  0.732500
2.039080  0.748000
2.039280  0.762700
2.039480  0.776700
2.039680  0.789900
2.039880  0.802100
2.040080  0.813500
2.040280  0.824200
2.040480  0.834100
2.040690  0.843500
2.040890  0.852300
2.041090  0.860400
2.041290  0.867900
2.041490  0.874600
2.041690  0.880500
2.041890  0.885400
2.042090  0.889500
2.042290  0.892700
2.042490  0.895200
2.042690  0.897200
2.042900  0.898700
2.043100  0.899900
2.043300  0.900700
2.043500  0.901400
2.043700  0.901700
2.043900  0.901700
2.044100  0.901300
2.044310  0.900300
2.044510  0.898900
2.044710  0.897000
2.044910  0.894700
2.045110  0.892000
2.045310  0.889100
2.045520  0.886200
2.045720  0.883300
2.045920  0.880500
2.046120  0.877800
2.046320  0.875300
2.046520  0.873000
2.046730  0.870900
2.046930  0.868900
2.047130  0.867000
2.047330  0.865100
2.047530  0.863200
2.047740  0.861100
2.047940  0.858900
2.048140  0.856600
2.048340  0.854300
2.048550  0.852000
2.048750  0.849900
2.048950  0.847800
2.049150  0.845900
2.049350  0.844100
2.049560  0.842300
2.049760  0.840500
2.049960  0.838800
2.050170  0.837200
2.050370  0.835600
2.050570  0.834200
2.050770  0.833000
2.050980  0.832000
2.051180  0.831200
2.051380  0.830600
2.051580  0.830100
2.051790  0.829900
2.051990  0.829800
2.052190  0.829800
2.052400  0.829800
2.052600  0.829800
2.052800  0.829700
2.053010  0.829600
2.053210  0.829300
2.053410  0.829100
2.053620  0.829100
2.053820  0.829200
2.054020  0.829500
2.054230  0.830100
2.054430  0.830800
2.054630  0.831700
2.054840  0.832500
2.055040  0.833300
2.055240  0.834100
2.055450  0.834700
2.055650  0.835400
2.055860  0.836100
2.056060  0.837000
2.056260  0.838000
2.056470  0.839200
2.056670  0.840400
2.056870  0.841600
2.057080  0.842900
2.057280  0.844000
2.057490  0.845000
2.057690  0.845900
2.057900  0.846800
2.058100  0.847700
2.058300  0.848500
2.058510  0.849500
2.058710  0.850500
2.058920  0.851600
2.059120  0.852800
2.059320  0.854100
2.059530  0.855500
2.059730  0.857000
2.059940  0.858500
2.060140  0.860100
2.060350  0.861700
2.060550  0.863200
2.060760  0.864600
2.060960  0.866000
2.061170  0.867200
2.061370  0.868400
2.061580  0.869400
2.061780  0.870400
2.061990  0.871300
2.062190  0.872200
2.062400  0.873100
2.062600  0.874000
2.062810  0.874800
2.063010  0.875700
2.063220  0.876500
2.063420  0.877000
2.063630  0.877400
2.063830  0.877500
2.064040  0.877500
2.064240  0.877300
2.064450  0.877200
2.064650  0.877200
2.064860  0.877400
2.065070  0.877800
2.065270  0.878400
2.065480  0.879000
2.065680  0.879600
2.065890  0.880100
2.066090  0.880300
2.066300  0.880400
