# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.IB242
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX IB-2.42 filter transmission curve
# wavelength_unit : um
wavelength  transmission
2.334970  0.000400
2.335230  0.000500
2.335490  0.000600
2.335760  0.000600
2.336020  0.000600
2.336280  0.000500
2.336550  0.000400
2.336810  0.000300
2.337070  0.000300
2.337340  0.000200
2.337600  0.000200
2.337860  0.000200
2.338130  0.000300
2.338390  0.000300
2.338650  0.000400
2.338920  0.000400
2.339180  0.000500
2.339450  0.000600
2.339710  0.000700
2.339970  0.000900
2.340240  0.001100
2.340500  0.001400
2.340770  0.001600
2.341030  0.001900
2.341290  0.002000
2.341560  0.002200
2.341820  0.002300
2.342090  0.002300
2.342350  0.002300
2.342620  0.002200
2.342880  0.002100
2.343150  0.001900
2.343410  0.001800
2.343670  0.001600
2.343940  0.001500
2.344200  0.001500
2.344470  0.001600
2.344730  0.001700
2.345000  0.001900
2.345260  0.002100
2.345530  0.002300
2.345800  0.002400
2.346060  0.002500
2.346330  0.002500
2.346590  0.002600
2.346860  0.002700
2.347120  0.002800
2.347390  0.002900
2.347650  0.003000
2.347920  0.003100
2.348190  0.003100
2.348450  0.003100
2.348720  0.003100
2.348980  0.003100
2.349250  0.003200
2.349520  0.003200
2.349780  0.003300
2.350050  0.003300
2.350310  0.003300
2.350580  0.003300
2.350850  0.003200
2.351110  0.003100
2.351380  0.003000
2.351650  0.003000
2.351910  0.003100
2.352180  0.003200
2.352450  0.003400
2.352710  0.003500
2.352980  0.003700
2.353250  0.003900
2.353510  0.004100
2.353780  0.004200
2.354050  0.004300
2.354320  0.004400
2.354580  0.004400
2.354850  0.004400
2.355120  0.004400
2.355390  0.004400
2.355650  0.004300
2.355920  0.004300
2.356190  0.004200
2.356460  0.004100
2.356720  0.004000
2.356990  0.004000
2.357260  0.004000
2.357530  0.004100
2.357790  0.004200
2.358060  0.004400
2.358330  0.004600
2.358600  0.004800
2.358870  0.005000
2.359140  0.005200
2.359400  0.005400
2.359670  0.005500
2.359940  0.005700
2.360210  0.006000
2.360480  0.006200
2.360750  0.006400
2.361020  0.006600
2.361280  0.006800
2.361550  0.007100
2.361820  0.007300
2.362090  0.007700
2.362360  0.008000
2.362630  0.008400
2.362900  0.008900
2.363170  0.009200
2.363440  0.009600
2.363710  0.009800
2.363980  0.009900
2.364250  0.010000
2.364510  0.010100
2.364780  0.010200
2.365050  0.010300
2.365320  0.010600
