# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.J
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX J filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.122000  0.000100
1.123000  0.000000
1.124000  0.000100
1.125000  0.000000
1.126000  0.000000
1.127000  0.000000
1.128000  0.000000
1.129000  0.000000
1.130000  0.000100
1.131000  0.000000
1.132000  0.000100
1.133000  0.000000
1.134000  0.000100
1.135000  0.000100
1.136000  0.000000
1.137000  0.000000
1.138000  0.000000
1.139000  0.000000
1.140000  0.000000
1.141000  0.000000
1.142000  0.000000
1.143000  0.000000
1.144000  0.000100
1.145000  0.000000
1.146000  0.000000
1.147000  0.000100
1.148000  0.000000
1.149000  0.000000
1.150000  0.000000
1.151000  0.000000
1.152000  0.000000
1.153000  0.000100
1.154000  0.000000
1.155000  0.000200
1.156000  0.000300
1.157000  0.000400
1.158000  0.000700
1.159000  0.000900
1.160000  0.001400
1.161000  0.002100
1.162000  0.003100
1.163000  0.004600
1.164000  0.006900
1.165000  0.010600
1.166000  0.016100
1.167000  0.024800
1.168000  0.038900
1.169000  0.061100
1.170000  0.096500
1.171000  0.151000
1.172000  0.231200
1.173000  0.327500
1.174000  0.440300
1.175000  0.551200
1.176000  0.642600
1.177000  0.714600
1.178000  0.762800
1.179000  0.790700
1.180000  0.804800
1.181000  0.810000
1.182000  0.810300
1.183000  0.809200
1.184000  0.809800
1.185000  0.812700
1.186000  0.818700
1.187000  0.826100
1.188000  0.834000
1.189000  0.840300
1.190000  0.844300
1.191000  0.845500
1.192000  0.844700
1.193000  0.843200
1.194000  0.841900
1.195000  0.841800
1.196000  0.843100
1.197000  0.845800
1.198000  0.849000
1.199000  0.852100
1.200000  0.854200
1.201000  0.855500
1.202000  0.855300
1.203000  0.854400
1.204000  0.853400
1.205000  0.852300
1.206000  0.852000
1.207000  0.852200
1.208000  0.852900
1.209000  0.853900
1.210000  0.854600
1.211000  0.854900
1.212000  0.854700
1.213000  0.854400
1.214000  0.853900
1.215000  0.853400
1.216000  0.853600
1.217000  0.854300
1.218000  0.855300
1.219000  0.856800
1.220000  0.858500
1.221000  0.859800
1.222000  0.860500
1.223000  0.860700
1.224000  0.860000
1.225000  0.858800
1.226000  0.857400
1.227000  0.855800
1.228000  0.854400
1.229000  0.853500
1.230000  0.853000
1.231000  0.852900
1.232000  0.853500
1.233000  0.854200
1.234000  0.855100
1.235000  0.856000
1.236000  0.856800
1.237000  0.857100
1.238000  0.857300
1.239000  0.857200
1.240000  0.856800
1.241000  0.856200
1.242000  0.855400
1.243000  0.854600
1.244000  0.853800
1.245000  0.853200
1.246000  0.852600
1.247000  0.852200
1.248000  0.851900
1.249000  0.851800
1.250000  0.852000
1.251000  0.852200
1.252000  0.852400
1.253000  0.852800
1.254000  0.852900
1.255000  0.853100
1.256000  0.853200
1.257000  0.853300
1.258000  0.853400
1.259000  0.853600
1.260000  0.853900
1.261000  0.854200
1.262000  0.854700
1.263000  0.855100
1.264000  0.855400
1.265000  0.855500
1.266000  0.855300
1.267000  0.854800
1.268000  0.853900
1.269000  0.853000
1.270000  0.851700
1.271000  0.850600
1.272000  0.849800
1.273000  0.849300
1.274000  0.849200
1.275000  0.849500
1.276000  0.850000
1.277000  0.850800
1.278000  0.851400
1.279000  0.851900
1.280000  0.851900
1.281000  0.851600
1.282000  0.850800
1.283000  0.849600
1.284000  0.848400
1.285000  0.847200
1.286000  0.846200
1.287000  0.845500
1.288000  0.845400
1.289000  0.845600
1.290000  0.846200
1.291000  0.847000
1.292000  0.847700
1.293000  0.847900
1.294000  0.847900
1.295000  0.846900
1.296000  0.845500
1.297000  0.843800
1.298000  0.841800
1.299000  0.839800
1.300000  0.838100
1.301000  0.837200
1.302000  0.836700
1.303000  0.837200
1.304000  0.838300
1.305000  0.839900
1.306000  0.841700
1.307000  0.843600
1.308000  0.844900
1.309000  0.845600
1.310000  0.845600
1.311000  0.844800
1.312000  0.843100
1.313000  0.841500
1.314000  0.839500
1.315000  0.837400
1.316000  0.836200
1.317000  0.835400
1.318000  0.835200
1.319000  0.835600
