# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.K
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Ks filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.859000  0.000000
1.860000  0.000000
1.861000  0.000100
1.862000  0.000200
1.863000  0.000300
1.864000  0.000400
1.865000  0.000500
1.866000  0.000400
1.867000  0.000300
1.868000  0.000000
1.869000  0.000000
1.870000  0.000000
1.871000  0.000000
1.872000  0.000000
1.873000  0.000000
1.874000  0.000000
1.875000  0.000100
1.876000  0.000600
1.877000  0.001000
1.878000  0.001400
1.879000  0.001700
1.880000  0.001800
1.881000  0.001700
1.882000  0.001500
1.883000  0.001300
1.884000  0.001100
1.885000  0.000800
1.886000  0.000600
1.887000  0.000500
1.888000  0.000600
1.889000  0.000600
1.890000  0.000700
1.891000  0.000700
1.892000  0.000700
1.893000  0.000600
1.894000  0.000500
1.895000  0.000500
1.896000  0.000600
1.897000  0.000700
1.898000  0.000700
1.899000  0.000600
1.900000  0.000400
1.901000  0.000200
1.902000  0.000100
1.903000  0.000000
1.904000  0.000100
1.905000  0.000300
1.906000  0.000600
1.907000  0.000700
1.908000  0.000800
1.909000  0.000900
1.910000  0.001100
1.911000  0.001300
1.912000  0.001500
1.913000  0.001600
1.914000  0.001400
1.915000  0.001200
1.916000  0.001100
1.917000  0.001000
1.918000  0.001100
1.919000  0.001300
1.920000  0.001400
1.921000  0.001400
1.922000  0.001300
1.923000  0.001100
1.924000  0.001000
1.925000  0.001000
1.926000  0.001200
1.927000  0.001500
1.928000  0.001900
1.929000  0.002300
1.930000  0.002600
1.931000  0.003000
1.932000  0.003500
1.933000  0.004100
1.934000  0.004700
1.935000  0.005400
1.936000  0.006000
1.937000  0.006700
1.938000  0.007400
1.939000  0.008200
1.940000  0.009000
1.941000  0.009900
1.942000  0.010900
1.943000  0.012100
1.944000  0.013300
1.945000  0.014800
1.946000  0.016300
1.947000  0.018100
1.948000  0.020000
1.949000  0.022200
1.950000  0.024600
1.951000  0.027300
1.952000  0.030300
1.953000  0.033600
1.954000  0.037200
1.955000  0.041200
1.956000  0.045600
1.957000  0.050500
1.958000  0.056000
1.959000  0.062100
1.960000  0.068800
1.961000  0.076300
1.962000  0.084500
1.963000  0.093600
1.964000  0.103500
1.965000  0.114500
1.966000  0.126500
1.967000  0.139700
1.968000  0.154100
1.969000  0.169900
1.970000  0.186900
1.971000  0.205300
1.972000  0.225100
1.973000  0.246300
1.974000  0.269000
1.975000  0.293100
1.976000  0.318600
1.977000  0.345400
1.978000  0.373300
1.979000  0.402400
1.980000  0.432300
1.981000  0.462800
1.982000  0.493800
1.983000  0.524800
1.984000  0.555800
1.985000  0.586400
1.986000  0.616300
1.987000  0.645400
1.988000  0.673400
1.989000  0.699900
1.990000  0.724900
1.991000  0.748400
1.992000  0.770000
1.993000  0.789800
1.994000  0.807700
1.995000  0.823700
1.996000  0.837900
1.997000  0.850500
1.998000  0.861500
1.999000  0.870800
2.000000  0.878700
2.001000  0.885300
2.002000  0.890800
2.003000  0.895300
2.004000  0.898800
2.005000  0.901500
2.006000  0.903500
2.007000  0.905100
2.008000  0.906100
2.009000  0.906800
2.010000  0.907300
2.011000  0.907500
2.012000  0.907500
2.013000  0.907400
2.014000  0.907300
2.015000  0.907100
2.016000  0.907000
2.017000  0.906900
2.018000  0.906800
2.019000  0.906900
2.020000  0.907000
2.021000  0.907100
2.022000  0.907300
2.023000  0.907700
2.024000  0.908200
2.025000  0.908700
2.026000  0.909300
2.027000  0.909800
2.028000  0.910200
2.029000  0.910600
2.030000  0.911000
2.031000  0.911600
2.032000  0.912200
2.033000  0.912900
2.034000  0.913500
2.035000  0.914200
2.036000  0.914800
2.037000  0.915400
2.038000  0.916100
2.039000  0.916700
2.040000  0.917300
2.041000  0.917800
2.042000  0.918300
2.043000  0.918700
2.044000  0.919100
2.045000  0.919400
2.046000  0.919600
2.047000  0.919900
2.048000  0.920100
2.049000  0.920200
2.050000  0.920200
2.051000  0.920200
2.052000  0.920100
2.053000  0.920000
2.054000  0.919900
2.055000  0.919700
2.056000  0.919500
2.057000  0.919200
2.058000  0.918800
2.059000  0.918500
2.060000  0.918200
2.061000  0.917900
2.062000  0.917600
2.063000  0.917300
2.064000  0.917100
2.065000  0.916800
2.066000  0.916500
2.067000  0.916200
2.068000  0.915900
2.069000  0.915700
2.070000  0.915500
2.071000  0.915300
2.072000  0.915100
2.073000  0.914900
2.074000  0.914600
2.075000  0.914400
2.076000  0.914200
2.077000  0.914000
2.078000  0.913900
2.079000  0.913700
2.080000  0.913600
2.081000  0.913500
2.082000  0.913400
2.083000  0.913300
2.084000  0.913300
2.085000  0.913200
2.086000  0.913100
2.087000  0.913000
2.088000  0.912900
2.089000  0.912800
2.090000  0.912800
2.091000  0.912700
2.092000  0.912600
2.093000  0.912500
2.094000  0.912300
2.095000  0.912200
2.096000  0.912100
2.097000  0.911900
2.098000  0.911800
2.099000  0.911700
2.100000  0.911500
2.101000  0.911400
2.102000  0.911200
2.103000  0.910900
2.104000  0.910700
2.105000  0.910500
2.106000  0.910200
2.107000  0.910000
2.108000  0.909700
2.109000  0.909500
2.110000  0.909200
2.111000  0.909000
2.112000  0.908700
2.113000  0.908400
2.114000  0.908100
2.115000  0.907800
2.116000  0.907500
2.117000  0.907200
2.118000  0.906900
2.119000  0.906600
2.120000  0.906300
2.121000  0.906100
2.122000  0.905800
2.123000  0.905500
2.124000  0.905300
2.125000  0.905100
2.126000  0.904900
2.127000  0.904800
2.128000  0.904600
2.129000  0.904500
2.130000  0.904400
2.131000  0.904200
2.132000  0.904100
2.133000  0.904000
2.134000  0.903900
2.135000  0.903800
2.136000  0.903800
2.137000  0.903800
2.138000  0.903700
2.139000  0.903700
2.140000  0.903700
2.141000  0.903700
2.142000  0.903700
2.143000  0.903800
2.144000  0.903900
2.145000  0.903900
2.146000  0.904000
2.147000  0.904100
2.148000  0.904200
2.149000  0.904400
2.150000  0.904500
2.151000  0.904800
2.152000  0.905000
2.153000  0.905200
2.154000  0.905400
2.155000  0.905600
2.156000  0.905800
2.157000  0.906000
2.158000  0.906300
2.159000  0.906500
2.160000  0.906700
2.161000  0.906900
2.162000  0.907100
2.163000  0.907200
2.164000  0.907300
2.165000  0.907400
2.166000  0.907400
2.167000  0.907500
2.168000  0.907500
2.169000  0.907600
2.170000  0.907600
2.171000  0.907700
2.172000  0.907700
2.173000  0.907700
2.174000  0.907600
2.175000  0.907600
2.176000  0.907500
2.177000  0.907400
2.178000  0.907300
2.179000  0.907300
2.180000  0.907200
2.181000  0.907100
2.182000  0.906900
2.183000  0.906800
2.184000  0.906600
2.185000  0.906400
2.186000  0.906200
2.187000  0.906000
2.188000  0.905800
2.189000  0.905500
2.190000  0.905200
2.191000  0.904800
2.192000  0.904500
2.193000  0.904100
2.194000  0.903700
2.195000  0.903300
2.196000  0.903000
2.197000  0.902500
2.198000  0.902100
2.199000  0.901600
2.200000  0.901100
2.201000  0.900500
2.202000  0.900000
2.203000  0.899400
2.204000  0.898800
2.205000  0.898200
2.206000  0.897600
2.207000  0.897100
2.208000  0.896500
2.209000  0.896000
2.210000  0.895600
2.211000  0.895200
2.212000  0.894800
2.213000  0.894400
2.214000  0.894100
2.215000  0.893900
2.216000  0.893700
2.217000  0.893500
2.218000  0.893400
2.219000  0.893400
2.220000  0.893400
2.221000  0.893400
2.222000  0.893400
2.223000  0.893400
2.224000  0.893500
2.225000  0.893600
2.226000  0.893700
2.227000  0.893800
2.228000  0.893900
