# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.Lp
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Lp filter transmission curve
# wavelength_unit : um
wavelength  transmission
3.342000  0.001200
3.343000  0.001200
3.344000  0.001200
3.345000  0.001200
3.346000  0.001200
3.347000  0.001200
3.348000  0.001300
3.349000  0.001300
3.350000  0.001400
3.351000  0.001500
3.352000  0.001500
3.353000  0.001500
3.354000  0.001500
3.355000  0.001500
3.356000  0.001500
3.357000  0.001500
3.358000  0.001500
3.359000  0.001500
3.360000  0.001600
3.361000  0.001600
3.362000  0.001600
3.363000  0.001700
3.364000  0.001600
3.365000  0.001600
3.366000  0.001600
3.367000  0.001700
3.368000  0.001700
3.369000  0.001700
3.370000  0.001800
3.371000  0.001800
3.372000  0.001800
3.373000  0.001800
3.374000  0.001800
3.375000  0.001900
3.376000  0.001900
3.377000  0.001800
3.378000  0.001800
3.379000  0.001700
3.380000  0.001700
3.381000  0.001700
3.382000  0.001800
3.383000  0.001900
3.384000  0.001900
3.385000  0.001900
3.386000  0.001900
3.387000  0.002000
3.388000  0.002000
3.389000  0.002100
3.390000  0.002200
3.391000  0.002300
3.392000  0.002300
3.393000  0.002400
3.394000  0.002400
3.395000  0.002500
3.396000  0.002500
3.397000  0.002600
3.398000  0.002600
3.399000  0.002600
3.400000  0.002700
3.401000  0.002700
3.402000  0.002700
3.403000  0.002700
3.404000  0.002700
3.405000  0.002700
3.406000  0.002800
3.407000  0.002900
3.408000  0.003000
3.409000  0.003100
3.410000  0.003200
3.411000  0.003300
3.412000  0.003300
3.413000  0.003400
3.414000  0.003400
3.415000  0.003500
3.416000  0.003600
3.417000  0.003700
3.418000  0.003800
3.419000  0.003800
3.420000  0.003800
3.421000  0.003900
3.422000  0.004000
3.423000  0.004100
3.424000  0.004200
3.425000  0.004400
3.426000  0.004500
3.427000  0.004600
3.428000  0.004800
3.429000  0.004900
3.430000  0.005100
3.431000  0.005200
3.432000  0.005400
3.433000  0.005600
3.434000  0.005800
3.435000  0.006100
3.436000  0.006400
3.437000  0.006700
3.438000  0.007000
