# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.Mp
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Mp filter transmission curve
# wavelength_unit : um
wavelength  transmission
4.283000  0.003200
4.284000  0.003300
4.285000  0.003300
4.286000  0.003300
4.287000  0.003300
4.288000  0.003200
4.289000  0.003200
4.290000  0.003200
4.291000  0.003200
4.292000  0.003200
4.293000  0.003200
4.294000  0.003300
4.295000  0.003300
4.296000  0.003400
4.297000  0.003400
4.298000  0.003500
4.299000  0.003500
4.300000  0.003500
4.301000  0.003400
4.302000  0.003400
4.303000  0.003300
4.304000  0.003200
4.305000  0.003100
4.306000  0.003100
4.307000  0.003000
4.308000  0.002900
4.309000  0.002900
4.310000  0.002800
4.311000  0.002800
4.312000  0.002700
4.313000  0.002700
4.314000  0.002700
4.315000  0.002700
4.316000  0.002700
4.317000  0.002700
4.318000  0.002700
4.319000  0.002700
4.320000  0.002700
4.321000  0.002700
4.322000  0.002700
4.323000  0.002700
4.324000  0.002700
4.325000  0.002700
4.326000  0.002600
4.327000  0.002600
4.328000  0.002600
4.329000  0.002600
4.330000  0.002500
4.331000  0.002500
4.332000  0.002500
4.333000  0.002400
4.334000  0.002400
4.335000  0.002400
4.336000  0.002400
4.337000  0.002400
4.338000  0.002400
4.339000  0.002400
4.340000  0.002400
4.341000  0.002400
4.342000  0.002500
4.343000  0.002500
4.344000  0.002500
4.345000  0.002500
4.346000  0.002500
4.347000  0.002500
4.348000  0.002500
4.349000  0.002500
4.350000  0.002500
4.351000  0.002500
4.352000  0.002500
4.353000  0.002600
4.354000  0.002600
4.355000  0.002600
4.356000  0.002600
4.357000  0.002700
4.358000  0.002700
4.359000  0.002700
4.360000  0.002700
4.361000  0.002800
4.362000  0.002800
4.363000  0.002800
4.364000  0.002800
4.365000  0.002900
4.366000  0.002900
4.367000  0.002900
4.368000  0.002900
4.369000  0.002900
4.370000  0.002900
4.371000  0.002900
4.372000  0.002900
4.373000  0.002900
4.374000  0.002900
4.375000  0.002900
4.376000  0.002900
4.377000  0.002900
4.378000  0.003000
4.379000  0.003000
4.380000  0.003100
4.381000  0.003100
4.382000  0.003200
4.383000  0.003300
4.384000  0.003300
4.385000  0.003400
4.386000  0.003400
4.387000  0.003500
4.388000  0.003500
4.389000  0.003600
4.390000  0.003600
4.391000  0.003700
4.392000  0.003700
4.393000  0.003800
4.394000  0.003800
4.395000  0.003900
4.396000  0.003900
4.397000  0.004000
4.398000  0.004000
4.399000  0.004100
4.400000  0.004100
4.401000  0.004200
4.402000  0.004300
4.403000  0.004400
4.404000  0.004500
4.405000  0.004600
4.406000  0.004700
4.407000  0.004800
4.408000  0.004900
4.409000  0.005000
4.410000  0.005100
4.411000  0.005200
4.412000  0.005300
4.413000  0.005500
4.414000  0.005600
4.415000  0.005700
4.416000  0.005800
4.417000  0.005900
4.418000  0.006100
4.419000  0.006200
4.420000  0.006400
4.421000  0.006600
4.422000  0.006700
4.423000  0.006900
4.424000  0.007100
4.425000  0.007400
4.426000  0.007600
4.427000  0.007800
4.428000  0.008100
4.429000  0.008400
4.430000  0.008700
4.431000  0.009000
4.432000  0.009400
4.433000  0.009800
4.434000  0.010300
4.435000  0.010700
4.436000  0.011300
4.437000  0.011800
4.438000  0.012400
4.439000  0.013000
4.440000  0.013600
4.441000  0.014300
4.442000  0.015000
4.443000  0.015800
4.444000  0.016700
4.445000  0.017700
4.446000  0.018800
4.447000  0.019900
4.448000  0.021200
4.449000  0.022600
4.450000  0.024100
4.451000  0.025800
4.452000  0.027600
4.453000  0.029600
4.454000  0.031800
4.455000  0.034200
4.456000  0.036900
4.457000  0.039800
4.458000  0.043000
4.459000  0.046600
4.460000  0.050600
4.461000  0.054900
4.462000  0.059800
4.463000  0.065100
4.464000  0.071000
4.465000  0.077400
4.466000  0.084500
4.467000  0.092400
4.468000  0.101000
4.469000  0.110400
4.470000  0.120700
4.471000  0.132100
4.472000  0.144400
4.473000  0.157800
4.474000  0.172400
4.475000  0.188200
4.476000  0.205100
4.477000  0.223200
4.478000  0.242500
4.479000  0.263000
4.480000  0.284500
4.481000  0.307000
4.482000  0.330400
4.483000  0.354600
4.484000  0.379300
4.485000  0.404500
4.486000  0.429800
4.487000  0.455100
4.488000  0.480100
4.489000  0.504800
4.490000  0.528800
4.491000  0.552000
4.492000  0.574200
4.493000  0.595400
4.494000  0.615400
4.495000  0.634100
4.496000  0.651500
4.497000  0.667600
4.498000  0.682400
4.499000  0.695900
4.500000  0.708200
4.501000  0.719300
4.502000  0.729200
4.503000  0.738200
4.504000  0.746200
4.505000  0.753400
4.506000  0.759800
4.507000  0.765500
4.508000  0.770500
4.509000  0.775000
4.510000  0.779000
4.511000  0.782600
4.512000  0.785800
4.513000  0.788700
4.514000  0.791300
4.515000  0.793600
4.516000  0.795800
4.517000  0.797700
4.518000  0.799400
4.519000  0.801000
4.520000  0.802400
4.521000  0.803700
4.522000  0.804900
4.523000  0.806000
4.524000  0.807000
4.525000  0.807900
4.526000  0.808700
4.527000  0.809400
4.528000  0.810100
4.529000  0.810700
4.530000  0.811300
4.531000  0.811800
4.532000  0.812200
4.533000  0.812600
4.534000  0.813000
4.535000  0.813300
