# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.Pa-b
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Pa-b filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.238000  0.000050
1.239000  0.000071
1.240000  0.000089
1.241000  0.000128
1.242000  0.000151
1.243000  0.000189
1.244000  0.000248
1.245000  0.000295
1.246000  0.000351
1.247000  0.000430
1.248000  0.000513
1.249000  0.000609
1.250000  0.000717
1.251000  0.000876
1.252000  0.001051
1.253000  0.001278
1.254000  0.001568
1.255000  0.001951
1.256000  0.002451
1.257000  0.003080
1.258000  0.003953
1.259000  0.005144
1.260000  0.006750
1.261000  0.009046
1.262000  0.012282
1.263000  0.016986
1.264000  0.024114
1.265000  0.034708
1.266000  0.051650
1.267000  0.077792
1.268000  0.119501
1.269000  0.186742
1.270000  0.284390
1.271000  0.415782
1.272000  0.561958
1.273000  0.679887
1.274000  0.750118
1.275000  0.776404
1.276000  0.782591
1.277000  0.785955
1.278000  0.793875
1.279000  0.807232
1.280000  0.822261
1.281000  0.834151
1.282000  0.839539
1.283000  0.836661
1.284000  0.827540
1.285000  0.815655
1.286000  0.805615
1.287000  0.798276
1.288000  0.789923
1.289000  0.769230
1.290000  0.715609
1.291000  0.619298
1.292000  0.484868
1.293000  0.343825
1.294000  0.232182
1.295000  0.150058
1.296000  0.097992
1.297000  0.065012
1.298000  0.043374
1.299000  0.030017
1.300000  0.021127
1.301000  0.015147
1.302000  0.011124
1.303000  0.008270
1.304000  0.006263
1.305000  0.004816
1.306000  0.003728
1.307000  0.002961
1.308000  0.002361
1.309000  0.001907
1.310000  0.001553
1.311000  0.001264
1.312000  0.001045
1.313000  0.000876
1.314000  0.000742
1.315000  0.000628
1.316000  0.000525
1.317000  0.000463
1.318000  0.000393
1.319000  0.000350
1.320000  0.000298
1.321000  0.000267
1.322000  0.000229
1.323000  0.000202
1.324000  0.000197
1.325000  0.000162
1.326000  0.000150
1.327000  0.000132
1.328000  0.000116
