# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# svo_id : Paranal/ERIS.Lp_short
# date_created  : 2026-04-15
# date_modified : 2026-04-15
# type : filter:transmission
# status : measured
# description : ERIS NIX Short-Lp filter transmission curve
# wavelength_unit : um
wavelength  transmission
2.993000  0.001100
2.994000  0.001100
2.995000  0.001100
2.996000  0.001200
2.997000  0.001300
2.998000  0.001400
2.999000  0.001400
3.000000  0.001300
3.001000  0.001300
3.002000  0.001300
3.003000  0.001400
3.004000  0.001400
3.005000  0.001400
3.006000  0.001500
3.007000  0.001500
3.008000  0.001500
3.009000  0.001500
3.010000  0.001600
3.011000  0.001600
3.012000  0.001600
3.013000  0.001700
3.014000  0.001800
3.015000  0.001800
3.016000  0.001800
3.017000  0.001700
3.018000  0.001700
3.019000  0.001700
3.020000  0.001700
3.021000  0.001800
3.022000  0.001900
3.023000  0.002000
3.024000  0.002000
3.025000  0.002000
3.026000  0.002000
3.027000  0.002100
3.028000  0.002200
3.029000  0.002200
3.030000  0.002200
3.031000  0.002200
3.032000  0.002300
3.033000  0.002400
3.034000  0.002400
3.035000  0.002400
3.036000  0.002400
3.037000  0.002500
3.038000  0.002600
3.039000  0.002800
3.040000  0.002900
3.041000  0.003000
3.042000  0.003000
3.043000  0.003100
3.044000  0.003100
3.045000  0.003200
3.046000  0.003300
3.047000  0.003500
3.048000  0.003600
3.049000  0.003800
3.050000  0.003900
3.051000  0.004100
3.052000  0.004200
3.053000  0.004500
3.054000  0.004700
3.055000  0.005000
3.056000  0.005200
3.057000  0.005400
3.058000  0.005600
3.059000  0.005900
3.060000  0.006300
3.061000  0.006700
3.062000  0.007200
3.063000  0.007700
3.064000  0.008200
3.065000  0.008800
3.066000  0.009400
3.067000  0.010100
3.068000  0.010900
3.069000  0.011800
3.070000  0.012800
3.071000  0.013800
3.072000  0.015000
3.073000  0.016400
3.074000  0.018100
3.075000  0.020000
3.076000  0.022100
3.077000  0.024500
3.078000  0.027200
3.079000  0.030200
3.080000  0.033700
3.081000  0.037700
3.082000  0.042200
3.083000  0.047500
3.084000  0.053400
3.085000  0.060300
3.086000  0.068200
3.087000  0.077200
3.088000  0.087400
3.089000  0.099100
3.090000  0.112400
3.091000  0.127400
3.092000  0.144300
3.093000  0.163100
3.094000  0.183800
3.095000  0.206600
3.096000  0.231300
3.097000  0.257700
3.098000  0.285400
3.099000  0.314200
3.100000  0.343400
3.101000  0.372600
3.102000  0.401500
3.103000  0.429500
3.104000  0.456200
3.105000  0.480800
3.106000  0.503200
3.107000  0.523300
3.108000  0.541400
3.109000  0.557700
3.110000  0.572100
3.111000  0.584700
3.112000  0.595800
3.113000  0.605900
3.114000  0.615100
3.115000  0.623500
3.116000  0.631400
3.117000  0.638800
3.118000  0.646000
3.119000  0.653200
3.120000  0.660300
3.121000  0.667500
3.122000  0.674800
3.123000  0.682200
3.124000  0.689600
3.125000  0.697100
3.126000  0.704500
3.127000  0.711900
3.128000  0.719300
3.129000  0.726600
3.130000  0.733800
3.131000  0.740700
3.132000  0.747300
3.133000  0.753500
3.134000  0.759400
3.135000  0.765000
3.136000  0.770100
3.137000  0.774800
3.138000  0.779000
3.139000  0.782700
3.140000  0.785800
3.141000  0.788300
3.142000  0.790300
3.143000  0.791900
3.144000  0.793200
3.145000  0.794000
3.146000  0.794500
3.147000  0.794500
3.148000  0.794100
3.149000  0.793400
3.150000  0.792500
3.151000  0.791400
3.152000  0.790200
3.153000  0.788900
3.154000  0.787500
3.155000  0.786000
3.156000  0.784400
3.157000  0.782800
3.158000  0.781200
3.159000  0.779700
3.160000  0.778300
3.161000  0.777200
3.162000  0.776200
3.163000  0.775300
3.164000  0.774500
3.165000  0.773900
3.166000  0.773400
3.167000  0.773100
3.168000  0.773000
3.169000  0.773000
3.170000  0.773400
3.171000  0.773800
3.172000  0.774500
3.173000  0.775300
3.174000  0.776200
3.175000  0.777400
3.176000  0.778700
3.177000  0.780100
3.178000  0.781600
3.179000  0.783300
3.180000  0.785100
3.181000  0.787100
3.182000  0.789200
3.183000  0.791300
3.184000  0.793400
3.185000  0.795500
3.186000  0.797600
3.187000  0.799700
3.188000  0.802000
3.189000  0.804200
3.190000  0.806500
3.191000  0.808700
3.192000  0.810900
3.193000  0.813100
3.194000  0.815200
3.195000  0.817300
3.196000  0.819400
3.197000  0.821300
3.198000  0.823200
3.199000  0.825100
3.200000  0.826900
3.201000  0.828600
3.202000  0.830200
3.203000  0.831700
3.204000  0.833000
3.205000  0.834300
3.206000  0.835500
3.207000  0.836600
3.208000  0.837600
3.209000  0.838700
3.210000  0.839600
3.211000  0.840400
3.212000  0.841200
3.213000  0.841800
3.214000  0.842300
3.215000  0.842800
3.216000  0.843300
3.217000  0.843700
3.218000  0.844100
3.219000  0.844400
3.220000  0.844800
3.221000  0.845000
3.222000  0.845300
3.223000  0.845500
3.224000  0.845700
3.225000  0.845800
3.226000  0.845900
3.227000  0.846000
3.228000  0.846100
3.229000  0.846300
3.230000  0.846400
3.231000  0.846500
3.232000  0.846500
3.233000  0.846500
3.234000  0.846600
3.235000  0.846600
3.236000  0.846700
3.237000  0.846800
3.238000  0.846900
3.239000  0.847000
3.240000  0.847100
3.241000  0.847100
3.242000  0.847000
3.243000  0.846900
3.244000  0.846900
3.245000  0.847000
3.246000  0.847100
3.247000  0.847200
3.248000  0.847200
3.249000  0.847300
3.250000  0.847200
3.251000  0.847200
3.252000  0.847100
3.253000  0.847000
3.254000  0.846900
3.255000  0.846900
3.256000  0.846800
3.257000  0.846800
3.258000  0.846700
3.259000  0.846600
3.260000  0.846500
3.261000  0.846400
3.262000  0.846300
3.263000  0.846100
3.264000  0.845900
3.265000  0.845600
3.266000  0.845300
3.267000  0.845000
3.268000  0.844700
3.269000  0.844500
3.270000  0.844300
3.271000  0.844100
3.272000  0.843900
3.273000  0.843600
3.274000  0.843200
3.275000  0.842800
3.276000  0.842500
3.277000  0.842100
3.278000  0.841800
3.279000  0.841400
3.280000  0.841100
3.281000  0.840900
3.282000  0.840700
3.283000  0.840400
3.284000  0.840200
3.285000  0.840000
3.286000  0.839700
3.287000  0.839400
3.288000  0.839300
3.289000  0.839100
3.290000  0.839100
3.291000  0.839000
3.292000  0.838800
3.293000  0.838600
3.294000  0.838500
3.295000  0.838400
3.296000  0.838500
3.297000  0.838700
3.298000  0.838800
3.299000  0.838900
3.300000  0.838900
3.301000  0.838900
3.302000  0.839000
3.303000  0.839200
3.304000  0.839400
3.305000  0.839700
3.306000  0.840000
3.307000  0.840300
3.308000  0.840600
3.309000  0.841000
3.310000  0.841400
3.311000  0.841800
3.312000  0.842200
3.313000  0.842700
3.314000  0.843200
3.315000  0.843700
3.316000  0.844200
3.317000  0.844700
3.318000  0.845200
3.319000  0.845700
3.320000  0.846200
3.321000  0.846800
3.322000  0.847200
3.323000  0.847700
3.324000  0.848200
3.325000  0.848800
3.326000  0.849400
3.327000  0.850000
3.328000  0.850600
3.329000  0.851100
3.330000  0.851600
3.331000  0.852100
3.332000  0.852600
3.333000  0.853200
3.334000  0.853700
3.335000  0.854200
3.336000  0.854700
3.337000  0.855100
3.338000  0.855400
3.339000  0.855800
3.340000  0.856100
3.341000  0.856400
3.342000  0.856600
3.343000  0.856900
3.344000  0.857200
3.345000  0.857400
3.346000  0.857600
3.347000  0.857800
3.348000  0.857900
3.349000  0.857900
3.350000  0.857900
3.351000  0.857900
3.352000  0.857900
3.353000  0.857900
3.354000  0.857900
3.355000  0.857800
3.356000  0.857700
3.357000  0.857500
3.358000  0.857200
3.359000  0.856900
3.360000  0.856600
3.361000  0.856200
3.362000  0.855800
3.363000  0.855500
3.364000  0.855100
3.365000  0.854600
3.366000  0.854200
3.367000  0.853700
3.368000  0.853400
3.369000  0.853100
3.370000  0.852800
3.371000  0.852400
3.372000  0.852000
3.373000  0.851600
3.374000  0.851100
3.375000  0.850500
3.376000  0.850100
3.377000  0.849700
3.378000  0.849300
3.379000  0.848900
3.380000  0.848600
3.381000  0.848100
3.382000  0.847700
3.383000  0.847300
3.384000  0.846900
3.385000  0.846500
3.386000  0.846100
3.387000  0.845600
3.388000  0.845200
3.389000  0.844900
3.390000  0.844600
3.391000  0.844300
3.392000  0.844000
3.393000  0.843700
3.394000  0.843400
3.395000  0.843200
3.396000  0.842900
3.397000  0.842700
3.398000  0.842500
3.399000  0.842300
3.400000  0.842100
3.401000  0.842000
3.402000  0.841800
3.403000  0.841800
3.404000  0.841700
3.405000  0.841700
3.406000  0.841700
3.407000  0.841700
3.408000  0.841700
3.409000  0.841800
3.410000  0.841800
3.411000  0.841900
3.412000  0.842100
3.413000  0.842300
3.414000  0.842500
3.415000  0.842700
3.416000  0.842900
3.417000  0.843000
3.418000  0.843200
3.419000  0.843400
3.420000  0.843700
3.421000  0.844000
3.422000  0.844500
3.423000  0.844800
3.424000  0.845200
3.425000  0.845400
3.426000  0.845700
3.427000  0.845900
3.428000  0.846300
3.429000  0.846600
3.430000  0.847000
3.431000  0.847300
3.432000  0.847500
3.433000  0.847800
3.434000  0.848000
3.435000  0.848200
3.436000  0.848400
3.437000  0.848700
3.438000  0.848900
3.439000  0.849200
3.440000  0.849400
3.441000  0.849600
3.442000  0.849700
3.443000  0.849800
3.444000  0.849900
3.445000  0.849900
3.446000  0.849900
3.447000  0.849900
3.448000  0.849800
3.449000  0.849700
3.450000  0.849600
3.451000  0.849300
3.452000  0.849000
3.453000  0.848700
3.454000  0.848200
3.455000  0.847700
3.456000  0.847000
3.457000  0.846300
3.458000  0.845500
3.459000  0.844600
3.460000  0.843600
3.461000  0.842600
3.462000  0.841400
3.463000  0.840100
3.464000  0.838600
3.465000  0.837100
3.466000  0.835400
3.467000  0.833700
3.468000  0.831900
3.469000  0.829900
3.470000  0.827800
3.471000  0.825600
3.472000  0.823300
3.473000  0.820800
3.474000  0.818200
3.475000  0.815400
3.476000  0.812600
3.477000  0.809700
3.478000  0.806600
3.479000  0.803500
3.480000  0.800300
3.481000  0.797000
3.482000  0.793600
3.483000  0.790200
3.484000  0.786800
3.485000  0.783400
3.486000  0.780000
3.487000  0.776700
3.488000  0.773500
3.489000  0.770200
3.490000  0.767000
3.491000  0.763800
3.492000  0.760800
3.493000  0.757900
3.494000  0.755100
3.495000  0.752500
3.496000  0.750100
3.497000  0.747800
3.498000  0.745600
3.499000  0.743700
3.500000  0.742000
3.501000  0.740600
3.502000  0.739400
3.503000  0.738600
3.504000  0.738000
3.505000  0.737600
3.506000  0.737400
3.507000  0.737400
3.508000  0.737600
3.509000  0.737900
3.510000  0.738200
3.511000  0.738500
3.512000  0.738800
3.513000  0.739000
3.514000  0.738900
3.515000  0.738400
3.516000  0.737400
3.517000  0.735800
3.518000  0.733400
3.519000  0.729800
3.520000  0.725100
3.521000  0.718800
3.522000  0.710900
3.523000  0.701100
3.524000  0.689200
3.525000  0.675200
3.526000  0.658900
3.527000  0.640300
3.528000  0.619500
3.529000  0.596600
3.530000  0.571800
3.531000  0.545300
3.532000  0.517400
3.533000  0.488600
3.534000  0.459200
3.535000  0.429600
3.536000  0.400100
3.537000  0.371200
3.538000  0.343200
3.539000  0.316200
3.540000  0.290600
3.541000  0.266300
3.542000  0.243600
3.543000  0.222400
3.544000  0.202800
3.545000  0.184700
3.546000  0.168200
3.547000  0.153100
3.548000  0.139300
3.549000  0.126800
3.550000  0.115400
3.551000  0.105100
3.552000  0.095800
3.553000  0.087500
3.554000  0.079900
3.555000  0.073000
3.556000  0.066800
3.557000  0.061200
3.558000  0.056100
3.559000  0.051600
3.560000  0.047400
3.561000  0.043700
3.562000  0.040200
3.563000  0.037100
3.564000  0.034300
3.565000  0.031800
3.566000  0.029500
3.567000  0.027500
3.568000  0.025500
3.569000  0.023800
3.570000  0.022200
3.571000  0.020700
3.572000  0.019300
3.573000  0.018100
3.574000  0.017000
3.575000  0.016000
3.576000  0.015000
3.577000  0.014200
3.578000  0.013400
3.579000  0.012600
3.580000  0.011900
3.581000  0.011300
3.582000  0.010700
3.583000  0.010100
3.584000  0.009600
3.585000  0.009200
3.586000  0.008800
3.587000  0.008400
3.588000  0.008000
3.589000  0.007700
3.590000  0.007400
3.591000  0.007100
3.592000  0.006800
3.593000  0.006500
3.594000  0.006200
3.595000  0.006000
3.596000  0.005700
3.597000  0.005500
3.598000  0.005300
3.599000  0.005200
3.600000  0.005000
3.601000  0.004900
3.602000  0.004700
3.603000  0.004600
3.604000  0.004400
3.605000  0.004200
3.606000  0.004100
3.607000  0.003900
3.608000  0.003800
3.609000  0.003800
3.610000  0.003700
3.611000  0.003700
3.612000  0.003600
3.613000  0.003500
3.614000  0.003400
3.615000  0.003300
3.616000  0.003300
3.617000  0.003200
3.618000  0.003100
3.619000  0.003000
3.620000  0.002900
3.621000  0.002800
3.622000  0.002700
3.623000  0.002600
3.624000  0.002600
3.625000  0.002500
3.626000  0.002500
3.627000  0.002500
3.628000  0.002500
3.629000  0.002500
3.630000  0.002500
3.631000  0.002400
3.632000  0.002400
3.633000  0.002400
3.634000  0.002300
3.635000  0.002300
3.636000  0.002200
3.637000  0.002100
3.638000  0.002100
3.639000  0.002100
3.640000  0.002100
3.641000  0.002100
3.642000  0.002000
3.643000  0.001900
3.644000  0.001900
3.645000  0.001800
3.646000  0.001800
3.647000  0.001800
3.648000  0.001800
3.649000  0.001800
3.650000  0.001800
3.651000  0.001800
3.652000  0.001800
3.653000  0.001800
3.654000  0.001800
3.655000  0.001800
3.656000  0.001800
3.657000  0.001800
3.658000  0.001700
3.659000  0.001700
3.660000  0.001700
3.661000  0.001700
3.662000  0.001600
3.663000  0.001600
3.664000  0.001600
3.665000  0.001600
3.666000  0.001600
3.667000  0.001600
3.668000  0.001600
3.669000  0.001600
3.670000  0.001600
3.671000  0.001600
3.672000  0.001600
3.673000  0.001600
3.674000  0.001600
3.675000  0.001500
3.676000  0.001500
3.677000  0.001500
3.678000  0.001400
3.679000  0.001400
3.680000  0.001300
3.681000  0.001300
