# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# date_created  : 2026-04-03
# date_modified : 2026-04-03
# type : filter:transmission
# status : measured
# description : HAWKI BrGamma filter transmission curve
# wavelength_unit : um
wavelength  transmission
2.133300  0.004147
2.133500  0.004303
2.133700  0.004615
2.133900  0.004818
2.134100  0.005069
2.134300  0.005312
2.134500  0.005594
2.134700  0.005856
2.134900  0.006234
2.135100  0.006482
2.135300  0.006848
2.135500  0.007186
2.135700  0.007610
2.135900  0.008010
2.136100  0.008331
2.136300  0.008921
2.136500  0.009263
2.136700  0.009856
2.136900  0.010333
2.137100  0.011010
2.137300  0.011450
2.137500  0.012244
2.137700  0.012803
2.137900  0.013646
2.138100  0.014368
2.138300  0.015142
2.138500  0.016033
2.138700  0.016862
2.138900  0.017846
2.139100  0.018809
2.139200  0.019996
2.139400  0.020969
2.139600  0.022497
2.139800  0.023463
2.140000  0.025118
2.140200  0.026410
2.140400  0.028103
2.140600  0.029683
2.140800  0.031326
2.141000  0.033244
2.141200  0.035319
2.141400  0.037291
2.141600  0.039179
2.141800  0.042016
2.142000  0.044022
2.142200  0.047261
2.142400  0.049426
2.142600  0.053194
2.142800  0.055901
2.143000  0.059717
2.143200  0.063189
2.143400  0.066764
2.143600  0.070903
2.143800  0.074930
2.144000  0.079785
2.144200  0.083845
2.144400  0.089784
2.144600  0.094738
2.144800  0.101344
2.145000  0.105935
2.145200  0.113605
2.145400  0.118856
2.145600  0.127116
2.145800  0.134391
2.146000  0.141683
2.146200  0.150761
2.146400  0.158281
2.146600  0.167958
2.146800  0.176522
2.147000  0.186665
2.147200  0.196503
2.147400  0.208449
2.147600  0.216963
2.147800  0.230808
2.148000  0.241182
2.148200  0.255301
2.148400  0.266601
2.148600  0.279975
2.148800  0.293556
2.149000  0.306570
2.149200  0.321088
2.149400  0.334426
2.149600  0.350075
2.149800  0.363590
2.150000  0.380839
2.150200  0.392615
2.150400  0.410926
2.150600  0.423932
2.150800  0.441589
2.151000  0.454611
2.151200  0.471894
2.151400  0.486678
2.151600  0.502529
2.151800  0.516856
2.152000  0.529093
2.152200  0.546319
2.152400  0.557696
2.152600  0.573076
2.152800  0.584660
2.153000  0.599276
2.153200  0.610006
2.153400  0.624421
2.153600  0.633487
2.153800  0.646350
2.154000  0.656572
2.154200  0.666639
2.154400  0.676764
2.154600  0.683381
2.154800  0.692862
2.155000  0.700933
2.155200  0.707363
2.155400  0.714072
2.155600  0.721431
2.155800  0.725499
2.156000  0.731990
2.156200  0.736140
2.156400  0.740308
2.156600  0.744822
2.156800  0.748274
2.157000  0.750733
2.157200  0.754101
2.157400  0.756680
2.157600  0.758792
2.157800  0.761391
2.158000  0.762141
2.158200  0.764264
2.158400  0.765534
2.158600  0.766426
2.158800  0.767880
2.159000  0.768515
2.159200  0.768632
2.159300  0.770313
2.159500  0.770079
2.159700  0.770522
2.159900  0.771238
2.160100  0.771137
2.160300  0.771767
2.160500  0.772066
2.160700  0.771587
2.160900  0.772385
2.161100  0.771888
2.161300  0.771373
2.161500  0.772308
2.161700  0.771814
2.161900  0.771475
2.162100  0.772041
2.162300  0.771255
2.162500  0.771203
2.162700  0.771561
2.162900  0.770553
2.163100  0.771251
2.163300  0.770714
2.163500  0.770320
2.163700  0.770202
2.163900  0.769715
2.164100  0.768739
2.164300  0.769286
2.164500  0.768403
2.164700  0.768078
2.164900  0.767979
2.165100  0.766797
2.165300  0.766850
2.165500  0.765944
2.165700  0.765113
2.165900  0.765133
2.166100  0.764303
2.166300  0.763401
2.166500  0.763397
2.166700  0.762091
2.166900  0.761801
2.167100  0.761523
2.167300  0.760189
2.167500  0.760164
2.167700  0.759708
2.167900  0.758084
2.168100  0.758476
2.168300  0.757288
2.168500  0.756440
2.168700  0.756910
2.168900  0.755798
2.169100  0.755326
2.169300  0.755592
2.169500  0.754236
2.169700  0.754408
2.169900  0.753959
2.170100  0.752903
2.170300  0.753567
2.170500  0.753038
2.170700  0.751971
2.170900  0.752394
2.171100  0.751368
2.171300  0.750838
2.171500  0.751040
2.171700  0.750079
2.171900  0.749660
2.172100  0.748966
2.172300  0.747082
2.172500  0.747017
2.172700  0.745463
2.172900  0.743484
2.173100  0.742208
2.173300  0.739519
2.173500  0.737245
2.173700  0.734105
2.173900  0.730565
2.174100  0.726783
2.174300  0.723367
2.174500  0.716977
2.174700  0.713041
2.174900  0.705961
2.175100  0.699239
2.175300  0.691262
2.175500  0.683650
2.175700  0.673718
2.175900  0.665214
2.176100  0.654643
2.176300  0.642579
2.176500  0.631809
2.176700  0.617200
2.176900  0.606233
2.177100  0.589374
2.177300  0.575998
2.177500  0.558442
2.177700  0.545132
2.177900  0.525910
2.178100  0.510366
2.178300  0.490931
2.178500  0.473998
2.178700  0.455817
2.178900  0.436656
2.179100  0.418785
2.179200  0.399963
2.179400  0.384725
2.179600  0.363436
2.179800  0.349133
2.180000  0.327860
2.180200  0.314732
2.180400  0.294103
2.180600  0.280043
2.180800  0.262414
2.181000  0.248188
2.181200  0.234025
2.181400  0.219769
2.181600  0.206921
2.181800  0.193091
2.182000  0.182977
2.182200  0.169707
2.182400  0.160058
2.182600  0.148675
2.182800  0.141291
2.183000  0.130468
2.183200  0.122776
2.183400  0.113750
2.183600  0.106997
2.183800  0.099569
2.184000  0.093075
2.184200  0.086870
2.184400  0.081254
2.184600  0.076780
2.184800  0.071174
2.185000  0.067307
2.185200  0.062376
2.185400  0.059258
2.185600  0.054849
2.185800  0.051762
2.186000  0.047929
2.186200  0.045537
2.186400  0.042536
2.186600  0.039895
2.186800  0.037533
2.187000  0.035444
2.187200  0.033446
2.187400  0.031284
2.187600  0.029629
2.187800  0.027690
2.188000  0.026512
2.188200  0.024723
2.188400  0.023662
2.188600  0.022066
2.188800  0.021061
2.189000  0.019718
