# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# date_created  : 2026-04-03
# date_modified : 2026-04-03
# type : filter:transmission
# status : measured
# description : HAWKI CH4 filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.491100  0.004657
1.491300  0.003823
1.491500  0.004697
1.491700  0.004483
1.491900  0.004299
1.492100  0.005032
1.492300  0.005717
1.492500  0.005938
1.492700  0.006545
1.492900  0.005564
1.493100  0.006041
1.493300  0.007158
1.493500  0.005851
1.493700  0.006792
1.493900  0.006744
1.494100  0.007390
1.494300  0.007459
1.494500  0.007473
1.494700  0.007413
1.494900  0.009186
1.495100  0.008811
1.495300  0.009257
1.495500  0.009223
1.495700  0.009886
1.495900  0.010314
1.496100  0.010613
1.496300  0.011401
1.496500  0.012286
1.496700  0.011851
1.496900  0.012107
1.497100  0.013025
1.497300  0.013433
1.497500  0.014142
1.497700  0.014977
1.497900  0.015421
1.498100  0.015870
1.498300  0.016136
1.498500  0.016066
1.498700  0.017281
1.498900  0.017850
1.499100  0.018056
1.499300  0.019652
1.499500  0.020598
1.499700  0.021250
1.499900  0.022461
1.500100  0.023256
1.500300  0.023379
1.500500  0.024951
1.500700  0.025592
1.500900  0.026412
1.501100  0.027409
1.501300  0.028628
1.501500  0.028695
1.501700  0.029745
1.501900  0.031826
1.502100  0.032238
1.502300  0.034245
1.502500  0.034876
1.502700  0.036008
1.502900  0.036069
1.503100  0.037457
1.503300  0.039070
1.503500  0.041532
1.503700  0.042313
1.503900  0.044187
1.504100  0.044425
1.504300  0.046312
1.504500  0.047862
1.504700  0.048919
1.504900  0.050992
1.505100  0.052137
1.505300  0.053534
1.505500  0.055674
1.505700  0.057418
1.505900  0.058819
1.506100  0.061531
1.506300  0.063319
1.506500  0.064929
1.506700  0.067149
1.506900  0.069066
1.507100  0.071260
1.507300  0.073558
1.507500  0.075269
1.507700  0.077730
1.507900  0.080237
1.508100  0.082234
1.508300  0.083540
1.508500  0.087218
1.508700  0.090916
1.508900  0.092673
1.509100  0.095866
1.509300  0.098401
1.509500  0.102122
1.509700  0.104248
1.509900  0.108293
1.510100  0.111554
1.510300  0.114647
1.510500  0.118354
1.510700  0.122334
1.510900  0.125965
1.511100  0.130266
1.511300  0.134695
1.511500  0.138407
1.511700  0.142864
1.511900  0.148554
1.512100  0.152870
1.512300  0.158081
1.512500  0.163371
1.512700  0.169229
1.512900  0.174192
1.513100  0.180662
1.513300  0.186084
1.513500  0.193646
1.513700  0.200968
1.513900  0.206785
1.514100  0.215482
1.514300  0.221261
1.514500  0.230377
1.514700  0.238814
1.514900  0.247055
1.515100  0.256187
1.515300  0.264012
1.515500  0.275022
1.515700  0.285267
1.515900  0.295761
1.516100  0.305281
1.516300  0.319078
1.516500  0.329186
1.516700  0.341711
1.516900  0.352369
1.517100  0.366085
1.517300  0.378432
1.517500  0.392326
1.517700  0.406010
1.517900  0.418646
1.518100  0.435070
1.518300  0.449142
1.518500  0.464839
1.518700  0.478486
1.518900  0.495219
1.519100  0.511810
1.519300  0.527614
1.519500  0.542835
1.519700  0.559714
1.519900  0.574429
1.520100  0.591974
1.520300  0.607587
1.520500  0.624336
1.520700  0.640565
1.520900  0.655654
1.521100  0.671912
1.521300  0.689285
1.521500  0.704094
1.521700  0.718690
1.521900  0.734346
1.522100  0.746089
1.522300  0.759942
1.522500  0.773232
1.522700  0.785360
1.522900  0.796665
1.523100  0.807022
1.523300  0.817712
1.523500  0.827245
1.523700  0.836931
1.523900  0.844701
1.524100  0.852991
1.524300  0.858880
1.524500  0.864523
1.524700  0.869683
1.524900  0.876017
1.525100  0.880203
1.525300  0.883611
1.525500  0.887002
1.525700  0.888936
1.525900  0.891952
1.526100  0.892746
1.526300  0.895880
1.526500  0.895248
1.526700  0.897541
1.526900  0.897046
1.527100  0.895801
1.527300  0.898481
1.527500  0.897119
1.527700  0.894886
1.527900  0.895583
1.528100  0.893129
1.528300  0.892579
1.528500  0.891669
