# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# date_created  : 2026-04-03
# date_modified : 2026-04-03
# type : filter:transmission
# status : measured
# description : HAWKI H filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.437800  0.004994
1.439800  0.006640
1.441800  0.008514
1.443800  0.010554
1.445800  0.012593
1.447800  0.014697
1.449800  0.016686
1.451800  0.019144
1.453800  0.022437
1.455800  0.026732
1.457800  0.032751
1.459800  0.041536
1.461800  0.054456
1.463800  0.074068
1.465800  0.104524
1.467800  0.150133
1.469800  0.220954
1.471800  0.323059
1.473800  0.461990
1.475800  0.621894
1.477800  0.751326
1.479800  0.824902
1.481800  0.845005
1.483800  0.842003
1.485800  0.834871
1.487800  0.834423
1.489800  0.844546
1.491800  0.861081
1.493800  0.881592
1.495800  0.902703
1.497800  0.919243
1.499700  0.931876
1.501700  0.940316
1.503700  0.943021
1.505700  0.944249
1.507700  0.944128
1.509700  0.943154
1.511700  0.944593
1.513700  0.946183
1.515700  0.948625
1.517700  0.952316
1.519700  0.955746
1.521700  0.959126
1.523700  0.962587
1.525700  0.963830
1.527700  0.965099
1.529700  0.965801
1.531700  0.964395
1.533700  0.964085
1.535700  0.961942
1.537700  0.960000
1.539700  0.959276
1.541700  0.957333
1.543700  0.956268
1.545700  0.956353
1.547700  0.955460
1.549700  0.956540
1.551700  0.957712
1.553700  0.958374
1.555700  0.960769
1.557700  0.961994
1.559700  0.963214
1.561700  0.965203
1.563700  0.966082
1.565600  0.966764
1.567600  0.968081
1.569600  0.967474
1.571600  0.967154
1.573600  0.967107
1.575600  0.966346
1.577600  0.966074
1.579600  0.965008
1.581600  0.963678
1.583600  0.963472
1.585600  0.961824
1.587600  0.960194
1.589600  0.959843
1.591600  0.957956
1.593600  0.957013
1.595600  0.956304
1.597600  0.954790
1.599600  0.954297
1.601600  0.954133
1.603600  0.953268
1.605600  0.954520
1.607600  0.953975
1.609600  0.954777
1.611600  0.955970
1.613600  0.956074
1.615600  0.957099
1.617600  0.958312
1.619600  0.958374
1.621600  0.959823
1.623600  0.960852
1.625600  0.961100
1.627600  0.962814
1.629600  0.963380
1.631500  0.964168
1.633500  0.966634
1.635500  0.966338
1.637500  0.968870
1.639500  0.969977
1.641500  0.970651
1.643500  0.972120
1.645500  0.972628
1.647500  0.972787
1.649500  0.974081
1.651500  0.972854
1.653500  0.972736
1.655500  0.973275
1.657500  0.972301
1.659500  0.972420
1.661500  0.973083
1.663500  0.972758
1.665500  0.974728
1.667500  0.975217
1.669500  0.975398
1.671500  0.978211
1.673500  0.978322
1.675500  0.978675
1.677500  0.979219
1.679500  0.978557
1.681500  0.977723
1.683500  0.976788
1.685500  0.975428
1.687500  0.973713
1.689500  0.971836
1.691500  0.970356
1.693500  0.970214
1.695500  0.969617
1.697500  0.969272
1.699400  0.971117
1.701400  0.970929
1.703400  0.971987
1.705400  0.971615
1.707400  0.973748
1.709400  0.971844
1.711400  0.970978
1.713400  0.967534
1.715400  0.966338
1.717400  0.963961
1.719400  0.960441
1.721400  0.960105
1.723400  0.958228
1.725400  0.958900
1.727400  0.960583
1.729400  0.962274
1.731400  0.965334
1.733400  0.967427
1.735400  0.969701
1.737400  0.970847
1.739400  0.969017
1.741400  0.962944
1.743400  0.954504
1.745400  0.939966
1.747400  0.921408
1.749400  0.898307
1.751400  0.868642
1.753400  0.832880
1.755400  0.790588
1.757400  0.737578
1.759400  0.675419
1.761400  0.603859
1.763400  0.525071
1.765300  0.445657
1.767300  0.370385
1.769300  0.301455
1.771300  0.242252
1.773300  0.193777
1.775300  0.154336
1.777300  0.123751
1.779300  0.099358
1.781300  0.080568
1.783300  0.066145
1.785300  0.054916
1.787300  0.045957
1.789300  0.038780
1.791300  0.032634
1.793300  0.028219
1.795300  0.024335
1.797300  0.021120
1.799300  0.018337
1.801300  0.015988
1.803300  0.013782
1.805300  0.011891
1.807300  0.010115
1.809300  0.008542
1.811300  0.007161
1.813300  0.005828
1.815300  0.004847
