# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# date_created  : 2026-04-03
# date_modified : 2026-04-03
# type : filter:transmission
# status : measured
# description : HAWKI H2 filter transmission curve
# wavelength_unit : um
wavelength  transmission
2.094100  0.004093
2.094300  0.004338
2.094500  0.004582
2.094700  0.004819
2.094900  0.005009
2.095100  0.005310
2.095300  0.005545
2.095500  0.005813
2.095700  0.006138
2.095900  0.006454
2.096100  0.006756
2.096300  0.007129
2.096500  0.007535
2.096700  0.007889
2.096900  0.008332
2.097100  0.008765
2.097300  0.009279
2.097500  0.009830
2.097700  0.010253
2.097900  0.010854
2.098100  0.011409
2.098300  0.012059
2.098500  0.012678
2.098700  0.013391
2.098900  0.014201
2.099100  0.015047
2.099300  0.015849
2.099500  0.016808
2.099700  0.017822
2.099900  0.018763
2.100100  0.019953
2.100300  0.021039
2.100500  0.022338
2.100700  0.023851
2.100900  0.025199
2.101100  0.026642
2.101300  0.028186
2.101500  0.029992
2.101700  0.031774
2.101900  0.033803
2.102100  0.035817
2.102300  0.038221
2.102500  0.040622
2.102700  0.043253
2.102900  0.046001
2.103100  0.048750
2.103300  0.051954
2.103500  0.055183
2.103700  0.058712
2.103900  0.062253
2.104100  0.066410
2.104300  0.070665
2.104500  0.075170
2.104700  0.079681
2.104900  0.085207
2.105100  0.090324
2.105300  0.096384
2.105500  0.102091
2.105700  0.108933
2.105900  0.115591
2.106100  0.123054
2.106300  0.130425
2.106500  0.138363
2.106700  0.146915
2.106900  0.155312
2.107100  0.164916
2.107300  0.173669
2.107500  0.185422
2.107700  0.195507
2.107900  0.207821
2.108100  0.218714
2.108300  0.231166
2.108500  0.243639
2.108700  0.256519
2.108900  0.269472
2.109100  0.282929
2.109300  0.297515
2.109500  0.311739
2.109700  0.327548
2.109900  0.340142
2.110100  0.357728
2.110200  0.371663
2.110400  0.389507
2.110600  0.403306
2.110800  0.421410
2.111000  0.437609
2.111200  0.453436
2.111400  0.469511
2.111600  0.484647
2.111800  0.500991
2.112000  0.515091
2.112200  0.531638
