# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# date_created  : 2026-04-03
# date_modified : 2026-04-03
# type : filter:transmission
# status : measured
# description : HAWKI J filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.154800  0.004621
1.156800  0.006696
1.158800  0.010186
1.160800  0.016351
1.162800  0.026577
1.164800  0.043353
1.166800  0.070081
1.168800  0.106126
1.170800  0.145287
1.172800  0.186310
1.174800  0.228539
1.176800  0.280026
1.178800  0.348784
1.180800  0.438124
1.182800  0.545488
1.184800  0.660083
1.186800  0.760599
1.188800  0.823830
1.190800  0.849901
1.192800  0.856239
1.194800  0.853973
1.196800  0.853758
1.198800  0.853958
1.200800  0.857961
1.202800  0.859049
1.204800  0.859065
1.206800  0.857812
1.208800  0.854598
1.210800  0.853703
1.212800  0.852623
1.214800  0.853872
1.216800  0.856055
1.218800  0.858607
1.220800  0.862291
1.222800  0.863022
1.224800  0.865358
1.226800  0.865480
1.228800  0.865402
1.230800  0.866461
1.232800  0.866194
1.234800  0.868303
1.236800  0.869155
1.238800  0.871349
1.240800  0.873483
1.242800  0.874854
1.244800  0.877489
1.246800  0.878191
1.248800  0.880491
1.250700  0.881644
1.252700  0.882715
1.254700  0.884421
1.256700  0.884324
1.258700  0.885940
1.260700  0.884855
1.262700  0.885018
1.264700  0.884646
1.266700  0.883445
1.268700  0.884199
1.270700  0.883589
1.272700  0.884857
1.274700  0.886152
1.276700  0.887772
1.278700  0.889586
1.280700  0.890210
1.282700  0.891896
1.284700  0.891075
1.286700  0.890905
1.288700  0.890552
1.290700  0.888575
1.292700  0.888365
1.294700  0.887603
1.296700  0.887970
1.298700  0.889696
1.300700  0.891269
1.302700  0.894192
1.304700  0.896915
1.306700  0.901091
1.308700  0.903709
1.310700  0.905891
1.312700  0.907781
1.314700  0.907624
1.316700  0.907675
1.318700  0.906567
1.320700  0.905381
1.322700  0.902544
1.324700  0.894521
1.326700  0.875101
1.328700  0.830993
1.330700  0.747881
1.332700  0.627842
1.334700  0.489092
1.336700  0.356914
1.338700  0.248533
1.340700  0.169984
1.342700  0.115609
1.344700  0.080132
1.346700  0.056430
1.348700  0.040515
1.350600  0.029863
1.352600  0.022533
1.354600  0.017259
1.356600  0.013567
1.358600  0.010704
1.360600  0.008659
1.362600  0.007053
1.364600  0.005779
1.366600  0.004737
