# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# date_created  : 2026-04-03
# date_modified : 2026-04-03
# type : filter:transmission
# status : measured
# description : HAWKI Ks filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.924400  0.004092
1.926400  0.004719
1.928400  0.005363
1.930300  0.005971
1.932300  0.006650
1.934300  0.007400
1.936300  0.008185
1.938300  0.009123
1.940300  0.010084
1.942300  0.011361
1.944300  0.012872
1.946300  0.014803
1.948200  0.016989
1.950200  0.019718
1.952200  0.023170
1.954200  0.027843
1.956200  0.033511
1.958200  0.040535
1.960200  0.049724
1.962200  0.061381
1.964100  0.076299
1.966100  0.095620
1.968100  0.119920
1.970100  0.151441
1.972100  0.188898
1.974100  0.233436
1.976100  0.283781
1.978100  0.335879
1.980000  0.387428
1.982000  0.436250
1.984000  0.480822
1.986000  0.515266
1.988000  0.544181
1.990000  0.567621
1.992000  0.587735
1.994000  0.605451
1.996000  0.622213
1.997900  0.639393
1.999900  0.655671
2.001900  0.672747
2.003900  0.690064
2.005900  0.705886
2.007900  0.721667
2.009900  0.735400
2.011900  0.747657
2.013800  0.757275
2.015800  0.764611
2.017800  0.770151
2.019800  0.772692
2.021800  0.774471
2.023800  0.774904
2.025800  0.773802
2.027800  0.772770
2.029700  0.771374
2.031700  0.770816
2.033700  0.769840
2.035700  0.769821
2.037700  0.770729
2.039700  0.772116
2.041700  0.774129
2.043700  0.777027
2.045700  0.779965
2.047600  0.783401
2.049600  0.786676
2.051600  0.790208
2.053600  0.793924
2.055600  0.796736
2.057600  0.799705
2.059600  0.801859
2.061600  0.803399
2.063500  0.805139
2.065500  0.805537
2.067500  0.805883
2.069500  0.806335
2.071500  0.805885
2.073500  0.805576
2.075500  0.805038
2.077500  0.804727
2.079400  0.804133
2.081400  0.803998
2.083400  0.804295
2.085400  0.804219
2.087400  0.805041
2.089400  0.805836
2.091400  0.806782
2.093400  0.808434
2.095400  0.809909
2.097300  0.811714
2.099300  0.813773
2.101300  0.815366
2.103300  0.817463
2.105300  0.819240
2.107300  0.820868
2.109300  0.822257
2.111300  0.823537
2.113200  0.824653
2.115200  0.825138
2.117200  0.825841
2.119200  0.826139
2.121200  0.825767
2.123200  0.825670
2.125200  0.825048
2.127200  0.824093
2.129100  0.823366
2.131100  0.822455
2.133100  0.821660
2.135100  0.820357
2.137100  0.819444
2.139100  0.818331
2.141100  0.817576
2.143100  0.816831
2.145100  0.816213
2.147000  0.815788
2.149000  0.815617
2.151000  0.815571
2.153000  0.816045
2.155000  0.816148
2.157000  0.816919
2.159000  0.817598
2.161000  0.818230
2.162900  0.819752
2.164900  0.820894
2.166900  0.822492
2.168900  0.823297
2.170900  0.825110
2.172900  0.826640
2.174900  0.827869
2.176900  0.829224
2.178800  0.830143
2.180800  0.831485
2.182800  0.832080
2.184800  0.832791
2.186800  0.833866
2.188800  0.834211
2.190800  0.834641
2.192800  0.835547
2.194800  0.835783
2.196700  0.836970
2.198700  0.836947
2.200700  0.838148
2.202700  0.838697
2.204700  0.839203
2.206700  0.839969
2.208700  0.840589
2.210700  0.841150
2.212600  0.841549
2.214600  0.841638
2.216600  0.842445
2.218600  0.842636
2.220600  0.843223
2.222600  0.843759
2.224600  0.843869
2.226600  0.844823
2.228500  0.844729
2.230500  0.845598
2.232500  0.846154
2.234500  0.846594
2.236500  0.847138
2.238500  0.847915
2.240500  0.848186
2.242500  0.848552
2.244500  0.848987
2.246400  0.849377
2.248400  0.849617
2.250400  0.849636
2.252400  0.849992
2.254400  0.849781
2.256400  0.849623
2.258400  0.849220
2.260400  0.849069
2.262300  0.848822
2.264300  0.847899
2.266300  0.847239
2.268300  0.846086
2.270300  0.844456
2.272300  0.842642
2.274300  0.840222
2.276300  0.836502
2.278200  0.832160
2.280200  0.824891
2.282200  0.816848
2.284200  0.805276
2.286200  0.790971
2.288200  0.772614
2.290200  0.750201
2.292200  0.723509
2.294200  0.692577
2.296100  0.655112
2.298100  0.613860
2.300100  0.570899
2.302100  0.526108
2.304100  0.479929
2.306100  0.434709
2.308100  0.389649
2.310100  0.346600
2.312000  0.305818
2.314000  0.269378
2.316000  0.236474
2.318000  0.206357
2.320000  0.180523
2.322000  0.157756
2.324000  0.138264
2.326000  0.121272
2.327900  0.105898
2.329900  0.092828
2.331900  0.081272
2.333900  0.071141
2.335900  0.062715
2.337900  0.054966
2.339900  0.048328
2.341900  0.042917
2.343900  0.038122
2.345800  0.033789
2.347800  0.030085
2.349800  0.026816
2.351800  0.024026
2.353800  0.021635
2.355800  0.019397
2.357800  0.017481
2.359800  0.015782
2.361700  0.014202
2.363700  0.012930
2.365700  0.011737
2.367700  0.010634
2.369700  0.009654
2.371700  0.008782
2.373700  0.008009
2.375700  0.007305
2.377600  0.006740
2.379600  0.006113
2.381600  0.005585
2.383600  0.005160
2.385600  0.004714
2.387600  0.004274
