# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# date_created  : 2026-04-03
# date_modified : 2026-04-03
# type : filter:transmission
# status : measured
# description : HAWKI NB1060 filter transmission curve
# wavelength_unit : um
wavelength  transmission
1.050700  0.004923
1.050900  0.004634
1.051100  0.004851
1.051300  0.006318
1.051500  0.006263
1.051700  0.007624
1.051900  0.007621
1.052100  0.009389
1.052300  0.008899
1.052500  0.010824
1.052700  0.013872
1.052900  0.016267
1.053100  0.018156
1.053300  0.022475
1.053500  0.024509
1.053700  0.029845
1.053900  0.034045
1.054100  0.041102
1.054300  0.049484
1.054500  0.056115
1.054700  0.069726
1.054900  0.079603
1.055100  0.099363
1.055300  0.113326
1.055500  0.138903
1.055700  0.161752
1.055900  0.193595
1.056100  0.222340
1.056300  0.260863
1.056500  0.299340
1.056700  0.340915
1.056900  0.384252
1.057100  0.422002
1.057300  0.471497
1.057500  0.504287
1.057700  0.546872
1.057900  0.571146
1.058100  0.606878
1.058300  0.624446
1.058500  0.647638
1.058700  0.658988
1.058900  0.673265
1.059100  0.682199
1.059300  0.688172
1.059500  0.695485
1.059700  0.699764
1.059900  0.703142
1.060100  0.706735
1.060300  0.708295
1.060500  0.709721
1.060700  0.707859
1.060900  0.706241
1.061100  0.703476
1.061300  0.701033
1.061500  0.695189
1.061700  0.689042
1.061900  0.684235
1.062100  0.677118
1.062300  0.671059
1.062500  0.665612
1.062700  0.659257
1.062900  0.655411
1.063100  0.651774
1.063300  0.648386
1.063500  0.645968
1.063700  0.645033
1.063900  0.643637
1.064100  0.643738
1.064300  0.645554
1.064500  0.647161
1.064700  0.646476
1.064900  0.647110
1.065100  0.644456
1.065300  0.638782
1.065500  0.628440
1.065700  0.617359
1.065900  0.591388
1.066100  0.567423
1.066300  0.528453
1.066500  0.497156
1.066700  0.449411
1.066900  0.403496
1.067100  0.354139
1.067300  0.308072
1.067500  0.272443
1.067700  0.226982
1.067900  0.196864
1.068100  0.163684
1.068300  0.146034
1.068500  0.117771
1.068700  0.103566
1.068900  0.084161
1.069100  0.074548
1.069300  0.060217
1.069500  0.050977
1.069700  0.043903
1.069900  0.038225
1.070100  0.033520
1.070300  0.027404
1.070500  0.025325
1.070700  0.022301
1.070900  0.018968
1.071100  0.016418
1.071300  0.014715
1.071500  0.012276
1.071700  0.009619
1.071900  0.010157
1.072100  0.008105
1.072300  0.007585
1.072500  0.006787
1.072700  0.004983
1.072900  0.004917
1.073100  0.004739
1.073300  0.004198
