# author : SVO Filter Profile Service
# source : svo2.cab.inta-csic.es/theory/fps
# date_created  : 2026-04-03
# date_modified : 2026-04-03
# type : filter:transmission
# status : measured
# description : HAWKI Y filter transmission curve
# wavelength_unit : um
wavelength  transmission
0.947100  0.005636
0.949000  0.009704
0.951000  0.013542
0.953000  0.015990
0.955000  0.017656
0.957000  0.020595
0.959000  0.027149
0.961000  0.040870
0.963000  0.072085
0.965000  0.140830
0.967000  0.281585
0.969000  0.498987
0.971000  0.704989
0.973000  0.829993
0.975000  0.891626
0.977000  0.917341
0.979000  0.926848
0.981000  0.929649
0.983000  0.929859
0.985000  0.926238
0.987000  0.918669
0.989000  0.911761
0.991000  0.909313
0.993000  0.913184
0.995000  0.919925
0.997000  0.924966
0.999000  0.926261
1.001000  0.923420
1.003000  0.919963
1.005000  0.916932
1.007000  0.915304
1.009000  0.914267
1.011000  0.912611
1.013000  0.911518
1.015000  0.912344
1.017000  0.916392
1.019000  0.922408
1.021000  0.927029
1.023000  0.928726
1.025000  0.926878
1.027000  0.924022
1.029000  0.923831
1.031000  0.927312
1.033000  0.933224
1.035000  0.936957
1.037000  0.935638
1.039000  0.929452
1.041000  0.922064
1.043000  0.917741
1.045000  0.918433
1.047000  0.923855
1.049000  0.929509
1.050900  0.931529
1.052900  0.928094
1.054900  0.919312
1.056900  0.906353
1.058900  0.888201
1.060900  0.858619
1.062900  0.810497
1.064900  0.739769
1.066900  0.645160
1.068900  0.534389
1.070900  0.420575
1.072900  0.317385
1.074900  0.235338
1.076900  0.176229
1.078900  0.133493
1.080900  0.103533
1.082900  0.081831
1.084900  0.065857
1.086900  0.053202
1.088900  0.042391
1.090900  0.033177
1.092900  0.025500
1.094900  0.019295
1.096900  0.014648
1.098900  0.011185
1.100900  0.008795
1.102900  0.007166
1.104900  0.006148
1.106900  0.005457
1.108900  0.004990
1.110900  0.004659
1.112900  0.004413
1.114900  0.004108
