# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_primary_001_syn.fits
# wavelength_unit: Angstrom
 wavelength    reflection
      500.0           0.0 
     1000.0    0.14100026 
     1010.0    0.16981046 
     1020.0    0.18173748 
     1030.0    0.18318807 
     1040.0    0.17744319 
     1050.0    0.16183786 
     1060.0    0.15051521 
     1070.0    0.14572254 
     1080.0    0.14467956 
     1090.0    0.14946519 
     1100.0    0.16784464 
     1110.0    0.21442422 
     1120.0    0.30427405 
     1130.0     0.3704404 
     1140.0     0.4240926 
     1150.0    0.46949798 
     1160.0    0.50914055 
     1170.0    0.54204667 
     1180.0    0.56783336 
     1190.0     0.5861064 
     1200.0    0.59450424 
     1210.0    0.60157144 
     1220.0     0.6089024 
     1230.0     0.6155292 
     1240.0    0.62049025 
     1250.0     0.6236931 
     1260.0     0.6254245 
     1270.0      0.625975 
     1280.0      0.625667 
     1290.0     0.6248237 
     1300.0    0.62369865 
     1310.0     0.6224792 
     1320.0    0.62132627 
     1330.0    0.62025136 
     1340.0    0.61920804 
     1350.0     0.6181651 
     1360.0     0.6171175 
     1370.0     0.6160647 
     1380.0    0.61500025 
     1390.0     0.6139128 
     1400.0     0.6127896 
     1410.0      0.611617 
     1420.0    0.61038053 
     1430.0    0.60906416 
     1440.0     0.6076511 
     1450.0    0.60612357 
     1460.0     0.6044649 
     1470.0     0.6026582 
     1480.0     0.6006835 
     1490.0    0.59852034 
     1500.0     0.5961428 
     1510.0      0.593554 
     1520.0    0.59079087 
     1530.0    0.58789486 
     1540.0    0.58491284 
     1550.0     0.5818939 
     1560.0     0.5788915 
     1570.0    0.57595587 
     1580.0    0.57314175 
     1590.0    0.57050014 
     1600.0    0.56808597 
     1610.0     0.5659533 
     1620.0     0.5641604 
     1630.0     0.5627682 
     1640.0    0.56183285 
     1650.0    0.56139725 
     1660.0    0.56149966 
     1670.0     0.5621258 
     1680.0    0.56321424 
     1690.0    0.56470096 
     1700.0     0.5665326 
     1710.0    0.56865853 
     1720.0    0.57102644 
     1730.0    0.57357824 
     1740.0    0.57625824 
     1750.0     0.5790214 
     1760.0    0.58183604 
     1770.0     0.5846741 
     1780.0     0.5875308 
     1790.0      0.590411 
     1800.0    0.59331375 
     1810.0    0.59623706 
     1820.0     0.5991764 
     1830.0     0.6021302 
     1840.0     0.6050952 
     1850.0    0.60806996 
     1860.0     0.6110514 
     1870.0     0.6140381 
     1880.0     0.6170286 
     1890.0     0.6200206 
     1900.0    0.62301224 
     1910.0    0.62600195 
     1920.0    0.62898636 
     1930.0     0.6319656 
     1940.0    0.63493764 
     1950.0    0.63790125 
     1960.0    0.64085454 
     1970.0    0.64379627 
     1980.0     0.6467247 
     1990.0     0.6496372 
     2000.0     0.6525334 
     2010.0     0.6554108 
     2020.0     0.6582666 
     2030.0     0.6610956 
     2040.0     0.6638936 
     2050.0     0.6666592 
     2060.0    0.66938686 
     2070.0     0.6720745 
     2080.0    0.67471623 
     2090.0     0.6773094 
     2100.0    0.67985064 
     2110.0     0.6823356 
     2120.0     0.6847617 
     2130.0     0.6871251 
     2140.0     0.6894215 
     2150.0     0.6916465 
     2160.0     0.6937965 
     2170.0     0.6958685 
     2180.0     0.6978587 
     2190.0      0.699763 
     2200.0      0.701579 
     2210.0     0.7032999 
     2220.0     0.7049234 
     2230.0    0.70644355 
     2240.0     0.7078566 
     2250.0    0.70916015 
     2260.0    0.71035373 
     2270.0     0.7114371 
     2280.0     0.7124157 
     2290.0    0.71329725 
     2300.0    0.71408874 
     2310.0     0.7147947 
     2320.0    0.71541905 
     2330.0    0.71596676 
     2340.0    0.71644473 
     2350.0      0.716859 
     2360.0     0.7172152 
     2370.0     0.7175159 
     2380.0     0.7177652 
     2390.0     0.7179687 
     2400.0     0.7181318 
     2410.0     0.7182594 
     2420.0    0.71835566 
     2430.0    0.71842605 
     2440.0    0.71847355 
     2450.0    0.71850485 
     2460.0     0.7185229 
     2470.0     0.7185325 
     2480.0     0.7185385 
     2490.0    0.71854514 
     2500.0     0.7185566 
     2510.0     0.7185764 
     2520.0    0.71860594 
     2530.0     0.7186456 
     2540.0     0.7186949 
     2550.0     0.7187526 
     2560.0    0.71881694 
     2570.0     0.7188885 
     2580.0    0.71896666 
     2590.0    0.71905327 
     2600.0    0.71914697 
     2610.0    0.71924734 
     2620.0     0.7193537 
     2630.0     0.7194666 
     2640.0    0.71958494 
     2650.0     0.7197093 
     2660.0    0.71983844 
     2670.0    0.71997166 
     2680.0    0.72010976 
     2690.0     0.7202526 
     2700.0    0.72039956 
     2710.0     0.7205507 
     2720.0    0.72070485 
     2730.0     0.7208614 
     2740.0     0.7210208 
     2750.0    0.72118384 
     2760.0    0.72134984 
     2770.0     0.7215187 
     2780.0    0.72168946 
     2790.0     0.7218613 
     2800.0     0.7220355 
     2810.0     0.7222103 
     2820.0    0.72238684 
     2830.0    0.72256386 
