# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_secondary_001_syn.fits
# wavelength_unit: Angstrom
 wavelength    reflection
      500.0           0.0 
     1000.0    0.16357338 
     1010.0     0.1969959 
     1020.0    0.21083234 
     1030.0    0.21251516 
     1040.0    0.20585057 
     1050.0    0.18774694 
     1060.0    0.17461161 
     1070.0    0.16905168 
     1080.0    0.16784172 
     1090.0    0.17339349 
     1100.0    0.19471537 
     1110.0      0.248752 
     1120.0    0.35298613 
     1130.0    0.42974523 
     1140.0    0.49198678 
     1150.0     0.5446612 
     1160.0     0.5906503 
     1170.0     0.6288244 
     1180.0     0.6587394 
     1190.0    0.67993784 
     1200.0     0.6896801 
     1210.0     0.6978787 
     1220.0     0.7063833 
     1230.0      0.714071 
     1240.0     0.7198263 
     1250.0    0.72354186 
     1260.0     0.7255505 
     1270.0     0.7261891 
     1280.0    0.72583175 
     1290.0    0.72485346 
     1300.0     0.7235483 
     1310.0    0.72213364 
     1320.0    0.72079617 
     1330.0     0.7195491 
     1340.0     0.7183388 
     1350.0     0.7171289 
     1360.0     0.7159136 
     1370.0    0.71469223 
     1380.0    0.71345735 
     1390.0     0.7121959 
     1400.0     0.7108928 
     1410.0     0.7095325 
     1420.0    0.70809805 
     1430.0      0.706571 
     1440.0     0.7049317 
     1450.0     0.7031596 
     1460.0    0.70123535 
     1470.0     0.6991395 
     1480.0    0.69684863 
     1490.0    0.69433916 
     1500.0      0.691581 
     1510.0     0.6885778 
     1520.0    0.68537223 
     1530.0     0.6820126 
     1540.0    0.67855316 
     1550.0      0.675051 
     1560.0    0.67156786 
     1570.0     0.6681623 
     1580.0     0.6648976 
     1590.0     0.6618331 
     1600.0    0.65903246 
     1610.0    0.65655833 
     1620.0    0.65447843 
     1630.0     0.6528634 
     1640.0     0.6517782 
     1650.0     0.6512729 
     1660.0     0.6513917 
     1670.0     0.6521181 
     1680.0     0.6533808 
     1690.0    0.65510553 
     1700.0     0.6572304 
     1710.0     0.6596967 
     1720.0     0.6624437 
     1730.0    0.66540396 
     1740.0    0.66851306 
     1750.0    0.67171854 
     1760.0     0.6749838 
     1770.0    0.67827624 
     1780.0    0.68159026 
     1790.0     0.6849316 
     1800.0      0.688299 
     1810.0     0.6916903 
     1820.0    0.69510025 
     1830.0    0.69852686 
     1840.0     0.7019666 
     1850.0     0.7054176 
     1860.0     0.7088763 
     1870.0     0.7123412 
     1880.0     0.7158104 
     1890.0     0.7192815 
     1900.0    0.72275203 
     1910.0    0.72622037 
     1920.0    0.72968256 
     1930.0    0.73313874 
     1940.0     0.7365866 
     1950.0     0.7400246 
     1960.0    0.74345076 
     1970.0     0.7468634 
     1980.0    0.75026065 
     1990.0    0.75363946 
     2000.0     0.7569993 
     2010.0     0.7603374 
     2020.0    0.76365036 
     2030.0    0.76693225 
     2040.0     0.7701782 
     2050.0    0.77338654 
     2060.0     0.7765509 
     2070.0     0.7796688 
     2080.0    0.78273344 
     2090.0    0.78574175 
     2100.0    0.78868985 
     2110.0    0.79157263 
     2120.0     0.7943871 
     2130.0    0.79712886 
     2140.0     0.7997929 
     2150.0     0.8023741 
     2160.0    0.80486834 
     2170.0      0.807272 
     2180.0    0.80958086 
     2190.0       0.81179 
     2200.0     0.8138967 
     2210.0     0.8158931 
     2220.0    0.81777656 
     2230.0     0.8195401 
     2240.0    0.82117933 
     2250.0     0.8226916 
     2260.0    0.82407624 
     2270.0    0.82533306 
     2280.0    0.82646835 
     2290.0      0.827491 
     2300.0     0.8284092 
     2310.0    0.82922816 
     2320.0     0.8299525 
     2330.0    0.83058786 
     2340.0    0.83114237 
     2350.0    0.83162296 
     2360.0     0.8320362 
     2370.0      0.832385 
     2380.0    0.83267426 
     2390.0     0.8329103 
     2400.0    0.83309954 
     2410.0    0.83324754 
     2420.0    0.83335924 
     2430.0     0.8334409 
     2440.0    0.83349603 
     2450.0     0.8335323 
     2460.0    0.83355325 
     2470.0     0.8335644 
     2480.0     0.8335714 
     2490.0    0.83357906 
     2500.0     0.8335923 
     2510.0     0.8336153 
     2520.0     0.8336496 
     2530.0     0.8336956 
     2540.0     0.8337528 
     2550.0    0.83381975 
     2560.0     0.8338944 
     2570.0     0.8339774 
     2580.0    0.83406806 
     2590.0     0.8341685 
     2600.0     0.8342772 
     2610.0     0.8343937 
     2620.0      0.834517 
     2630.0     0.8346481 
     2640.0    0.83478534 
     2650.0     0.8349296 
     2660.0     0.8350794 
     2670.0     0.8352339 
     2680.0    0.83539414 
     2690.0    0.83555984 
     2700.0     0.8357303 
     2710.0     0.8359057 
     2720.0     0.8360845 
     2730.0     0.8362661 
     2740.0    0.83645105 
     2750.0     0.8366402 
     2760.0    0.83683276 
     2770.0     0.8370287 
     2780.0    0.83722675 
     2790.0     0.8374261 
     2800.0    0.83762825 
     2810.0    0.83783096 
     2820.0    0.83803576 
     2830.0    0.83824116 
