# action : transmission
# wavelength_unit : um
#
wavelength  transmission
0.275       0
0.3         0.05
0.325       0.25
0.35        0.35
0.375       0.5
0.4         0.6
0.425       0.59
0.45        0.63
0.475       0.66
0.5         0.66
0.525       0.77
0.55        0.83
0.575       0.88
0.6         0.85
0.625       0.87
0.65        0.86
0.675       0.83
0.7         0.78
0.725       0.72
0.75        0.66
0.775       0.6
0.8         0.54
0.825       0.5
0.85        0.43
0.875       0.35
0.9         0.3
0.925       0.22
0.95        0.17
0.975       0.1
1           0.07
1.025       0.03
1.05        0
