# Source : Baader OIII 2_ #2458396          
# wavelength_unit : nm
wavelength  transmission
900     55.15139771     
899.9000244     57.33731842     
899.7999878     55.20849991     
899.7000122     57.88627243     
899.5999756     57.8475647     
899.5     57.16675568     
899.4000244     54.47270966     
899.2999878     55.65169525     
899.2000122     56.24190521     
899.0999756     55.91549301     
899     54.61867905     
898.9000244     55.90680695     
898.7999878     55.61576462     
898.7000122     55.45765305     
898.5999756     55.37989807     
898.5     55.99175644     
898.4000244     55.49052429     
898.2999878     55.6314888     
898.2000122     56.50976944     
898.0999756     55.65356445     
898     55.53221893     
897.9000244     54.76319122     
897.7999878     56.27650452     
897.7000122     55.19272232     
897.5999756     54.14587784     
897.5     53.37990952     
897.4000244     54.6146698     
897.2999878     53.76275253     
897.2000122     54.29602432     
897.0999756     54.75118637     
897     54.87256622     
896.9000244     55.05948639     
896.7999878     53.59141159     
896.7000122     53.50242996     
896.5999756     54.98408508     
896.5     53.5696373     
896.4000244     54.28857803     
896.2999878     54.02859497     
896.2000122     53.46479416     
896.0999756     53.24627686     
896     53.8782196     
895.9000244     53.02720642     
895.7999878     53.21444702     
895.7000122     52.38202667     
895.5999756     52.94048309     
895.5     53.28522873     
895.4000244     52.00069046     
895.2999878     51.44321442     
895.2000122     52.64208984     
895.0999756     53.11734772     
895     51.59968185     
894.9000244     52.91176605     
894.7999878     53.14630127     
894.7000122     52.75950623     
894.5999756     51.98266602     
894.5     50.71519089     
894.4000244     51.18047714     
894.2999878     50.88643265     
894.2000122     52.58145142     
894.0999756     51.73928833     
894     50.94630814     
893.9000244     50.10596466     
893.7999878     51.32952881     
893.7000122     51.39209747     
893.5999756     51.33348083     
893.5     50.23540878     
893.4000244     51.49014664     
893.2999878     50.51638031     
893.2000122     51.89074326     
893.0999756     50.87295151     
893     50.38388443     
892.9000244     51.27185059     
892.7999878     50.55893707     
892.7000122     50.00760651     
892.5999756     50.16943359     
892.5     49.78295135     
892.4000244     50.17858124     
892.2999878     49.32133102     
892.2000122     49.69108963     
892.0999756     49.34790802     
892     49.64212036     
891.9000244     49.49726486     
891.7999878     49.21636963     
891.7000122     49.60517883     
891.5999756     48.24518585     
891.5     48.09972     
891.4000244     49.1478653     
891.2999878     49.54272079     
891.2000122     48.37649155     
891.0999756     50.55305481     
891     47.16762543     
890.9000244     48.54555511     
890.7999878     48.87415695     
890.7000122     47.85205841     
890.5999756     47.8198204     
890.5     48.23218155     
890.4000244     48.42525864     
890.2999878     49.13964081     
890.2000122     48.04578018     
890.0999756     47.23113632     
890     47.50440598     
889.9000244     48.20482254     
889.7999878     48.54242325     
889.7000122     47.57527161     
889.5999756     47.9392662     
889.5     47.39240265     
889.4000244     47.27952576     
889.2999878     46.53913498     
889.2000122     47.36635208     
889.0999756     46.90075684     
889     46.18545914     
888.9000244     46.63248062     
888.7999878     46.72963333     
888.7000122     46.41291428     
888.5999756     45.70388412     
888.5     45.90991592     
888.4000244     46.36522675     
888.2999878     46.67838287     
888.2000122     45.91522598     
888.0999756     45.52767563     
888     46.23090744     
887.9000244     45.7701149     
887.7999878     45.80967331     
887.7000122     45.52042007     
887.5999756     46.04264069     
887.5     45.19612503     
887.4000244     45.38508987     
887.2999878     45.65574265     
887.2000122     45.68797302     
887.0999756     45.0201149     
887     45.3180809     
886.9000244     44.73215485     
886.7999878     45.12079239     
886.7000122     44.01961136     
