# author : NN
# source : Roy van Boekel
# date_created : 2018-07
# date_modified : 2020-10-29
# status :
# wavelength_unit : angstrom
# comment : CO_ref from Roys wish filter list, July 2018
# changes :
#     - 2020-10-29 : (OC) correct header syntax, wavelength_unit
#
wavelength               transmission
3.600000000000000000e+03 8.788919592031335659e-01
3.610000000000000000e+03 8.812589257952022637e-01
3.620000000000000000e+03 8.835738565884634355e-01
3.630000000000000000e+03 8.858371644117841726e-01
3.640000000000000000e+03 8.880492620940306780e-01
3.650000000000000000e+03 8.902105624640692660e-01
3.660000000000000000e+03 8.923214783507666947e-01
3.670000000000000000e+03 8.943824225829891672e-01
3.680000000000000000e+03 8.963938079896035527e-01
3.690000000000000000e+03 8.983560473994760542e-01
3.700000000000000000e+03 9.002695536414733191e-01
3.710000000000000000e+03 9.021347395444616613e-01
3.720000000000000000e+03 9.039520179373078390e-01
3.730000000000000000e+03 9.057218016488778334e-01
3.740000000000000000e+03 9.074445035080385136e-01
3.750000000000000000e+03 9.091205363436565268e-01
3.760000000000000000e+03 9.107503129845981871e-01
3.770000000000000000e+03 9.123342462597298086e-01
3.780000000000000000e+03 9.138727489979179275e-01
3.790000000000000000e+03 9.153662340280293019e-01
3.800000000000000000e+03 9.168151141789303571e-01
3.810000000000000000e+03 9.182198022794874070e-01
3.820000000000000000e+03 9.195807111585667659e-01
3.830000000000000000e+03 9.208982536450354139e-01
3.840000000000000000e+03 9.221728425677594432e-01
3.850000000000000000e+03 9.234048907556052788e-01
3.860000000000000000e+03 9.245948110374402340e-01
3.870000000000000000e+03 9.257430162421299569e-01
3.880000000000000000e+03 9.268499191985408725e-01
3.890000000000000000e+03 9.279159327355401832e-01
3.900000000000000000e+03 9.289414724292002212e-01
3.910000000000000000e+03 9.299270014487753810e-01
3.920000000000000000e+03 9.308730232306512420e-01
3.930000000000000000e+03 9.317800424803659443e-01
3.940000000000000000e+03 9.326485639034568509e-01
3.950000000000000000e+03 9.334790922054614359e-01
3.960000000000000000e+03 9.342721320919177286e-01
3.970000000000000000e+03 9.350281882683627588e-01
3.980000000000000000e+03 9.357477654403344447e-01
3.990000000000000000e+03 9.364313683133704824e-01
4.000000000000000000e+03 9.370795015930080130e-01
4.010000000000000000e+03 9.376926699847847324e-01
4.020000000000000000e+03 9.382713781942385589e-01
4.030000000000000000e+03 9.388161309269069665e-01
4.040000000000000000e+03 9.393274328883272073e-01
4.050000000000000000e+03 9.398057887840374214e-01
4.060000000000000000e+03 9.402517033195748608e-01
4.070000000000000000e+03 9.406656812004771107e-01
4.080000000000000000e+03 9.410482271322815340e-01
4.090000000000000000e+03 9.413998458205264930e-01
4.100000000000000000e+03 9.417210419707487956e-01
4.110000000000000000e+03 9.420123202884859159e-01
4.120000000000000000e+03 9.422741854792764382e-01
4.130000000000000000e+03 9.425071422486569483e-01
4.140000000000000000e+03 9.427116953021656975e-01
4.150000000000000000e+03 9.428883493453399378e-01
4.160000000000000000e+03 9.430376090837170322e-01
4.170000000000000000e+03 9.431599792228351209e-01
4.180000000000000000e+03 9.432559644682315669e-01
4.190000000000000000e+03 9.433260695254439554e-01
4.200000000000000000e+03 9.433707991000096493e-01
4.210000000000000000e+03 9.433906578974665669e-01
4.220000000000000000e+03 9.433861506233522931e-01
4.230000000000000000e+03 9.433577819832035249e-01
4.240000000000000000e+03 9.433060571755950141e-01
4.250000000000000000e+03 9.432315198558854918e-01
4.260000000000000000e+03 9.431347790424918776e-01
4.270000000000000000e+03 9.430164501074159711e-01
4.280000000000000000e+03 9.428771484226593502e-01
4.290000000000000000e+03 9.427174893602238148e-01
4.300000000000000000e+03 9.425380882921116088e-01
4.310000000000000000e+03 9.423395605903237549e-01
4.320000000000000000e+03 9.421225216268621638e-01
4.330000000000000000e+03 9.418875867737290797e-01
4.340000000000000000e+03 9.416353714029257471e-01
4.350000000000000000e+03 9.413664908864538550e-01
4.360000000000000000e+03 9.410815605963154251e-01
4.370000000000000000e+03 9.407811959045120354e-01
4.380000000000000000e+03 9.404660121830455966e-01
4.390000000000000000e+03 9.401366248039175755e-01
4.400000000000000000e+03 9.397936491391299940e-01
