# author : MAVIS package
# source : SVO Filter Profile Service, filter ID Paranal/FORS2.ESO1074
# source_reference : http://filters.ls.eso.org/efs/efs_fi.htm
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : Bessell B, ESO filter #1074 as measured for VLT/FORS2. Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.351500  0.004120
0.352000  0.005310
0.352500  0.006760
0.353000  0.008480
0.353500  0.010500
0.354000  0.012880
0.354500  0.015600
0.355000  0.018660
0.355500  0.022180
0.356000  0.026050
0.356500  0.030400
0.357000  0.035110
0.357500  0.040290
0.358000  0.045870
0.358500  0.051830
0.359000  0.058220
0.359500  0.065010
0.360000  0.072070
0.360500  0.079570
0.361000  0.087360
0.361500  0.095440
0.362000  0.103810
0.362500  0.112410
0.363000  0.121280
0.363500  0.130330
0.364000  0.139430
0.364500  0.148690
0.365000  0.158300
0.365500  0.167830
0.366000  0.177340
0.366500  0.187020
0.367000  0.196600
0.367500  0.206320
0.368000  0.215890
0.368500  0.225580
0.369000  0.235170
0.369500  0.244660
0.370000  0.254150
0.370500  0.263530
0.371000  0.272940
0.371500  0.282120
0.372000  0.291280
0.372500  0.300470
0.373000  0.309260
0.373500  0.318040
0.374000  0.326840
0.374500  0.335380
0.375000  0.344000
0.375500  0.352460
0.376000  0.360840
0.376500  0.369000
0.377000  0.376950
0.377500  0.384990
0.378000  0.392820
0.378500  0.400610
0.379000  0.408230
0.379500  0.415820
0.380000  0.423140
0.380500  0.430380
0.381000  0.437600
0.381500  0.444670
0.382000  0.451490
0.382500  0.458260
0.383000  0.464890
0.383500  0.471290
0.384000  0.477580
0.384500  0.483910
0.385000  0.489980
0.385500  0.495980
0.386000  0.501910
0.386500  0.507710
0.387000  0.513020
0.387500  0.518580
0.388000  0.523670
0.388500  0.528960
0.389000  0.534060
0.389500  0.538940
0.390000  0.543550
0.390500  0.548330
0.391000  0.553010
0.391500  0.557270
0.392000  0.561570
0.392500  0.565810
0.393000  0.569610
0.393500  0.573670
0.394000  0.577330
0.394500  0.581010
0.395000  0.584520
0.395500  0.587920
0.396000  0.591170
0.396500  0.594340
0.397000  0.597350
0.397500  0.600230
0.398000  0.603100
0.398500  0.605760
0.399000  0.608390
0.399500  0.611020
0.400000  0.613420
0.400500  0.615840
0.401000  0.618130
0.401500  0.620260
0.402000  0.622260
0.402500  0.624200
0.403000  0.626240
0.403500  0.628090
0.404000  0.630050
0.404500  0.631870
0.405000  0.633500
0.405500  0.635300
0.406000  0.637020
0.406500  0.638640
0.407000  0.640250
0.407500  0.641730
0.408000  0.643170
0.408500  0.644410
0.409000  0.645830
0.409500  0.646970
0.410000  0.648130
0.410500  0.649040
0.411000  0.649890
0.411500  0.651000
0.412000  0.651590
0.412500  0.652590
0.413000  0.653290
0.413500  0.653960
0.414000  0.654530
0.414500  0.655280
0.415000  0.655830
0.415500  0.656530
0.416000  0.657150
0.416500  0.657970
0.417000  0.658330
0.417500  0.659110
0.418000  0.659750
0.418500  0.660340
0.419000  0.660760
0.419500  0.661530
0.420000  0.661910
0.421500  0.662340
0.422000  0.662180
0.422500  0.662010
0.423000  0.661610
0.423500  0.661120
0.424000  0.660430
0.424500  0.659850
0.425000  0.658920
0.425500  0.658170
0.426000  0.657520
0.426500  0.656510
