# author : MAVIS package
# source : SVO Filter Profile Service, filter ID Paranal/FORS2.ESO1077
# source_reference : http://filters.ls.eso.org/efs/efs_fi.htm
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : Bessell I, ESO filter #1077 as measured for VLT/FORS2. Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.696000  0.004530
0.696500  0.005530
0.697000  0.006680
0.697500  0.008050
0.698000  0.009580
0.698500  0.011420
0.699000  0.013500
0.699500  0.015840
0.700000  0.018570
0.700500  0.021580
0.701000  0.024930
0.701500  0.028600
0.702000  0.032650
0.702500  0.037180
0.703000  0.042180
0.703500  0.047610
0.704000  0.053540
0.704500  0.059890
0.705000  0.066810
0.705500  0.074240
0.706000  0.082060
0.706500  0.090490
0.707000  0.099380
0.707500  0.108630
0.708000  0.118420
0.708500  0.128770
0.709000  0.139370
0.709500  0.150690
0.710000  0.162470
0.710500  0.174670
0.711000  0.186870
0.711500  0.199220
0.712000  0.211790
0.712500  0.224770
0.713000  0.238120
0.713500  0.251930
0.714000  0.265740
0.714500  0.279970
0.715000  0.294260
0.715500  0.308730
0.716000  0.323250
0.716500  0.337960
0.717000  0.352580
0.717500  0.367150
0.718000  0.381610
0.718500  0.396390
0.719000  0.411100
0.719500  0.425500
0.720000  0.439870
0.720500  0.454120
0.721000  0.468200
0.721500  0.482290
0.722000  0.496100
0.722500  0.509700
0.723000  0.522960
0.723500  0.535770
0.724000  0.548790
0.724500  0.561350
0.725000  0.573840
0.725500  0.586500
0.726000  0.598430
0.726500  0.610170
0.727000  0.621670
0.727500  0.633140
0.728000  0.644140
0.728500  0.654780
0.729000  0.665550
0.729500  0.675970
0.730000  0.685860
0.730500  0.695660
0.731000  0.705150
0.731500  0.714440
0.732000  0.723860
0.732500  0.732470
0.733000  0.740720
0.733500  0.749020
0.734000  0.756830
0.734500  0.764490
0.735000  0.772260
0.735500  0.779480
0.736000  0.786580
0.736500  0.793590
0.737000  0.800190
0.737500  0.806640
0.738000  0.813130
0.738500  0.819260
0.739000  0.825330
0.739500  0.830750
0.740000  0.836180
0.740500  0.841610
0.741000  0.846820
0.741500  0.851690
0.742000  0.856550
0.742500  0.861110
0.743000  0.865590
0.743500  0.870070
0.744000  0.874370
0.744500  0.878300
0.745000  0.882150
0.745500  0.886170
0.746000  0.889280
0.746500  0.892970
0.747000  0.896100
0.747500  0.899380
0.748000  0.902500
0.748500  0.905320
0.749000  0.908210
0.749500  0.910750
0.750000  0.913010
0.750500  0.915570
0.751000  0.917730
0.751500  0.919960
0.752000  0.922240
0.752500  0.924430
0.753000  0.926130
0.753500  0.927930
0.754000  0.929680
0.754500  0.931340
0.755000  0.932790
0.755500  0.934130
0.756000  0.935480
0.756500  0.936750
0.757000  0.937670
0.757500  0.939310
0.758000  0.940330
0.758500  0.941010
0.759000  0.942320
0.759500  0.943180
0.760000  0.944040
0.760500  0.944860
0.761000  0.945860
0.761500  0.946430
0.762000  0.946920
0.762500  0.947790
0.763000  0.948470
0.763500  0.949210
0.764000  0.949590
0.764500  0.949990
0.765000  0.950450
0.765500  0.950690
0.766000  0.951350
0.767000  0.952230
0.767500  0.952990
0.768500  0.953310
0.769000  0.954040
0.769500  0.954330
0.770000  0.954580
0.770500  0.954940
0.771000  0.955170
0.771500  0.955810
0.772000  0.956060
0.773000  0.956640
0.773500  0.957060
0.774000  0.957750
0.774500  0.958150
0.775000  0.958380
0.775500  0.958660
0.776000  0.959090
0.776500  0.959450
0.777000  0.959970
0.777500  0.960140
0.778000  0.960530
0.778500  0.961230
0.779000  0.961520
0.779500  0.961750
0.780000  0.961990
0.780500  0.962230
0.781000  0.962400
0.781500  0.962840
0.782000  0.963260
0.782500  0.963370
0.783000  0.963730
0.784500  0.963850
0.785000  0.964370
0.785500  0.963930
0.787000  0.964200
0.787500  0.964580
0.788000  0.964480
0.788500  0.964330
0.789000  0.963890
0.789500  0.964000
0.790000  0.963550
0.791500  0.963140
0.792000  0.962720
0.792500  0.962540
0.793000  0.962220
0.793500  0.961960
0.794000  0.961680
0.794500  0.960820
0.795500  0.960210
0.796000  0.959870
0.796500  0.959620
0.797000  0.958670
0.797500  0.958500
0.798000  0.957740
0.798500  0.957450
0.799000  0.956780
0.799500  0.955190
0.800000  0.953590
0.800500  0.953400
0.801000  0.953220
0.801500  0.952890
0.802000  0.952570
0.802500  0.952270
0.803000  0.951970
0.803500  0.951700
0.804000  0.951420
0.804500  0.951280
0.805000  0.951140
0.805500  0.950920
0.806000  0.950710
0.806500  0.950480
0.807500  0.950160
0.808000  0.950060
0.808500  0.949920
0.809000  0.949780
0.813000  0.949660
0.813500  0.949760
0.815000  0.949940
0.815500  0.950060
0.816500  0.950260
0.817500  0.950440
0.818000  0.950540
0.819000  0.950680
0.819500  0.950820
0.822500  0.950950
0.823500  0.950770
0.824000  0.950670
0.824500  0.950500
0.825000  0.950320
0.825500  0.950080
0.826000  0.949840
0.826500  0.949470
0.827000  0.949090
0.827500  0.948800
0.828000  0.948510
0.828500  0.948000
0.829000  0.947490
0.829500  0.946910
0.830000  0.946330
0.830500  0.945630
0.831000  0.944930
0.831500  0.944330
0.832000  0.943730
0.832500  0.942940
0.833000  0.942150
0.833500  0.941330
0.834000  0.940520
0.834500  0.939660
0.835000  0.938800
0.835500  0.937880
0.836000  0.936970
0.836500  0.936210
0.837000  0.935450
0.837500  0.934550
0.838000  0.933650
0.838500  0.932830
0.839000  0.932010
0.839500  0.931310
0.840000  0.930620
0.840500  0.929920
0.841000  0.929230
0.841500  0.928740
0.842000  0.928250
0.842500  0.927710
0.843000  0.927170
0.843500  0.926860
0.844000  0.926550
0.844500  0.926300
0.845000  0.926050
0.847000  0.925900
0.847500  0.926070
0.848000  0.926250
0.848500  0.926480
0.849000  0.926720
0.849500  0.926980
0.850000  0.927240
0.850500  0.927410
0.852000  0.927640
0.852500  0.927430
0.853000  0.927220
0.853500  0.926680
0.854000  0.926130
0.854500  0.925050
0.855000  0.923970
0.855500  0.922200
0.856000  0.920420
0.856500  0.917890
0.857000  0.915360
0.857500  0.911800
0.858000  0.908240
0.858500  0.903530
0.859000  0.898830
0.859500  0.892640
0.860000  0.886450
0.860500  0.878990
0.861000  0.871530
0.861500  0.862020
0.862000  0.852510
0.862500  0.841550
0.863000  0.830600
0.863500  0.818110
0.864000  0.805630
0.864500  0.790990
0.865000  0.776340
0.865500  0.760260
0.866000  0.744190
0.866500  0.726740
0.867000  0.709290
0.867500  0.690630
0.868000  0.671980
0.868500  0.651690
0.869000  0.631410
0.869500  0.611120
0.870000  0.590830
0.870500  0.569870
0.871000  0.548910
0.871500  0.527240
0.872000  0.505580
0.872500  0.485170
0.873000  0.464770
0.873500  0.443890
0.874000  0.423020
0.874500  0.403560
0.875000  0.384100
0.875500  0.365700
0.876000  0.347290
0.876500  0.329710
0.877000  0.312130
0.877500  0.295850
0.878000  0.279560
0.878500  0.264580
0.879000  0.249610
0.879500  0.236520
0.880000  0.223420
0.880500  0.210950
0.881000  0.198480
0.881500  0.187570
0.882000  0.176650
0.882500  0.166990
0.883000  0.157320
0.883500  0.148490
0.884000  0.139670
0.884500  0.132050
0.885000  0.124440
0.885500  0.117630
0.886000  0.110830
0.886500  0.104870
0.887000  0.098910
0.887500  0.093510
0.888000  0.088100
0.888500  0.083650
0.889000  0.079190
0.889500  0.075070
0.890000  0.070960
0.890500  0.067210
0.891000  0.063460
0.891500  0.060390
0.892000  0.057330
0.892500  0.054480
0.893000  0.051620
0.893500  0.049110
0.894000  0.046600
0.894500  0.044390
0.895000  0.042180
0.895500  0.040210
0.896000  0.038240
0.896500  0.036490
0.897000  0.034740
0.897500  0.033210
0.898000  0.031680
0.898500  0.030280
0.899000  0.028870
0.899500  0.027590
0.900000  0.026320
0.900500  0.025210
0.901000  0.024100
0.901500  0.023100
0.902000  0.022100
0.902500  0.021160
0.903000  0.020220
0.903500  0.019430
0.904000  0.018630
0.904500  0.017900
0.905000  0.017180
0.905500  0.016520
0.906000  0.015860
0.906500  0.015240
0.907000  0.014620
0.907500  0.014080
0.908000  0.013550
0.908500  0.013070
0.909000  0.012580
0.909500  0.012120
0.910000  0.011660
0.910500  0.011270
0.911000  0.010870
0.911500  0.010490
0.912000  0.010100
0.912500  0.009760
0.913000  0.009420
0.913500  0.009110
0.914000  0.008800
0.914500  0.008510
0.915000  0.008220
0.915500  0.007950
0.916000  0.007690
0.916500  0.007460
0.917000  0.007230
0.917500  0.007000
0.918000  0.006780
0.918500  0.006560
0.919000  0.006340
0.919500  0.006160
0.920000  0.005970
0.920500  0.005810
0.921000  0.005650
0.921500  0.005480
0.922000  0.005310
0.922500  0.005160
0.923000  0.005010
0.923500  0.004880
0.924000  0.004760
0.924500  0.004630
0.925000  0.004490
0.925500  0.004370
0.926000  0.004250
0.926500  0.004150
0.927000  0.004040
