# author : MAVIS package
# source : SVO Filter Profile Service, filter ID Paranal/FORS2.ESO1076
# source_reference : http://filters.ls.eso.org/efs/efs_fi.htm
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : Bessell R, ESO filter #1076 as measured for VLT/FORS2. Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.557500  0.005100
0.558000  0.007290
0.558500  0.010280
0.559000  0.014200
0.559500  0.019420
0.560000  0.025810
0.560500  0.033730
0.561000  0.043090
0.561500  0.054520
0.562000  0.068120
0.562500  0.083830
0.563000  0.101640
0.563500  0.121780
0.564000  0.143420
0.564500  0.167350
0.565000  0.192550
0.565500  0.219370
0.566000  0.247390
0.566500  0.276360
0.567000  0.305930
0.567500  0.335810
0.568000  0.365170
0.568500  0.394920
0.569000  0.424160
0.569500  0.453240
0.570000  0.480580
0.570500  0.507100
0.571000  0.532630
0.571500  0.557380
0.572000  0.580480
0.572500  0.602670
0.573000  0.623920
0.573500  0.643150
0.574000  0.661580
0.574500  0.678730
0.575000  0.694540
0.575500  0.709690
0.576000  0.723550
0.576500  0.736240
0.577000  0.748210
0.577500  0.759150
0.578000  0.769360
0.578500  0.778950
0.579000  0.787370
0.579500  0.795620
0.580000  0.803330
0.580500  0.810510
0.581000  0.817240
0.581500  0.823360
0.582000  0.829310
0.582500  0.834860
0.583000  0.839960
0.583500  0.845090
0.584000  0.850050
0.584500  0.854640
0.585000  0.859310
0.585500  0.863690
0.586000  0.867840
0.586500  0.871910
0.587000  0.876360
0.587500  0.880320
0.588000  0.884000
0.588500  0.888050
0.589000  0.891620
0.589500  0.895070
0.590000  0.898550
0.590500  0.901770
0.591000  0.905250
0.591500  0.908410
0.592000  0.911240
0.592500  0.914020
0.593000  0.916760
0.593500  0.919240
0.594000  0.921620
0.594500  0.923720
0.595000  0.925720
0.595500  0.927620
0.596000  0.929330
0.596500  0.930630
0.597000  0.931900
0.597500  0.933130
0.598000  0.933830
0.598500  0.934610
0.599000  0.934940
0.599500  0.935330
0.600000  0.935490
0.600500  0.935720
0.601000  0.935310
0.601500  0.935110
0.602000  0.934750
0.602500  0.934190
0.603000  0.933260
0.603500  0.932850
0.604000  0.931850
0.604500  0.931220
0.605000  0.930240
0.605500  0.929300
0.606000  0.928510
0.606500  0.927580
0.607000  0.926580
0.607500  0.925730
0.608000  0.925020
0.608500  0.924310
0.609000  0.923620
0.609500  0.922700
0.610000  0.922210
0.610500  0.921710
0.611000  0.921530
0.611500  0.921200
0.612000  0.921060
0.613500  0.921270
0.614000  0.921640
0.614500  0.922140
0.615000  0.922740
0.615500  0.923340
0.616000  0.924160
0.616500  0.924920
0.617000  0.925860
0.617500  0.926830
0.618000  0.927880
0.618500  0.929120
0.619000  0.930100
0.619500  0.931350
0.620000  0.933050
0.620500  0.934060
0.621000  0.935590
0.621500  0.936780
0.622000  0.938060
0.622500  0.939270
0.623000  0.940690
0.623500  0.941660
0.624000  0.943050
0.624500  0.943890
0.625000  0.944800
0.625500  0.945600
0.626000  0.946550
0.626500  0.947060
0.627000  0.947640
0.627500  0.948110
0.628000  0.948550
0.628500  0.948730
0.629000  0.949110
0.629500  0.948860
0.630500  0.948740
0.631000  0.948230
0.631500  0.947820
0.632000  0.947300
0.632500  0.946630
0.633000  0.945770
0.633500  0.944960
0.634000  0.944200
0.634500  0.943270
0.635000  0.942180
0.635500  0.941230
0.636000  0.940210
0.636500  0.939010
0.637000  0.937780
0.637500  0.936620
0.638000  0.935790
0.638500  0.934700
0.639000  0.933630
0.639500  0.932670
0.640000  0.931540
0.640500  0.930670
0.641000  0.929980
0.641500  0.929130
0.642000  0.928280
0.642500  0.927580
0.643000  0.927270
0.643500  0.926710
0.644000  0.926420
0.644500  0.926200
0.645000  0.926010
0.645500  0.926160
0.646000  0.926020
0.646500  0.926240
0.647000  0.926500
0.647500  0.927080
0.648000  0.927340
0.648500  0.927930
0.649000  0.928680
0.649500  0.929230
0.650000  0.929910
0.650500  0.931010
0.651000  0.931520
0.651500  0.932390
0.652000  0.933430
0.652500  0.934440
0.653000  0.935460
0.653500  0.936550
0.654000  0.937360
0.654500  0.938230
0.655000  0.939420
0.655500  0.940350
0.656000  0.941250
0.656500  0.942060
0.657000  0.942660
0.657500  0.943430
0.658000  0.944060
0.658500  0.944600
0.659000  0.944860
0.660000  0.945530
0.661000  0.945660
0.661500  0.945430
0.662000  0.945110
0.662500  0.944710
0.663000  0.944190
0.663500  0.943430
0.664000  0.942820
0.664500  0.941680
0.665000  0.940820
0.665500  0.939980
0.666000  0.938720
0.666500  0.937260
0.667000  0.935890
0.667500  0.934540
0.668000  0.933180
0.668500  0.931440
0.669000  0.930150
0.669500  0.928220
0.670000  0.926690
0.670500  0.925060
0.671000  0.922960
0.671500  0.921440
0.672000  0.919910
0.672500  0.918250
0.673000  0.916680
0.673500  0.914880
0.674000  0.913600
0.674500  0.911850
0.675000  0.910560
0.675500  0.909300
0.676000  0.908290
0.676500  0.907180
0.677000  0.906200
0.677500  0.905430
0.678000  0.904460
0.678500  0.903920
0.679000  0.903450
0.679500  0.903240
0.680500  0.902910
0.681500  0.903070
0.682000  0.903250
0.682500  0.903910
