# author : MAVIS package
# source : SVO Filter Profile Service, filter ID Paranal/FORS2.ESO1075
# source_reference : http://filters.ls.eso.org/efs/efs_fi.htm
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : Bessell V, ESO filter #1075 as measured for VLT/FORS2. Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.477500  0.005240
0.478000  0.007290
0.478500  0.009960
0.479000  0.013360
0.479500  0.017580
0.480000  0.022800
0.480500  0.029130
0.481000  0.036500
0.481500  0.045210
0.482000  0.055130
0.482500  0.066400
0.483000  0.079110
0.483500  0.093030
0.484000  0.108300
0.484500  0.124600
0.485000  0.141900
0.485500  0.160450
0.486000  0.179710
0.486500  0.199780
0.487000  0.220690
0.487500  0.241740
0.488000  0.263320
0.488500  0.285040
0.489000  0.306960
0.489500  0.329150
0.490000  0.351030
0.490500  0.372630
0.491000  0.393840
0.491500  0.414510
0.492000  0.434910
0.492500  0.454900
0.493000  0.474370
0.493500  0.493520
0.494000  0.511760
0.494500  0.529500
0.495000  0.546420
0.495500  0.562630
0.496000  0.578170
0.496500  0.593300
0.497000  0.607740
0.497500  0.621560
0.498000  0.634810
0.498500  0.647550
0.499000  0.659870
0.499500  0.671570
0.500000  0.682510
0.500500  0.693210
0.501000  0.703170
0.501500  0.712820
0.502000  0.722000
0.502500  0.730790
0.503000  0.738900
0.503500  0.746750
0.504000  0.754230
0.504500  0.761520
0.505000  0.768130
0.505500  0.774630
0.506000  0.780790
0.506500  0.786620
0.507000  0.792180
0.507500  0.797220
0.508000  0.802080
0.508500  0.807140
0.509000  0.811490
0.509500  0.815760
0.510000  0.819700
0.510500  0.823760
0.511000  0.827520
0.511500  0.830850
0.512000  0.834080
0.512500  0.837200
0.513000  0.840210
0.513500  0.842800
0.514000  0.845620
0.514500  0.847800
0.515000  0.850300
0.515500  0.852390
0.516000  0.854530
0.516500  0.856330
0.517000  0.858390
0.517500  0.860060
0.518000  0.861620
0.518500  0.862910
0.519000  0.864890
0.519500  0.866020
0.520000  0.867020
0.520500  0.868370
0.521000  0.869440
0.521500  0.870190
0.522000  0.871300
0.522500  0.872000
0.523000  0.872770
0.523500  0.873590
0.524000  0.874260
0.524500  0.874700
0.525000  0.875130
0.526000  0.875900
0.526500  0.876260
0.527500  0.876580
0.528500  0.876900
0.529000  0.876760
0.530000  0.876610
0.531000  0.876260
0.531500  0.875580
0.532000  0.875420
0.532500  0.875240
0.533000  0.874710
0.533500  0.873930
0.534000  0.873550
0.534500  0.873050
0.535000  0.872300
0.535500  0.871640
0.536000  0.870910
0.536500  0.870320
0.537000  0.869530
0.537500  0.868570
0.538000  0.867620
0.538500  0.866650
0.539000  0.866040
0.539500  0.864670
0.540000  0.863500
0.540500  0.862680
0.541000  0.861340
0.541500  0.859990
0.542000  0.858750
0.542500  0.857430
0.543000  0.856050
0.543500  0.854750
0.544000  0.853290
0.544500  0.851730
0.545000  0.850260
0.545500  0.848710
0.546000  0.847070
0.546500  0.845370
0.547000  0.843540
0.547500  0.841840
0.548000  0.840220
0.548500  0.838100
0.549000  0.835930
0.549500  0.834400
0.550000  0.832350
0.550500  0.830260
0.551000  0.828240
0.551500  0.826000
0.552000  0.823670
0.552500  0.821740
0.553000  0.819340
0.553500  0.816900
0.554000  0.814670
0.554500  0.812190
0.555000  0.809590
0.555500  0.806990
0.556000  0.804540
0.556500  0.801870
0.557000  0.799280
0.557500  0.796440
0.558000  0.793530
0.558500  0.790980
0.559000  0.788080
0.559500  0.785070
0.560000  0.782110
0.560500  0.779140
0.561000  0.776310
0.561500  0.773140
0.562000  0.769880
0.562500  0.766760
0.563000  0.763600
0.563500  0.760200
0.564000  0.756650
0.564500  0.753410
0.565000  0.749940
0.565500  0.746510
0.566000  0.742820
0.566500  0.739130
0.567000  0.735460
0.567500  0.731770
0.568000  0.728000
0.568500  0.724250
0.569000  0.720240
0.569500  0.716610
0.570000  0.712580
0.570500  0.708310
0.571000  0.704530
0.571500  0.700590
0.572000  0.696540
0.572500  0.692380
0.573000  0.688180
0.573500  0.683990
0.574000  0.679650
0.574500  0.675430
0.575000  0.670900
0.575500  0.666530
0.576000  0.662180
0.576500  0.657490
0.577000  0.653060
0.577500  0.648510
0.578000  0.643990
0.578500  0.639470
0.579000  0.634480
0.579500  0.629790
0.580000  0.625040
0.580500  0.620330
0.581000  0.615370
0.581500  0.610640
0.582000  0.605740
0.582500  0.600970
0.583000  0.596180
0.583500  0.591140
0.584000  0.586270
0.584500  0.581150
0.585000  0.576180
0.585500  0.571060
0.586000  0.565940
0.586500  0.560720
0.587000  0.555790
0.587500  0.550640
0.588000  0.545440
0.588500  0.540220
0.589000  0.534950
0.589500  0.529700
0.590000  0.524420
0.590500  0.519140
0.591000  0.513930
0.591500  0.508680
0.592000  0.503120
0.592500  0.497710
0.593000  0.492590
0.593500  0.487280
0.594000  0.481960
0.594500  0.476510
0.595000  0.471150
0.595500  0.465780
0.596000  0.460400
0.596500  0.454890
0.597000  0.449450
0.597500  0.444150
0.598000  0.438660
0.598500  0.433230
0.599000  0.427840
0.599500  0.422520
0.600000  0.417040
0.600500  0.411740
0.601000  0.406190
0.601500  0.400830
0.602000  0.395290
0.602500  0.389910
0.603000  0.384590
0.603500  0.379360
0.604000  0.374170
0.604500  0.369030
0.605000  0.363760
0.605500  0.358490
0.606000  0.353300
0.606500  0.348100
0.607000  0.342840
0.607500  0.337630
0.608000  0.332490
