# author : MAVIS package
# source : SVO Filter Profile Service, filter ID SLOAN/SDSS.gprime_filter
# source_reference : http://filters.apo.nmsu.edu/curves/SDSS/
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : SDSS g' filter-only transmission (USNO 40-inch measurement). Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.379800  0.000102
0.379900  0.000105
0.380000  0.000107
0.380100  0.000109
0.380200  0.000110
0.380300  0.000112
0.380400  0.000114
0.380500  0.000118
0.380600  0.000123
0.380700  0.000130
0.380800  0.000140
0.380900  0.000152
0.381000  0.000168
0.381100  0.000188
0.381200  0.000211
0.381300  0.000238
0.381400  0.000269
0.381500  0.000304
0.381600  0.000343
0.381700  0.000385
0.381800  0.000431
0.381900  0.000481
0.382000  0.000534
0.382100  0.000591
0.382200  0.000652
0.382300  0.000717
0.382400  0.000787
0.382500  0.000861
0.382600  0.000940
0.382700  0.001025
0.382800  0.001114
0.382900  0.001210
0.383000  0.001312
0.383100  0.001420
0.383200  0.001535
0.383300  0.001657
0.383400  0.001787
0.383500  0.001926
0.383600  0.002073
0.383700  0.002230
0.383800  0.002397
0.383900  0.002574
0.384000  0.002762
0.384100  0.002962
0.384200  0.003174
0.384300  0.003399
0.384400  0.003638
0.384500  0.003892
0.384600  0.004162
0.384700  0.004449
0.384800  0.004753
0.384900  0.005075
0.385000  0.005417
0.385100  0.005779
0.385200  0.006162
0.385300  0.006566
0.385400  0.006993
0.385500  0.007443
0.385600  0.007917
0.385700  0.008416
0.385800  0.008941
0.385900  0.009492
0.386000  0.010070
0.386100  0.010676
0.386200  0.011312
0.386300  0.011979
0.386400  0.012677
0.386500  0.013409
0.386600  0.014176
0.386700  0.014979
0.386800  0.015820
0.386900  0.016700
0.387000  0.017620
0.387100  0.018582
0.387200  0.019587
0.387300  0.020635
0.387400  0.021729
0.387500  0.022870
0.387600  0.024058
0.387700  0.025295
0.387800  0.026582
0.387900  0.027920
0.388000  0.029310
0.388100  0.030754
0.388200  0.032250
0.388300  0.033799
0.388400  0.035400
0.388500  0.037053
0.388600  0.038756
0.388700  0.040510
0.388800  0.042314
0.388900  0.044168
0.389000  0.046070
0.389100  0.048021
0.389200  0.050017
0.389300  0.052059
0.389400  0.054142
0.389500  0.056265
0.389600  0.058427
0.389700  0.060624
0.389800  0.062855
0.389900  0.065118
0.390000  0.067410
