# author : MAVIS package
# source : SVO Filter Profile Service, filter ID SLOAN/SDSS.iprime_filter
# source_reference : http://filters.apo.nmsu.edu/curves/SDSS/
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : SDSS i' filter-only transmission (USNO 40-inch measurement). Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.654900  0.000102
0.655000  0.000107
0.655100  0.000112
0.655200  0.000117
0.655300  0.000121
0.655400  0.000126
0.655500  0.000131
0.655600  0.000135
0.655700  0.000140
0.655800  0.000144
0.655900  0.000149
0.656000  0.000153
0.656100  0.000157
0.656200  0.000161
0.656300  0.000165
0.656400  0.000170
0.656500  0.000174
0.656600  0.000178
0.656700  0.000183
0.656800  0.000188
0.656900  0.000193
0.657000  0.000198
0.657100  0.000204
0.657200  0.000210
0.657300  0.000216
0.657400  0.000223
0.657500  0.000230
0.657600  0.000238
0.657700  0.000247
0.657800  0.000256
0.657900  0.000265
0.658000  0.000275
0.658100  0.000286
0.658200  0.000297
0.658300  0.000308
0.658400  0.000320
0.658500  0.000333
0.658600  0.000345
0.658700  0.000358
0.658800  0.000371
0.658900  0.000384
0.659000  0.000397
0.659100  0.000410
0.659200  0.000423
0.659300  0.000435
0.659400  0.000448
0.659500  0.000460
0.659600  0.000472
0.659700  0.000484
0.659800  0.000496
0.659900  0.000508
0.660000  0.000519
0.660100  0.000530
0.660200  0.000541
0.660300  0.000552
0.660400  0.000563
0.660500  0.000575
0.660600  0.000587
0.660700  0.000599
0.660800  0.000612
0.660900  0.000626
0.661000  0.000641
0.661100  0.000657
0.661200  0.000674
0.661300  0.000692
0.661400  0.000710
0.661500  0.000730
0.661600  0.000750
0.661700  0.000772
0.661800  0.000793
0.661900  0.000816
0.662000  0.000839
0.662100  0.000863
0.662200  0.000887
0.662300  0.000911
0.662400  0.000937
0.662500  0.000962
0.662600  0.000988
0.662700  0.001015
0.662800  0.001043
0.662900  0.001071
0.663000  0.001099
0.663100  0.001128
0.663200  0.001158
0.663300  0.001188
0.663400  0.001219
0.663500  0.001250
0.663600  0.001283
0.663700  0.001316
0.663800  0.001349
0.663900  0.001384
0.664000  0.001419
0.664100  0.001455
0.664200  0.001492
0.664300  0.001530
0.664400  0.001568
0.664500  0.001608
0.664600  0.001648
0.664700  0.001689
0.664800  0.001730
0.664900  0.001773
0.665000  0.001816
0.665100  0.001860
0.665200  0.001905
0.665300  0.001951
0.665400  0.001998
0.665500  0.002045
0.665600  0.002095
0.665700  0.002145
0.665800  0.002196
0.665900  0.002249
0.666000  0.002304
0.666100  0.002360
0.666200  0.002418
0.666300  0.002477
0.666400  0.002538
0.666500  0.002601
0.666600  0.002666
0.666700  0.002733
0.666800  0.002801
0.666900  0.002872
0.667000  0.002945
0.667100  0.003020
0.667200  0.003097
0.667300  0.003176
0.667400  0.003258
0.667500  0.003341
0.667600  0.003426
0.667700  0.003513
0.667800  0.003601
0.667900  0.003692
0.668000  0.003784
0.668100  0.003878
0.668200  0.003973
0.668300  0.004071
0.668400  0.004170
0.668500  0.004271
0.668600  0.004374
0.668700  0.004479
0.668800  0.004586
0.668900  0.004695
0.669000  0.004807
0.669100  0.004921
0.669200  0.005037
0.669300  0.005156
0.669400  0.005278
0.669500  0.005403
0.669600  0.005530
0.669700  0.005661
0.669800  0.005795
0.669900  0.005932
0.670000  0.006073
0.670100  0.006218
0.670200  0.006366
0.670300  0.006518
0.670400  0.006674
0.670500  0.006833
0.670600  0.006997
0.670700  0.007164
0.670800  0.007335
0.670900  0.007511
0.671000  0.007690
0.671100  0.007873
0.671200  0.008061
0.671300  0.008252
0.671400  0.008448
0.671500  0.008649
0.671600  0.008854
0.671700  0.009063
0.671800  0.009277
0.671900  0.009496
0.672000  0.009720
0.672100  0.009949
0.672200  0.010182
0.672300  0.010421
0.672400  0.010666
0.672500  0.010915
0.672600  0.011171
0.672700  0.011432
0.672800  0.011698
0.672900  0.011971
0.673000  0.012250
0.673100  0.012535
0.673200  0.012826
0.673300  0.013124
0.673400  0.013429
0.673500  0.013741
0.673600  0.014060
0.673700  0.014386
0.673800  0.014719
0.673900  0.015061
0.674000  0.015410
0.674100  0.015767
0.674200  0.016133
0.674300  0.016507
0.674400  0.016889
0.674500  0.017279
0.674600  0.017678
0.674700  0.018086
0.674800  0.018502
0.674900  0.018926
0.675000  0.019360
0.675100  0.019802
0.675200  0.020254
0.675300  0.020715
0.675400  0.021185
0.675500  0.021665
0.675600  0.022155
0.675700  0.022655
0.675800  0.023166
0.675900  0.023688
0.676000  0.024220
0.676100  0.024764
0.676200  0.025319
0.676300  0.025886
0.676400  0.026465
0.676500  0.027056
0.676600  0.027660
0.676700  0.028277
0.676800  0.028908
0.676900  0.029552
0.677000  0.030210
0.677100  0.030882
0.677200  0.031569
0.677300  0.032270
0.677400  0.032986
0.677500  0.033717
0.677600  0.034463
0.677700  0.035224
0.677800  0.036000
0.677900  0.036792
0.678000  0.037600
0.678100  0.038424
0.678200  0.039263
0.678300  0.040119
0.678400  0.040991
0.678500  0.041879
0.678600  0.042784
0.678700  0.043705
0.678800  0.044643
0.678900  0.045598
0.679000  0.046570
0.679100  0.047559
0.679200  0.048566
0.679300  0.049590
0.679400  0.050634
0.679500  0.051698
0.679600  0.052781
0.679700  0.053886
0.679800  0.055011
0.679900  0.056159
0.680000  0.057330
0.680100  0.058524
0.680200  0.059741
0.680300  0.060982
0.680400  0.062246
0.680500  0.063534
0.680600  0.064846
0.680700  0.066181
0.680800  0.067540
0.680900  0.068923
0.681000  0.070330
0.681100  0.071761
0.681200  0.073216
0.681300  0.074694
0.681400  0.076196
0.681500  0.077722
0.681600  0.079270
0.681700  0.080841
0.681800  0.082435
0.681900  0.084051
0.682000  0.085690
0.682100  0.087351
0.682200  0.089035
0.682300  0.090744
0.682400  0.092479
0.682500  0.094241
0.682600  0.096031
0.682700  0.097851
0.682800  0.099702
0.682900  0.101584
0.683000  0.103500
0.683100  0.105450
0.683200  0.107433
0.683300  0.109450
0.683400  0.111498
0.683500  0.113576
0.683600  0.115685
0.683700  0.117822
0.683800  0.119988
0.683900  0.122181
0.684000  0.124400
0.684100  0.126645
0.684200  0.128914
0.684300  0.131210
0.684400  0.133531
0.684500  0.135878
0.684600  0.138250
0.684700  0.140648
0.684800  0.143073
0.684900  0.145523
0.685000  0.148000
0.685100  0.150503
0.685200  0.153033
0.685300  0.155590
0.685400  0.158175
0.685500  0.160789
0.685600  0.163431
0.685700  0.166103
0.685800  0.168804
0.685900  0.171537
0.686000  0.174300
0.686100  0.177095
0.686200  0.179921
0.686300  0.182777
0.686400  0.185664
0.686500  0.188581
0.686600  0.191527
0.686700  0.194503
0.686800  0.197507
0.686900  0.200540
0.687000  0.203600
0.687100  0.206688
0.687200  0.209803
0.687300  0.212946
0.687400  0.216116
0.687500  0.219313
0.687600  0.222537
0.687700  0.225788
0.687800  0.229065
0.687900  0.232369
0.688000  0.235700
0.688100  0.239057
0.688200  0.242440
0.688300  0.245849
0.688400  0.249283
0.688500  0.252742
0.688600  0.256225
0.688700  0.259733
0.688800  0.263265
0.688900  0.266821
0.689000  0.270400
0.689100  0.274002
0.689200  0.277626
0.689300  0.281273
0.689400  0.284942
0.689500  0.288632
0.689600  0.292344
0.689700  0.296077
0.689800  0.299831
0.689900  0.303605
0.690000  0.307400
0.690100  0.311214
0.690200  0.315047
0.690300  0.318896
0.690400  0.322762
0.690500  0.326641
0.690600  0.330533
0.690700  0.334436
0.690800  0.338350
0.690900  0.342271
0.691000  0.346200
0.691100  0.350134
0.691200  0.354074
0.691300  0.358017
0.691400  0.361965
0.691500  0.365916
0.691600  0.369869
0.691700  0.373825
0.691800  0.377783
0.691900  0.381741
0.692000  0.385700
0.692100  0.389659
0.692200  0.393619
0.692300  0.397582
0.692400  0.401549
0.692500  0.405520
0.692600  0.409498
0.692700  0.413484
0.692800  0.417479
0.692900  0.421484
0.693000  0.425500
0.693100  0.429529
0.693200  0.433568
0.693300  0.437616
0.693400  0.441669
0.693500  0.445727
0.693600  0.449787
0.693700  0.453846
0.693800  0.457903
0.693900  0.461955
0.694000  0.466000
0.694100  0.470036
0.694200  0.474063
0.694300  0.478080
0.694400  0.482086
0.694500  0.486083
0.694600  0.490069
0.694700  0.494044
0.694800  0.498007
0.694900  0.501960
0.695000  0.505900
0.695100  0.509829
0.695200  0.513745
0.695300  0.517651
0.695400  0.521545
0.695500  0.525429
0.695600  0.529302
0.695700  0.533166
0.695800  0.537020
0.695900  0.540864
0.696000  0.544700
0.696100  0.548527
0.696200  0.552344
0.696300  0.556150
0.696400  0.559945
0.696500  0.563726
0.696600  0.567494
0.696700  0.571246
0.696800  0.574982
0.696900  0.578700
0.697000  0.582400
0.697100  0.586080
0.697200  0.589740
0.697300  0.593379
0.697400  0.596996
0.697500  0.600591
0.697600  0.604162
0.697700  0.607709
0.697800  0.611232
0.697900  0.614729
0.698000  0.618200
0.698100  0.621644
0.698200  0.625063
0.698300  0.628456
0.698400  0.631826
0.698500  0.635173
0.698600  0.638498
0.698700  0.641802
0.698800  0.645087
0.698900  0.648352
0.699000  0.651600
0.699100  0.654831
0.699200  0.658044
0.699300  0.661238
0.699400  0.664413
0.699500  0.667567
0.699600  0.670700
0.699700  0.673811
0.699800  0.676898
0.699900  0.679962
0.700000  0.683000
0.700100  0.686013
0.700200  0.689001
0.700300  0.691964
0.700400  0.694904
0.700500  0.697822
0.700600  0.700717
0.700700  0.703592
0.700800  0.706447
0.700900  0.709283
0.701000  0.712100
0.701100  0.714899
0.701200  0.717681
0.701300  0.720443
0.701400  0.723186
0.701500  0.725909
0.701600  0.728611
0.701700  0.731292
0.701800  0.733951
0.701900  0.736587
0.702000  0.739200
0.702100  0.741789
0.702200  0.744355
0.702300  0.746898
0.702400  0.749418
0.702500  0.751917
0.702600  0.754394
0.702700  0.756851
0.702800  0.759287
0.702900  0.761703
0.703000  0.764100
0.703100  0.766478
0.703200  0.768836
0.703300  0.771174
0.703400  0.773490
0.703500  0.775785
0.703600  0.778056
0.703700  0.780305
0.703800  0.782529
0.703900  0.784727
0.704000  0.786900
0.704100  0.789046
0.704200  0.791167
0.704300  0.793263
0.704400  0.795334
0.704500  0.797382
0.704600  0.799407
0.704700  0.801411
0.704800  0.803394
0.704900  0.805357
0.705000  0.807300
0.705100  0.809225
0.705200  0.811132
0.705300  0.813022
0.705400  0.814895
0.705500  0.816751
0.705600  0.818591
0.705700  0.820416
0.705800  0.822225
0.705900  0.824020
0.706000  0.825800
0.706100  0.827567
0.706200  0.829318
0.706300  0.831055
0.706400  0.832775
0.706500  0.834477
0.706600  0.836162
0.706700  0.837827
0.706800  0.839472
0.706900  0.841097
0.707000  0.842700
0.707100  0.844280
0.707200  0.845839
0.707300  0.847377
0.707400  0.848893
0.707500  0.850390
0.707600  0.851868
0.707700  0.853327
0.707800  0.854768
0.707900  0.856192
0.708000  0.857600
0.708100  0.858992
0.708200  0.860369
0.708300  0.861733
0.708400  0.863084
0.708500  0.864424
0.708600  0.865754
0.708700  0.867076
0.708800  0.868390
0.708900  0.869698
0.709000  0.871000
0.709100  0.872298
0.709200  0.873591
0.709300  0.874877
0.709400  0.876156
0.709500  0.877426
0.709600  0.878686
0.709700  0.879935
0.709800  0.881171
0.709900  0.882393
0.710000  0.883600
0.710100  0.884791
0.710200  0.885966
0.710300  0.887123
0.710400  0.888262
0.710500  0.889384
0.710600  0.890486
0.710700  0.891570
0.710800  0.892633
0.710900  0.893677
0.711000  0.894700
0.711100  0.895702
0.711200  0.896684
0.711300  0.897648
0.711400  0.898595
0.711500  0.899527
0.711600  0.900444
0.711700  0.901349
0.711800  0.902242
0.711900  0.903125
0.712000  0.904000
0.712100  0.904868
0.712200  0.905728
0.712300  0.906582
0.712400  0.907430
0.712500  0.908272
0.712600  0.909108
0.712700  0.909938
0.712800  0.910764
0.712900  0.911584
0.713000  0.912400
0.713100  0.913211
0.713200  0.914017
0.713300  0.914818
0.713400  0.915612
0.713500  0.916398
0.713600  0.917177
0.713700  0.917947
0.713800  0.918709
0.713900  0.919460
0.714000  0.920200
0.714100  0.920929
0.714200  0.921647
0.714300  0.922354
0.714400  0.923050
0.714500  0.923735
0.714600  0.924409
0.714700  0.925072
0.714800  0.925725
0.714900  0.926368
0.715000  0.927000
0.715100  0.927622
0.715200  0.928235
0.715300  0.928839
0.715400  0.929435
0.715500  0.930025
0.715600  0.930609
0.715700  0.931187
0.715800  0.931761
0.715900  0.932332
0.716000  0.932900
0.716100  0.933466
0.716200  0.934030
0.716300  0.934590
0.716400  0.935148
0.716500  0.935702
0.716600  0.936252
0.716700  0.936797
0.716800  0.937337
0.716900  0.937871
0.717000  0.938400
0.717100  0.938922
0.717200  0.939437
0.717300  0.939946
0.717400  0.940447
0.717500  0.940942
0.717600  0.941429
0.717700  0.941908
0.717800  0.942380
0.717900  0.942844
0.718000  0.943300
0.718100  0.943748
0.718200  0.944188
0.718300  0.944621
0.718400  0.945048
0.718500  0.945468
0.718600  0.945883
0.718700  0.946294
0.718800  0.946699
0.718900  0.947101
0.719000  0.947500
