# author : MAVIS package
# source : SVO Filter Profile Service, filter ID SLOAN/SDSS.rprime_filter
# source_reference : http://filters.apo.nmsu.edu/curves/SDSS/
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : SDSS r' filter-only transmission (USNO 40-inch measurement). Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.534300  0.000109
0.534400  0.000122
0.534500  0.000136
0.534600  0.000150
0.534700  0.000165
0.534800  0.000181
0.534900  0.000197
0.535000  0.000214
0.535100  0.000232
0.535200  0.000250
0.535300  0.000269
0.535400  0.000290
0.535500  0.000313
0.535600  0.000337
0.535700  0.000363
0.535800  0.000392
0.535900  0.000424
0.536000  0.000458
0.536100  0.000495
0.536200  0.000536
0.536300  0.000580
0.536400  0.000628
0.536500  0.000679
0.536600  0.000734
0.536700  0.000792
0.536800  0.000855
0.536900  0.000921
0.537000  0.000992
0.537100  0.001067
0.537200  0.001147
0.537300  0.001231
0.537400  0.001321
0.537500  0.001417
0.537600  0.001519
0.537700  0.001628
0.537800  0.001744
0.537900  0.001868
0.538000  0.001999
0.538100  0.002139
0.538200  0.002287
0.538300  0.002446
0.538400  0.002614
0.538500  0.002793
0.538600  0.002984
0.538700  0.003187
0.538800  0.003403
0.538900  0.003633
0.539000  0.003876
0.539100  0.004134
0.539200  0.004408
0.539300  0.004698
0.539400  0.005005
0.539500  0.005330
0.539600  0.005673
0.539700  0.006036
0.539800  0.006419
0.539900  0.006823
0.540000  0.007248
0.540100  0.007696
0.540200  0.008167
0.540300  0.008662
0.540400  0.009183
0.540500  0.009729
0.540600  0.010302
0.540700  0.010903
0.540800  0.011532
0.540900  0.012191
0.541000  0.012880
0.541100  0.013600
0.541200  0.014352
0.541300  0.015137
0.541400  0.015955
0.541500  0.016807
0.541600  0.017695
0.541700  0.018618
0.541800  0.019578
0.541900  0.020575
0.542000  0.021610
0.542100  0.022684
0.542200  0.023798
0.542300  0.024953
0.542400  0.026149
0.542500  0.027387
0.542600  0.028668
0.542700  0.029993
0.542800  0.031363
0.542900  0.032778
0.543000  0.034240
0.543100  0.035749
0.543200  0.037305
0.543300  0.038908
0.543400  0.040559
0.543500  0.042258
0.543600  0.044006
0.543700  0.045801
0.543800  0.047645
0.543900  0.049538
0.544000  0.051480
0.544100  0.053471
0.544200  0.055511
0.544300  0.057599
0.544400  0.059737
0.544500  0.061923
0.544600  0.064158
0.544700  0.066441
0.544800  0.068773
0.544900  0.071152
0.545000  0.073580
0.545100  0.076056
0.545200  0.078580
0.545300  0.081151
0.545400  0.083771
0.545500  0.086439
0.545600  0.089155
0.545700  0.091919
0.545800  0.094731
0.545900  0.097592
0.546000  0.100500
0.546100  0.103456
0.546200  0.106460
0.546300  0.109508
0.546400  0.112601
0.546500  0.115736
0.546600  0.118912
0.546700  0.122128
0.546800  0.125382
0.546900  0.128673
0.547000  0.132000
0.547100  0.135361
0.547200  0.138758
0.547300  0.142192
0.547400  0.145665
0.547500  0.149178
0.547600  0.152733
0.547700  0.156331
0.547800  0.159974
0.547900  0.163663
0.548000  0.167400
0.548100  0.171186
0.548200  0.175022
0.548300  0.178907
0.548400  0.182842
0.548500  0.186827
0.548600  0.190861
0.548700  0.194946
0.548800  0.199080
0.548900  0.203265
0.549000  0.207500
0.549100  0.211785
0.549200  0.216117
0.549300  0.220493
0.549400  0.224911
0.549500  0.229366
0.549600  0.233856
0.549700  0.238377
0.549800  0.242927
0.549900  0.247502
0.550000  0.252100
0.550100  0.256717
0.550200  0.261355
0.550300  0.266014
0.550400  0.270694
0.550500  0.275398
0.550600  0.280126
0.550700  0.284879
0.550800  0.289659
0.550900  0.294465
0.551000  0.299300
0.551100  0.304164
0.551200  0.309057
0.551300  0.313980
0.551400  0.318933
0.551500  0.323916
0.551600  0.328931
0.551700  0.333976
0.551800  0.339052
0.551900  0.344160
0.552000  0.349300
0.552100  0.354471
0.552200  0.359670
0.552300  0.364892
0.552400  0.370132
0.552500  0.375386
0.552600  0.380649
0.552700  0.385916
0.552800  0.391184
0.552900  0.396447
0.553000  0.401700
0.553100  0.406940
0.553200  0.412165
0.553300  0.417374
0.553400  0.422566
0.553500  0.427740
0.553600  0.432895
0.553700  0.438029
0.553800  0.443142
0.553900  0.448233
0.554000  0.453300
0.554100  0.458343
0.554200  0.463359
0.554300  0.468349
0.554400  0.473310
0.554500  0.478241
0.554600  0.483140
0.554700  0.488008
0.554800  0.492841
0.554900  0.497639
0.555000  0.502400
0.555100  0.507123
0.555200  0.511804
0.555300  0.516440
0.555400  0.521026
0.555500  0.525560
0.555600  0.530037
0.555700  0.534453
0.555800  0.538804
0.555900  0.543088
0.556000  0.547300
0.556100  0.551437
0.556200  0.555499
0.556300  0.559487
0.556400  0.563402
0.556500  0.567245
0.556600  0.571016
0.556700  0.574716
0.556800  0.578346
0.556900  0.581907
0.557000  0.585400
0.557100  0.588825
0.557200  0.592185
0.557300  0.595483
0.557400  0.598719
0.557500  0.601898
0.557600  0.605020
0.557700  0.608090
0.557800  0.611108
0.557900  0.614077
0.558000  0.617000
0.558100  0.619878
0.558200  0.622713
0.558300  0.625503
0.558400  0.628249
0.558500  0.630952
0.558600  0.633610
0.558700  0.636223
0.558800  0.638793
0.558900  0.641319
0.559000  0.643800
0.559100  0.646238
0.559200  0.648634
0.559300  0.650993
0.559400  0.653317
0.559500  0.655609
0.559600  0.657872
0.559700  0.660110
0.559800  0.662325
0.559900  0.664521
0.560000  0.666700
0.560100  0.668866
0.560200  0.671020
0.560300  0.673164
0.560400  0.675299
0.560500  0.677426
0.560600  0.679548
0.560700  0.681664
0.560800  0.683777
0.560900  0.685889
0.561000  0.688000
0.561100  0.690112
0.561200  0.692225
0.561300  0.694340
0.561400  0.696456
0.561500  0.698574
0.561600  0.700694
0.561700  0.702816
0.561800  0.704941
0.561900  0.707069
0.562000  0.709200
0.562100  0.711334
0.562200  0.713473
0.562300  0.715617
0.562400  0.717768
0.562500  0.719928
0.562600  0.722098
0.562700  0.724279
0.562800  0.726472
0.562900  0.728678
0.563000  0.730900
0.563100  0.733137
0.563200  0.735390
0.563300  0.737656
0.563400  0.739935
0.563500  0.742225
0.563600  0.744525
0.563700  0.746834
0.563800  0.749150
0.563900  0.751472
0.564000  0.753800
0.564100  0.756131
0.564200  0.758465
0.564300  0.760801
0.564400  0.763137
0.564500  0.765472
0.564600  0.767805
0.564700  0.770136
0.564800  0.772463
0.564900  0.774784
0.565000  0.777100
