# author : MAVIS package
# source : SVO Filter Profile Service, filter ID SLOAN/SDSS.uprime_filter
# source_reference : http://filters.apo.nmsu.edu/curves/SDSS/
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : SDSS u' filter-only transmission (USNO 40-inch measurement). Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.301300  0.001010
0.301400  0.001100
0.301500  0.001190
0.301600  0.001290
0.301700  0.001400
0.301800  0.001520
0.301900  0.001660
0.302000  0.001800
0.302100  0.001950
0.302200  0.002120
0.302300  0.002300
0.302400  0.002480
0.302500  0.002680
0.302600  0.002880
0.302700  0.003100
0.302800  0.003320
0.302900  0.003560
0.303000  0.003800
0.303100  0.004050
0.303200  0.004310
0.303300  0.004580
0.303400  0.004870
0.303500  0.005160
0.303600  0.005470
0.303700  0.005800
0.303800  0.006150
0.303900  0.006510
0.304000  0.006900
0.304100  0.007310
0.304200  0.007740
0.304300  0.008190
0.304400  0.008670
0.304500  0.009160
0.304600  0.009680
0.304700  0.010230
0.304800  0.010790
0.304900  0.011390
0.305000  0.012000
0.305100  0.012640
0.305200  0.013300
0.305300  0.013990
0.305400  0.014710
0.305500  0.015450
0.305600  0.016220
0.305700  0.017020
0.305800  0.017850
0.305900  0.018710
0.306000  0.019600
0.306100  0.020520
0.306200  0.021480
0.306300  0.022470
0.306400  0.023490
0.306500  0.024560
0.306600  0.025660
0.306700  0.026810
0.306800  0.027990
0.306900  0.029220
0.307000  0.030500
0.307100  0.031820
0.307200  0.033200
0.307300  0.034610
0.307400  0.036080
0.307500  0.037600
0.307600  0.039160
0.307700  0.040770
0.307800  0.042430
0.307900  0.044140
0.308000  0.045900
0.308100  0.047710
0.308200  0.049560
0.308300  0.051470
0.308400  0.053410
0.308500  0.055400
0.308600  0.057420
0.308700  0.059490
0.308800  0.061590
0.308900  0.063730
0.309000  0.065900
0.309100  0.068100
0.309200  0.070330
0.309300  0.072590
0.309400  0.074880
0.309500  0.077200
0.309600  0.079550
0.309700  0.081920
0.309800  0.084320
0.309900  0.086750
0.310000  0.089200
0.310100  0.091680
0.310200  0.094180
0.310300  0.096700
0.310400  0.099250
0.310500  0.101810
0.310600  0.104400
0.310700  0.107000
0.310800  0.109620
0.310900  0.112250
0.311000  0.114900
0.311100  0.117560
0.311200  0.120240
0.311300  0.122920
0.311400  0.125620
0.311500  0.128340
0.311600  0.131060
0.311700  0.133800
0.311800  0.136560
0.311900  0.139320
0.312000  0.142100
0.312100  0.144890
0.312200  0.147700
0.312300  0.150520
0.312400  0.153360
0.312500  0.156210
0.312600  0.159070
0.312700  0.161950
0.312800  0.164850
0.312900  0.167770
0.313000  0.170700
0.313100  0.173650
0.313200  0.176620
0.313300  0.179600
0.313400  0.182610
0.313500  0.185630
0.313600  0.188670
0.313700  0.191720
0.313800  0.194800
0.313900  0.197890
0.314000  0.201000
0.314100  0.204130
0.314200  0.207280
0.314300  0.210450
0.314400  0.213640
0.314500  0.216860
0.314600  0.220110
0.314700  0.223380
0.314800  0.226690
0.314900  0.230030
0.315000  0.233400
0.315100  0.236810
0.315200  0.240250
0.315300  0.243730
0.315400  0.247240
0.315500  0.250790
0.315600  0.254370
0.315700  0.257980
0.315800  0.261620
0.315900  0.265300
0.316000  0.269000
0.316100  0.272730
0.316200  0.276490
0.316300  0.280270
0.316400  0.284050
0.316500  0.287850
0.316600  0.291660
0.316700  0.295460
0.316800  0.299250
0.316900  0.303030
0.317000  0.306800
0.317100  0.310540
0.317200  0.314260
0.317300  0.317930
0.317400  0.321570
0.317500  0.325150
0.317600  0.328670
0.317700  0.332120
0.317800  0.335500
0.317900  0.338790
0.318000  0.342000
0.318100  0.345110
0.318200  0.348120
0.318300  0.351040
0.318400  0.353850
0.318500  0.356570
0.318600  0.359190
0.318700  0.361720
0.318800  0.364140
0.318900  0.366470
0.319000  0.368700
0.319100  0.370830
0.319200  0.372880
0.319300  0.374840
0.319400  0.376730
0.319500  0.378550
0.319600  0.380320
0.319700  0.382040
0.319800  0.383720
0.319900  0.385370
0.320000  0.387000
0.320100  0.388610
0.320200  0.390220
0.320300  0.391830
0.320400  0.393460
0.320500  0.395110
0.320600  0.396790
0.320700  0.398510
0.320800  0.400270
0.320900  0.402100
0.321000  0.404000
0.321100  0.405970
0.321200  0.408020
0.321300  0.410150
0.321400  0.412360
0.321500  0.414660
0.321600  0.417030
0.321700  0.419490
0.321800  0.422040
0.321900  0.424680
0.322000  0.427400
0.322100  0.430210
0.322200  0.433110
0.322300  0.436080
0.322400  0.439120
0.322500  0.442230
0.322600  0.445390
0.322700  0.448610
0.322800  0.451870
0.322900  0.455170
0.323000  0.458500
0.323100  0.461860
0.323200  0.465230
0.323300  0.468610
0.323400  0.472000
0.323500  0.475370
0.323600  0.478730
0.323700  0.482060
0.323800  0.485350
0.323900  0.488600
0.324000  0.491800
0.324100  0.494940
0.324200  0.498010
0.324300  0.501010
0.324400  0.503930
0.324500  0.506770
0.324600  0.509510
