# author : MAVIS package
# source : SVO Filter Profile Service, filter ID SLOAN/SDSS.zprime_filter
# source_reference : http://filters.apo.nmsu.edu/curves/SDSS/
# source_components : Filter
# date_created  : 2026-08-19
# date_modified : 2026-08-19
# type : filter:transmission
# status : development
# description : SDSS z' filter-only transmission (USNO 40-inch measurement). Stand-in for the not-yet-measured MAVIS filter of the same name; filter glass only, detector QE and telescope reflectivity are applied separately by ScopeSim.
# wavelength_unit : um
# changes :
# - 2026-08-19 Fetched from SVO, replacing the earlier top-hat approximation
wavelength  transmission
0.785700  0.000183
0.785800  0.000188
0.785900  0.000193
0.786000  0.000198
0.786100  0.000203
0.786200  0.000209
0.786300  0.000214
0.786400  0.000220
0.786500  0.000226
0.786600  0.000232
0.786700  0.000238
0.786800  0.000245
0.786900  0.000252
0.787000  0.000259
0.787100  0.000266
0.787200  0.000274
0.787300  0.000282
0.787400  0.000289
0.787500  0.000297
0.787600  0.000305
0.787700  0.000313
0.787800  0.000321
0.787900  0.000328
0.788000  0.000336
0.788100  0.000343
0.788200  0.000351
0.788300  0.000358
0.788400  0.000365
0.788500  0.000372
0.788600  0.000380
0.788700  0.000387
0.788800  0.000395
0.788900  0.000403
0.789000  0.000412
0.789100  0.000421
0.789200  0.000431
0.789300  0.000441
0.789400  0.000451
0.789500  0.000462
0.789600  0.000473
0.789700  0.000484
0.789800  0.000496
0.789900  0.000507
0.790000  0.000519
0.790100  0.000531
0.790200  0.000543
0.790300  0.000555
0.790400  0.000567
0.790500  0.000579
0.790600  0.000591
0.790700  0.000604
0.790800  0.000616
0.790900  0.000628
0.791000  0.000641
0.791100  0.000654
0.791200  0.000666
0.791300  0.000679
0.791400  0.000693
0.791500  0.000706
0.791600  0.000720
0.791700  0.000734
0.791800  0.000748
0.791900  0.000763
0.792000  0.000778
0.792100  0.000794
0.792200  0.000810
0.792300  0.000827
0.792400  0.000844
0.792500  0.000862
0.792600  0.000880
0.792700  0.000899
0.792800  0.000919
0.792900  0.000940
0.793000  0.000961
0.793100  0.000983
0.793200  0.001006
0.793300  0.001030
0.793400  0.001054
0.793500  0.001080
0.793600  0.001106
0.793700  0.001133
0.793800  0.001162
0.793900  0.001191
0.794000  0.001221
0.794100  0.001252
0.794200  0.001284
0.794300  0.001317
0.794400  0.001350
0.794500  0.001384
0.794600  0.001418
0.794700  0.001453
0.794800  0.001487
0.794900  0.001522
0.795000  0.001556
0.795100  0.001590
0.795200  0.001624
0.795300  0.001657
0.795400  0.001691
0.795500  0.001726
0.795600  0.001760
0.795700  0.001796
0.795800  0.001832
0.795900  0.001869
0.796000  0.001907
0.796100  0.001947
0.796200  0.001987
0.796300  0.002029
0.796400  0.002072
0.796500  0.002116
0.796600  0.002161
0.796700  0.002207
0.796800  0.002254
0.796900  0.002302
0.797000  0.002350
0.797100  0.002399
0.797200  0.002449
0.797300  0.002499
0.797400  0.002551
0.797500  0.002604
0.797600  0.002657
0.797700  0.002712
0.797800  0.002768
0.797900  0.002825
0.798000  0.002884
0.798100  0.002944
0.798200  0.003006
0.798300  0.003069
0.798400  0.003134
0.798500  0.003200
0.798600  0.003268
0.798700  0.003337
0.798800  0.003408
0.798900  0.003481
0.799000  0.003555
0.799100  0.003631
0.799200  0.003708
0.799300  0.003787
0.799400  0.003867
0.799500  0.003949
0.799600  0.004032
0.799700  0.004117
0.799800  0.004203
0.799900  0.004290
0.800000  0.004379
0.800100  0.004469
0.800200  0.004561
0.800300  0.004653
0.800400  0.004748
0.800500  0.004843
0.800600  0.004940
0.800700  0.005038
0.800800  0.005138
0.800900  0.005239
0.801000  0.005341
0.801100  0.005445
0.801200  0.005550
0.801300  0.005657
0.801400  0.005766
0.801500  0.005877
0.801600  0.005990
0.801700  0.006106
0.801800  0.006224
0.801900  0.006346
0.802000  0.006470
0.802100  0.006597
0.802200  0.006728
0.802300  0.006862
0.802400  0.006998
0.802500  0.007138
0.802600  0.007280
0.802700  0.007424
0.802800  0.007572
0.802900  0.007722
0.803000  0.007874
0.803100  0.008029
0.803200  0.008186
0.803300  0.008345
0.803400  0.008507
0.803500  0.008672
0.803600  0.008839
0.803700  0.009009
0.803800  0.009182
0.803900  0.009358
0.804000  0.009537
0.804100  0.009719
0.804200  0.009904
0.804300  0.010093
0.804400  0.010285
0.804500  0.010481
0.804600  0.010681
0.804700  0.010884
0.804800  0.011092
0.804900  0.011304
0.805000  0.011520
0.805100  0.011741
0.805200  0.011965
0.805300  0.012194
0.805400  0.012427
0.805500  0.012664
0.805600  0.012905
0.805700  0.013149
0.805800  0.013396
0.805900  0.013646
0.806000  0.013900
0.806100  0.014156
0.806200  0.014416
0.806300  0.014679
0.806400  0.014945
0.806500  0.015215
0.806600  0.015489
0.806700  0.015768
0.806800  0.016050
0.806900  0.016338
0.807000  0.016630
0.807100  0.016927
0.807200  0.017230
0.807300  0.017537
0.807400  0.017850
0.807500  0.018168
0.807600  0.018492
0.807700  0.018821
0.807800  0.019155
0.807900  0.019495
0.808000  0.019840
0.808100  0.020191
0.808200  0.020548
0.808300  0.020910
0.808400  0.021278
0.808500  0.021653
0.808600  0.022033
0.808700  0.022420
0.808800  0.022814
0.808900  0.023214
0.809000  0.023620
0.809100  0.024033
0.809200  0.024453
0.809300  0.024880
0.809400  0.025314
0.809500  0.025754
0.809600  0.026202
0.809700  0.026656
0.809800  0.027117
0.809900  0.027585
0.810000  0.028060
0.810100  0.028542
0.810200  0.029031
0.810300  0.029527
0.810400  0.030030
0.810500  0.030540
0.810600  0.031058
0.810700  0.031582
0.810800  0.032114
0.810900  0.032653
0.811000  0.033200
0.811100  0.033754
0.811200  0.034316
0.811300  0.034885
