# author : Oliver Czoske
# source : Roy van Boekel, E-SPE-NOVA-MET-1049_4-0 (METIS transmission budget)
# date_created : 2020-02-28
# date_modified : 2022-05-11
# status : version 4.0, theory
# type : window:transmission
# wavelength_unit : um
# description : Cryostat entrance window ZnSe 25mm @ 15 deg
# comment : emissivity includes extra 2 per cent for dust
# changes :
#  - 2021-03-01 (OC) replaced by RvB's file
#  - 2022-05-11 (OC) updated to 4.0
#
wavelength	transmission	reflection	emissivity
 1.01	0.2112007	0.7887993	0.03685359
 1.02	0.1998947	0.8001053	0.03665881
 1.03	0.1929403	0.8070597	0.03646679
 1.04	0.1894764	0.8105236	0.03627785
 1.05	0.1889425	0.8110575	0.03609153
 1.06	0.1910029	0.8089971	0.03590787
 1.07	0.1954965	0.8045035	0.03572692
 1.08	0.2024062	0.7975938	0.03554854
 1.09	0.2118417	0.7881583	0.03537283
 1.10	0.2240332	0.7759668	0.03519944
 1.11	0.2393304	0.7606696	0.03502850
 1.12	0.2582072	0.7417928	0.03485983
 1.13	0.2812670	0.7187330	0.03469347
 1.14	0.3092431	0.6907569	0.03452938
 1.15	0.3429865	0.6570135	0.03436764
 1.16	0.3834238	0.6165762	0.03420792
 1.17	0.4314629	0.5685371	0.03405028
 1.18	0.4878103	0.5121897	0.03389480
 1.19	0.5526664	0.4473336	0.03374124
 1.20	0.6252837	0.3747163	0.03358951
 1.21	0.7034445	0.2965555	0.03343994
 1.22	0.7830545	0.2169455	0.03329230
 1.23	0.8582064	0.1417936	0.03314638
 1.24	0.9220631	0.0779369	0.03300228
 1.25	0.9685518	0.0314482	0.03285993
 1.26	0.9942084	0.0057916	0.03271933
 1.27	0.9991677	0.0008323	0.03258054
 1.28	0.9867567	0.0132433	0.03244344
 1.29	0.9620746	0.0379254	0.03230787
 1.30	0.9304408	0.0695592	0.03217374
 1.31	0.8963564	0.1036436	0.03204148
 1.32	0.8631059	0.1368941	0.03191066
 1.33	0.8328066	0.1671934	0.03178140
 1.34	0.8066558	0.1933442	0.03165354
 1.35	0.7852071	0.2147929	0.03152720
 1.36	0.7686017	0.2313983	0.03140233
 1.37	0.7567325	0.2432675	0.03127865
 1.38	0.7493517	0.2506483	0.03115651
 1.39	0.7461328	0.2538672	0.03103571
 1.40	0.7467038	0.2532962	0.03091632
 1.41	0.7506246	0.2493754	0.03079813
 1.42	0.7575368	0.2424632	0.03068129
 1.43	0.7669753	0.2330247	0.03056568
 1.44	0.7784351	0.2215649	0.03045128
 1.45	0.7913679	0.2086321	0.03033811
