# author : Oliver Czoske
# source : METIS-3111, METIS-5453
# date_created : 2026-04-23
# date_modified : 2026-04-23
# status : design
# type : beamsplitter:reflection
# wavelength_unit : um
# description :
# comment : used in parallel observations of LMS with IMG-LM
#
wavelength	reflection
 2.60	0.90
 2.61	0.90
 2.62	0.90
 2.63	0.90
 2.64	0.90
 2.65	0.90
 2.66	0.90
 2.67	0.90
 2.68	0.90
 2.69	0.90
 2.70	0.90
 2.71	0.90
 2.72	0.90
 2.73	0.90
 2.74	0.90
 2.75	0.90
 2.76	0.90
 2.77	0.90
 2.78	0.90
 2.79	0.90
 2.80	0.90
 2.81	0.90
 2.82	0.90
 2.83	0.90
 2.84	0.90
 2.85	0.90
 2.86	0.90
 2.87	0.90
 2.88	0.90
 2.89	0.90
 2.90	0.90
 2.91	0.90
 2.92	0.90
 2.93	0.90
 2.94	0.90
 2.95	0.90
 2.96	0.90
 2.97	0.90
 2.98	0.90
 2.99	0.90
 3.00	0.90
 3.01	0.90
 3.02	0.90
 3.03	0.90
 3.04	0.90
 3.05	0.90
 3.06	0.90
 3.07	0.90
 3.08	0.90
 3.09	0.90
 3.10	0.90
 3.11	0.90
 3.12	0.90
 3.13	0.90
 3.14	0.90
 3.15	0.90
 3.16	0.90
 3.17	0.90
 3.18	0.90
 3.19	0.90
 3.20	0.90
 3.21	0.90
 3.22	0.90
 3.23	0.90
 3.24	0.90
 3.25	0.90
 3.26	0.90
 3.27	0.90
 3.28	0.90
 3.29	0.90
 3.30	0.90
 3.31	0.90
 3.32	0.90
 3.33	0.90
 3.34	0.90
 3.35	0.90
 3.36	0.90
 3.37	0.90
 3.38	0.90
 3.39	0.90
 3.40	0.90
 3.41	0.90
 3.42	0.90
 3.43	0.90
 3.44	0.90
 3.45	0.90
 3.46	0.90
 3.47	0.90
 3.48	0.90
 3.49	0.90
 3.50	0.90
 3.51	0.90
 3.52	0.90
 3.53	0.90
 3.54	0.90
 3.55	0.90
 3.56	0.90
 3.57	0.90
 3.58	0.90
 3.59	0.90
 3.60	0.90
 3.61	0.90
 3.62	0.90
 3.63	0.90
 3.64	0.90
 3.65	0.90
 3.66	0.90
 3.67	0.90
 3.68	0.90
 3.69	0.90
 3.70	0.90
 3.71	0.90
 3.72	0.90
 3.73	0.90
 3.74	0.90
 3.75	0.90
 3.76	0.90
 3.77	0.90
 3.78	0.90
 3.79	0.90
 3.80	0.90
 3.81	0.90
 3.82	0.90
 3.83	0.90
 3.84	0.90
 3.85	0.90
 3.86	0.90
 3.87	0.90
 3.88	0.90
 3.89	0.90
 3.90	0.90
 3.91	0.90
 3.92	0.90
 3.93	0.90
 3.94	0.90
 3.95	0.90
 3.96	0.90
 3.97	0.90
 3.98	0.90
 3.99	0.90
 4.00	0.90
 4.01	0.90
 4.02	0.90
 4.03	0.90
 4.04	0.90
 4.05	0.90
 4.06	0.90
 4.07	0.90
 4.08	0.90
 4.09	0.90
 4.10	0.90
 4.11	0.90
 4.12	0.90
 4.13	0.90
 4.14	0.90
 4.15	0.90
 4.16	0.90
 4.17	0.90
 4.18	0.90
 4.19	0.90
 4.20	0.90
 4.21	0.90
 4.22	0.90
 4.23	0.90
 4.24	0.90
 4.25	0.90
 4.26	0.90
 4.27	0.90
 4.28	0.90
 4.29	0.90
 4.30	0.90
 4.31	0.90
 4.32	0.90
 4.33	0.90
 4.34	0.90
 4.35	0.90
 4.36	0.90
 4.37	0.90
 4.38	0.90
 4.39	0.90
 4.40	0.90
 4.41	0.90
 4.42	0.90
 4.43	0.90
 4.44	0.90
 4.45	0.90
 4.46	0.90
 4.47	0.90
 4.48	0.90
 4.49	0.90
 4.50	0.90
 4.51	0.90
 4.52	0.90
 4.53	0.90
 4.54	0.90
 4.55	0.90
 4.56	0.90
 4.57	0.90
 4.58	0.90
 4.59	0.90
 4.60	0.90
 4.61	0.90
 4.62	0.90
 4.63	0.90
 4.64	0.90
 4.65	0.90
 4.66	0.90
 4.67	0.90
 4.68	0.90
 4.69	0.90
 4.70	0.90
 4.71	0.90
 4.72	0.90
 4.73	0.90
 4.74	0.90
 4.75	0.90
 4.76	0.90
 4.77	0.90
 4.78	0.90
 4.79	0.90
 4.80	0.90
 4.81	0.90
 4.82	0.90
 4.83	0.90
 4.84	0.90
 4.85	0.90
 4.86	0.90
 4.87	0.90
 4.88	0.90
 4.89	0.90
 4.90	0.90
 4.91	0.90
 4.92	0.90
 4.93	0.90
 4.94	0.90
 4.95	0.90
 4.96	0.90
 4.97	0.90
 4.98	0.90
 4.99	0.90
 5.00	0.90
 5.01	0.90
 5.02	0.90
 5.03	0.90
 5.04	0.90
 5.05	0.90
 5.06	0.90
 5.07	0.90
 5.08	0.90
 5.09	0.90
 5.10	0.90
 5.11	0.90
 5.12	0.90
 5.13	0.90
 5.14	0.90
 5.15	0.90
 5.16	0.90
 5.17	0.90
 5.18	0.90
 5.19	0.90
 5.20	0.90
 5.21	0.90
 5.22	0.90
 5.23	0.90
 5.24	0.90
 5.25	0.90
 5.26	0.90
 5.27	0.90
 5.28	0.90
 5.29	0.90
 5.30	0.90
 5.31	0.90
 5.32	0.90
 5.33	0.90
 5.34	0.90
 5.35	0.90
 5.36	0.90
 5.37	0.90
 5.38	0.90
 5.39	0.90
 5.40	0.90
 5.41	0.90
 5.42	0.90
 5.43	0.90
 5.44	0.90
 5.45	0.90
 5.46	0.90
 5.47	0.90
 5.48	0.90
 5.49	0.90
