# author : Oliver Czoske
# source : E-SPE-NOVA-MET-1049_4-0 (METIS transmission budget)
# date_created : 2020-02-28
# date_modified : 2022-05-11
# status : version 4.0, theory
# type : dichroic
# wavelength_unit : um
# description : SCAO dichroic, 20mm @ 22.5deg
# comment : extracted from excel sheet "CFO only"
# changes:
#  - 2022-05-11 (OC) updated to 4.0
#
wavelength	transmission	reflection	emissivity
 0.60	0.5789500	0.4210500	0
 0.61	0.5084229	0.4915771	0
 0.62	0.6385279	0.3614721	0
 0.63	0.5692574	0.4307426	0
 0.64	0.5571772	0.4428228	0
 0.65	0.5000193	0.4999807	0
 0.66	0.6962791	0.3037209	0
 0.67	0.6255198	0.3744802	0
 0.68	0.3786014	0.6213986	0
 0.69	0.3996101	0.6003899	0
 0.70	0.1954803	0.8045197	0
 0.71	0.0332380	0.9667620	0
 0.72	0.0406515	0.9593485	0
 0.73	0.5298207	0.4701793	0
 0.74	0.0500128	0.9499872	0
 0.75	0.0456319	0.9543681	0
 0.76	0.2610147	0.7389853	0
 0.77	0.1123508	0.8876492	0
 0.78	0.0656044	0.9343956	0
 0.79	0.1257004	0.8742996	0
 0.80	0.2144239	0.7855761	0
 0.81	0.1547696	0.8452304	0
 0.82	0.1776935	0.8223065	0
 0.83	0.2077181	0.7922819	0
 0.84	0.2005315	0.7994685	0
 0.85	0.2137444	0.7862556	0
 0.86	0.1374994	0.8625006	0
 0.87	0.0839342	0.9160658	0
 0.88	0.0861797	0.9138203	0
 0.89	0.1671253	0.8328747	0
 0.90	0.4877155	0.5122845	0
 0.91	0.4111485	0.5888515	0
 0.92	0.2880391	0.7119609	0
 0.93	0.3451787	0.6548213	0
 0.94	0.4801346	0.5198654	0
 0.95	0.4270853	0.5729147	0
 0.96	0.3079272	0.6920728	0
 0.97	0.2474014	0.7525986	0
 0.98	0.2248242	0.7751758	0
 0.99	0.2280001	0.7719999	0
 1.00	0.2524051	0.7475949	0
 1.01	0.2744731	0.7255269	0
 1.02	0.2587568	0.7412432	0
 1.03	0.2217050	0.7782950	0
 1.04	0.2001920	0.7998080	0
 1.05	0.2057904	0.7942096	0
 1.06	0.2400033	0.7599967	0
 1.07	0.2951934	0.7048066	0
 1.08	0.3333314	0.6666686	0
 1.09	0.3167989	0.6832011	0
 1.10	0.2767366	0.7232634	0
 1.11	0.2545779	0.7454221	0
 1.12	0.2647071	0.7352929	0
 1.13	0.3141987	0.6858013	0
 1.14	0.4043329	0.5956671	0
 1.15	0.4888296	0.5111704	0
 1.16	0.4751686	0.5248314	0
 1.17	0.3894403	0.6105597	0
 1.18	0.3158990	0.6841010	0
 1.19	0.2784080	0.7215920	0
 1.20	0.2767499	0.7232501	0
 1.21	0.3182295	0.6817705	0
 1.22	0.4330916	0.5669084	0
 1.23	0.6571119	0.3428881	0
 1.24	0.7006201	0.2993799	0
 1.25	0.3857692	0.6142308	0
 1.26	0.1893212	0.8106788	0
 1.27	0.1086252	0.8913748	0
 1.28	0.0744920	0.9255080	0
 1.29	0.0600383	0.9399617	0
 1.30	0.0562005	0.9437995	0
 1.31	0.0610153	0.9389847	0
 1.32	0.0776131	0.9223869	0
 1.33	0.1181839	0.8818161	0
 1.34	0.2176954	0.7823046	0
 1.35	0.3988844	0.6011156	0
 1.36	0.3572132	0.6427868	0
 1.37	0.1948441	0.8051559	0
 1.38	0.1170422	0.8829578	0
 1.39	0.0844250	0.9155750	0
 1.40	0.0714713	0.9285287	0
 1.41	0.0693957	0.9306043	0
 1.42	0.0763172	0.9236828	0
 1.43	0.0945718	0.9054282	0
 1.44	0.1316403	0.8683597	0
 1.45	0.2020938	0.7979062	0
 1.46	0.3127874	0.6872126	0
 1.47	0.3857256	0.6142744	0
 1.48	0.3309187	0.6690813	0
 1.49	0.2434512	0.7565488	0
 1.50	0.1851404	0.8148596	0
 1.51	0.1539754	0.8460246	0
 1.52	0.1407408	0.8592592	0
 1.53	0.1403739	0.8596261	0
 1.54	0.1513928	0.8486072	0
 1.55	0.1747321	0.8252679	0
 1.56	0.2125954	0.7874046	0
 1.57	0.2656191	0.7343809	0
 1.58	0.3259950	0.6740050	0
 1.59	0.3708632	0.6291368	0
 1.60	0.3759624	0.6240376	0
 1.61	0.3447809	0.6552191	0
 1.62	0.3017052	0.6982948	0
 1.63	0.2642476	0.7357524	0
 1.64	0.2376893	0.7623107	0
 1.65	0.2215632	0.7784368	0
 1.66	0.2139667	0.7860333	0
 1.67	0.2128989	0.7871011	0
 1.68	0.2163194	0.7836806	0
 1.69	0.2218726	0.7781274	0
 1.70	0.2267903	0.7732097	0
 1.71	0.2283524	0.7716476	0
 1.72	0.2248841	0.7751159	0
 1.73	0.2165482	0.7834518	0
 1.74	0.2051167	0.7948833	0
 1.75	0.1929283	0.8070717	0
 1.76	0.1819485	0.8180515	0
 1.77	0.1734277	0.8265723	0
 1.78	0.1680048	0.8319952	0
 1.79	0.1659421	0.8340579	0
 1.80	0.1673087	0.8326913	0
 1.81	0.1720557	0.8279443	0
 1.82	0.1799830	0.8200170	0
 1.83	0.1905845	0.8094155	0
 1.84	0.2028009	0.7971991	0
 1.85	0.2147833	0.7852167	0
 1.86	0.2239400	0.7760600	0
 1.87	0.2276000	0.7724000	0
 1.88	0.2242143	0.7757857	0
 1.89	0.2142445	0.7857555	0
 1.90	0.1998696	0.8001304	0
 1.91	0.1837989	0.8162011	0
 1.92	0.1682304	0.8317696	0
 1.93	0.1544866	0.8455134	0
 1.94	0.1431471	0.8568529	0
 1.95	0.1343278	0.8656722	0
 1.96	0.1279167	0.8720833	0
 1.97	0.1237202	0.8762798	0
 1.98	0.1215376	0.8784624	0
 1.99	0.1211912	0.8788088	0
 2.00	0.1225293	0.8774707	0
 2.01	0.1254166	0.8745834	0
 2.02	0.1297142	0.8702858	0
 2.03	0.1352561	0.8647439	0
 2.04	0.1418248	0.8581752	0
 2.05	0.1491318	0.8508682	0
 2.06	0.1568130	0.8431870	0
 2.07	0.1644454	0.8355546	0
 2.08	0.1715922	0.8284078	0
 2.09	0.1778681	0.8221319	0
 2.10	0.1830063	0.8169937	0
 2.11	0.1869062	0.8130938	0
 2.12	0.1896408	0.8103592	0
 2.13	0.1914259	0.8085741	0
 2.14	0.1925626	0.8074374	0
 2.15	0.1933750	0.8066250	0
 2.16	0.1941593	0.8058407	0
 2.17	0.1951498	0.8048502	0
 2.18	0.1965017	0.8034983	0
 2.19	0.1982857	0.8017143	0
 2.20	0.2004884	0.7995116	0
 2.21	0.2030145	0.7969855	0
 2.22	0.2057056	0.7942944	0
 2.23	0.2083416	0.7916584	0
 2.24	0.2106649	0.7893351	0
 2.25	0.2124098	0.7875902	0
 2.26	0.2133370	0.7866630	0
 2.27	0.2132702	0.7867298	0
 2.28	0.2121256	0.7878744	0
 2.29	0.2099269	0.7900731	0
 2.30	0.2068010	0.7931990	0
 2.31	0.2029575	0.7970425	0
 2.32	0.1986560	0.8013440	0
 2.33	0.1941734	0.8058266	0
 2.34	0.1897747	0.8102253	0
 2.35	0.1856954	0.8143046	0
 2.36	0.1821325	0.8178675	0
 2.37	0.1792444	0.8207556	0
 2.38	0.1771559	0.8228441	0
 2.39	0.1759661	0.8240339	0
 2.40	0.1757568	0.8242432	0
 2.41	0.1766011	0.8233989	0
 2.42	0.1785702	0.8214298	0
 2.43	0.1817402	0.8182598	0
 2.44	0.1861969	0.8138031	0
 2.45	0.1920402	0.8079598	0
 2.46	0.1993875	0.8006125	0
 2.47	0.2083769	0.7916231	0
 2.48	0.2191687	0.7808313	0
 2.49	0.2319463	0.7680537	0
 2.50	0.2469158	0.7530842	0
 2.51	0.2642996	0.7357004	0
