# author : Conchi Cardenas Vazquez
# date_created : 2023-06-20
# source : Final LSS design for manufacturing
# wavelength_unit : um
# xi_unit : arcsec
# x_unit : mm
# y_unit : mm
#
# comments :
# - WARNING : Origin of coordinates at the detector: Detector sensitive surface, bottom-left corner.
# - lambda: 11 points
# - Field of View on-sky:	11 points
# - conf#3
# - M-band
# - spectra lenght = 1680 px
# - Field of View on-sky: s [arcsec], with respect to the optical axis.
# - Slit @CFO FP2: on-axis.
# - Coords at the detector: x, y [mm]
#
wavelength	xi	x	y
4.50	5	34.998332	33.031880
4.50	4	31.684942	33.011828
4.50	3	28.371211	32.996210
4.50	2	25.057496	32.985035
4.50	1	21.744160	32.978308
4.50	0	18.431566	32.976031
4.50	-1	15.120076	32.978201
4.50	-2	11.810052	32.984811
4.50	-3	8.501857	32.995852
4.50	-4	5.195847	33.011310
4.50	-5	1.892379	33.031167
4.57	5	34.993143	29.979960
4.57	4	31.680774	29.959901
4.57	3	28.368072	29.944276
4.57	2	25.055395	29.933096
4.57	1	21.743101	29.926366
4.57	0	18.431551	29.924087
4.57	-1	15.121105	29.926258
4.57	-2	11.812123	29.932872
4.57	-3	8.504964	29.943918
4.57	-4	5.199983	29.959382
4.57	-5	1.897532	29.979246
4.64	5	34.987948	26.934743
4.64	4	31.676599	26.914692
4.64	3	28.364928	26.899072
4.64	2	25.053290	26.887895
4.64	1	21.742041	26.881167
4.64	0	18.431537	26.878889
4.64	-1	15.122137	26.881059
4.64	-2	11.814199	26.887671
4.64	-3	8.508077	26.898714
4.64	-4	5.204125	26.914173
4.64	-5	1.902692	26.934028
4.71	5	34.982763	23.896042
4.71	4	31.672431	23.876015
4.71	3	28.361789	23.860414
4.71	2	25.051188	23.849249
4.71	1	21.740981	23.842527
4.71	0	18.431523	23.840251
4.71	-1	15.123169	23.842419
4.71	-2	11.816272	23.849024
4.71	-3	8.511186	23.860055
4.71	-4	5.208261	23.875496
4.71	-5	1.907842	23.895328
4.78	5	34.977607	20.863664
4.78	4	31.668285	20.843678
4.78	3	28.358666	20.828107
4.78	2	25.049096	20.816963
4.78	1	21.739928	20.810254
4.78	0	18.431510	20.807982
4.78	-1	15.124196	20.810146
4.78	-2	11.818336	20.816738
4.78	-3	8.514281	20.827748
4.78	-4	5.212376	20.843159
4.78	-5	1.912966	20.862951
4.85	5	34.972496	17.837403
4.85	4	31.664174	17.817475
4.85	3	28.355568	17.801948
4.85	2	25.047022	17.790835
4.85	1	21.738882	17.784144
4.85	0	18.431497	17.781878
4.85	-1	15.125216	17.784036
4.85	-2	11.820385	17.790611
4.85	-3	8.517351	17.801590
4.85	-4	5.216457	17.816957
4.85	-5	1.918044	17.836691
4.92	5	34.967450	14.817045
4.92	4	31.660113	14.797193
4.92	3	28.352507	14.781723
4.92	2	25.044972	14.770651
4.92	1	21.737850	14.763984
4.92	0	18.431485	14.761727
4.92	-1	15.126224	14.763877
4.92	-2	11.822410	14.770427
4.92	-3	8.520385	14.781366
4.92	-4	5.220489	14.796677
4.92	-5	1.923060	14.816336
4.99	5	34.962487	11.802366
4.99	4	31.656118	11.782607
4.99	3	28.349495	11.767210
4.99	2	25.042954	11.756188
4.99	1	21.736833	11.749552
4.99	0	18.431474	11.747304
4.99	-1	15.127217	11.749445
4.99	-2	11.824404	11.755965
4.99	-3	8.523372	11.766854
4.99	-4	5.224457	11.782094
4.99	-5	1.927993	11.801660
5.06	5	34.957628	8.793131
5.06	4	31.652205	8.773484
5.06	3	28.346543	8.758173
5.06	2	25.040976	8.747212
5.06	1	21.735837	8.740612
5.06	0	18.431464	8.738377
5.06	-1	15.128192	8.740506
5.06	-2	11.826359	8.746991
5.06	-3	8.526300	8.757819
5.06	-4	5.228345	8.772973
5.06	-5	1.932824	8.792428
5.13	5	34.952891	5.789092
5.13	4	31.648388	5.769577
5.13	3	28.343664	5.754367
5.13	2	25.039046	5.743478
5.13	1	21.734866	5.736922
5.13	0	18.431454	5.734701
5.13	-1	15.129144	5.736816
5.13	-2	11.828268	5.743258
5.13	-3	8.529157	5.754016
5.13	-4	5.232138	5.769069
5.13	-5	1.937534	5.788394
5.20	5	34.948299	2.789993
5.20	4	31.644686	2.770630
5.20	3	28.340870	2.755537
5.20	2	25.037173	2.744731
5.20	1	21.733922	2.738224
5.20	0	18.431445	2.736020
5.20	-1	15.130069	2.738119
5.20	-2	11.830123	2.744513
5.20	-3	8.531931	2.755188
5.20	-4	5.235818	2.770126
5.20	-5	1.942102	2.789301
