# author : Carmelo Arcidiacono
# sources : MICADO FDR document
# date_created  : 2023-02-05
# date_modified : 2023-02-05
# type : detector:quantum_efficiency
# status : Design. guestimated by reading off the graph in ELT-TRE-MCD-56309-0004
# description : H4RG-15 detector quantum efficiency
# wavelength_unit : um
# action : transmission
# changes :
#
wavelength  transmission
 0.20000    0.99990
 0.21000    0.99990
 0.22000    0.99990
 0.23000    0.99990
 0.24000    0.99990
 0.25000    0.99990
 0.26000    0.99990
 0.26990    0.99990
 0.28000    0.99990
 0.29000    0.99990
 0.29990    0.99990
 0.30200    0.99990
 0.30300    0.99990
 0.30400    0.99990
 0.30600    0.99990
 0.30700    0.99990
 0.30800    0.99990
 0.31000    0.99990
 0.31200    0.99990
 0.31400    0.99990
 0.31600    0.99990
 0.31700    0.99990
 0.31800    0.99990
 0.32000    0.99990
 0.32100    0.99990
 0.32200    0.99990
 0.32400    0.99990
 0.32600    0.99990
 0.32800    0.99990
 0.33000    0.99990
 0.33100    0.99990
 0.33200    0.99990
 0.33400    0.99990
 0.33490    0.99990
 0.33600    0.99990
 0.33800    0.99990
 0.33900    0.99990
 0.34000    0.99990
 0.34190    0.99990
 0.34400    0.99990
 0.34600    0.99990
 0.34800    0.99990
 0.35000    0.99990
 0.35200    0.99990
 0.35400    0.99990
 0.35590    0.99990
 0.35800    0.99990
 0.36000    0.99990
 0.36200    0.99990
 0.36400    0.99990
 0.36600    0.99990
 0.36800    0.99990
 0.37000    0.99990
 0.37200    0.99990
 0.37400    0.99990
 0.37600    0.99990
 0.37800    0.99990
 0.38000    0.99990
 0.38200    0.99990
 0.38400    0.99990
 0.38600    0.99990
 0.38700    0.99990
 0.38800    0.99990
 0.39000    0.99990
 0.39100    0.99990
 0.39200    0.99990
 0.39400    0.98089
 0.39500    0.96624
 0.39600    0.95159
 0.39800    0.92228
 0.39990    0.89444
 0.40100    0.87833
 0.40200    0.86367
 0.40300    0.84902
 0.40400    0.83437
 0.40500    0.81972
 0.40600    0.80506
 0.40700    0.79041
 0.40800    0.77576
 0.40900    0.76111
 0.41000    0.74645
 0.41100    0.73400
 0.41200    0.72620
 0.41300    0.71841
 0.41400    0.71061
 0.41500    0.70282
 0.41600    0.69503
 0.41700    0.68723
 0.41800    0.67944
 0.41900    0.67106
 0.42000    0.66222
 0.42100    0.65337
 0.42200    0.64453
 0.42300    0.63568
 0.42400    0.62683
 0.42500    0.61799
 0.42600    0.60914
 0.42700    0.60029
 0.42800    0.59145
 0.42900    0.58260
 0.43000    0.57627
 0.43100    0.57032
 0.43200    0.56437
 0.43300    0.55842
 0.43400    0.55247
 0.43500    0.54652
 0.43600    0.54057
 0.43700    0.53462
 0.43800    0.52867
 0.43900    0.52272
 0.44000    0.51677
 0.44100    0.51082
 0.44200    0.50569
 0.44300    0.50303
 0.44400    0.50036
 0.44500    0.49770
 0.44600    0.49503
 0.44700    0.49237
 0.44800    0.48971
 0.44900    0.48704
 0.45000    0.48438
 0.45100    0.48171
 0.45200    0.47905
 0.45300    0.47734
 0.45400    0.47636
 0.45500    0.47538
 0.45600    0.47439
 0.45700    0.47341
 0.45800    0.47243
 0.45900    0.47145
 0.46000    0.47094
 0.46100    0.47056
 0.46200    0.47019
 0.46300    0.46982
 0.46400    0.46944
 0.46500    0.46907
 0.46600    0.46870
 0.46700    0.46832
 0.46800    0.46795
 0.46900    0.46762
 0.47000    0.46793
 0.47100    0.46824
 0.47200    0.46856
 0.47300    0.46887
 0.47400    0.46918
 0.47500    0.46949
 0.47600    0.46980
 0.47700    0.47011
 0.47800    0.47043
 0.47900    0.47074
 0.48000    0.47105
 0.48100    0.47175
 0.48200    0.47300
 0.48300    0.47425
 0.48400    0.47550
 0.48500    0.47674
 0.48600    0.47799
 0.48700    0.47924
 0.48800    0.48048
 0.48900    0.48214
 0.49000    0.48401
 0.49100    0.48588
 0.49200    0.48775
 0.49300    0.48962
 0.49400    0.49150
 0.49500    0.49337
 0.49600    0.49524
 0.49700    0.49711
 0.49800    0.49898
 0.49900    0.50086
 0.50000    0.50273
 0.50100    0.50460
 0.50200    0.50686
 0.50290    0.51438
 0.50400    0.52358
 0.50500    0.53193
 0.50600    0.54029
 0.50700    0.54865
 0.50800    0.55701
 0.50900    0.56536
 0.51000    0.57372
 0.51100    0.58208
 0.51190    0.58842
 0.51300    0.59242
 0.51400    0.59606
 0.51500    0.59970
 0.51600    0.60334
 0.51690    0.60661
 0.51800    0.61062
 0.51900    0.61425
 0.52000    0.61789
 0.52100    0.62153
 0.52200    0.62517
 0.52300    0.62881
 0.52400    0.63481
 0.52500    0.64183
 0.52590    0.64814
 0.52700    0.65586
 0.52800    0.66287
 0.52900    0.66989
 0.53000    0.67690
 0.53090    0.68322
 0.53200    0.69067
 0.53300    0.69741
 0.53400    0.70414
 0.53490    0.71021
 0.53600    0.71762
 0.53700    0.72435
 0.53800    0.73109
 0.53900    0.73782
 0.53990    0.74388
 0.54100    0.75173
 0.54200    0.76047
 0.54300    0.76921
 0.54400    0.77795
 0.54490    0.78582
 0.54600    0.79544
 0.54700    0.80236
 0.54800    0.80654
 0.54890    0.81032
 0.55000    0.81492
 0.55100    0.81911
 0.55200    0.82330
 0.55300    0.82749
 0.55390    0.83126
 0.55500    0.83587
 0.55600    0.84006
 0.55700    0.84425
 0.55800    0.84844
 0.55900    0.85262
 0.56000    0.85681
 0.56100    0.86053
 0.56200    0.86413
 0.56290    0.86737
 0.56400    0.87134
 0.56500    0.87494
 0.56600    0.87854
 0.56700    0.88215
 0.56790    0.88539
 0.56900    0.88935
 0.57000    0.89296
 0.57100    0.89656
 0.57200    0.90016
 0.57300    0.90376
 0.57400    0.90737
 0.57500    0.91097
 0.57600    0.91457
 0.57690    0.91782
 0.57800    0.92121
 0.57900    0.92308
 0.58000    0.92495
 0.58100    0.92682
 0.58190    0.92851
 0.58300    0.93056
 0.58400    0.93244
 0.58500    0.93431
 0.58590    0.93599
 0.58700    0.93805
 0.58800    0.93889
 0.58900    0.93910
 0.59000    0.93930
 0.59090    0.93949
 0.59200    0.93972
 0.59300    0.93993
 0.59400    0.94014
 0.59500    0.94034
 0.59590    0.94053
 0.59700    0.94076
 0.59800    0.94097
 0.59900    0.94117
 0.59990    0.94136
 0.60100    0.94159
