# author : Ric Davies
# description : SCAO dichroic transmission, including CaF2 substrate and coating
# source: theoretical  coating transmission plus expected CaF2 transmission, from Yann Clenet (2023-06-08)
# date_created : 2020-11-11
# date_modified : 2023-06-13
# status : FDR design and iteration with manufacturer
# wavelength unit : nm
# changes :
# - 2018-11-19 (KL) updated meta data to new format
# - 2022-03-16 (KL) updated values from Ric
# - 2023-06-13 (RD) new values based on design & modelling
#
wavelength	transmission	reflection	emissivity
550	0.0116	0.9881	0.0004
551	0.0061	0.9937	0.0002
552	0.0039	0.9960	0.0001
553	0.0027	0.9972	0.0001
554	0.0022	0.9978	0.0001
555	0.0019	0.9981	0.0001
556	0.0018	0.9982	0.0001
557	0.0018	0.9981	0.0001
558	0.0021	0.9978	0.0001
559	0.0029	0.9970	0.0001
560	0.0050	0.9949	0.0002
561	0.0136	0.9860	0.0004
562	0.0311	0.9680	0.0010
563	0.0371	0.9618	0.0011
564	0.0241	0.9752	0.0007
565	0.0083	0.9915	0.0003
566	0.0036	0.9963	0.0001
567	0.0023	0.9977	0.0001
568	0.0018	0.9982	0.0001
569	0.0017	0.9983	0.0001
570	0.0020	0.9979	0.0001
571	0.0034	0.9965	0.0001
572	0.0083	0.9914	0.0003
573	0.0139	0.9857	0.0004
574	0.0168	0.9827	0.0005
575	0.0113	0.9883	0.0003
576	0.0041	0.9958	0.0001
577	0.0013	0.9986	0.0000
578	0.0007	0.9993	0.0000
579	0.0004	0.9996	0.0000
580	0.0003	0.9997	0.0000
581	0.0003	0.9997	0.0000
582	0.0003	0.9997	0.0000
583	0.0003	0.9997	0.0000
584	0.0004	0.9996	0.0000
585	0.0005	0.9995	0.0000
586	0.0006	0.9993	0.0000
587	0.0007	0.9993	0.0000
588	0.0005	0.9995	0.0000
589	0.0003	0.9997	0.0000
590	0.0001	0.9998	0.0000
591	0.0001	0.9999	0.0000
592	0.0001	0.9999	0.0000
593	0.0000	1.0000	0.0000
594	0.0000	1.0000	0.0000
595	0.0000	1.0000	0.0000
596	0.0000	1.0000	0.0000
597	0.0000	1.0000	0.0000
598	0.0000	1.0000	0.0000
599	0.0000	1.0000	0.0000
600	0.0000	1.0000	0.0000
601	0.0000	1.0000	0.0000
602	0.0000	1.0000	0.0000
603	0.0000	1.0000	0.0000
604	0.0000	1.0000	0.0000
605	0.0000	1.0000	0.0000
606	0.0000	1.0000	0.0000
607	0.0000	1.0000	0.0000
608	0.0000	1.0000	0.0000
609	0.0001	0.9999	0.0000
610	0.0001	0.9999	0.0000
611	0.0002	0.9998	0.0000
612	0.0003	0.9997	0.0000
613	0.0005	0.9995	0.0000
614	0.0006	0.9993	0.0000
615	0.0007	0.9993	0.0000
616	0.0007	0.9993	0.0000
617	0.0005	0.9994	0.0000
618	0.0005	0.9995	0.0000
619	0.0004	0.9996	0.0000
620	0.0004	0.9996	0.0000
621	0.0004	0.9996	0.0000
622	0.0004	0.9995	0.0000
623	0.0005	0.9995	0.0000
624	0.0006	0.9994	0.0000
625	0.0008	0.9992	0.0000
626	0.0011	0.9989	0.0000
627	0.0016	0.9983	0.0001
628	0.0026	0.9973	0.0001
629	0.0043	0.9955	0.0001
630	0.0065	0.9933	0.0002
631	0.0083	0.9914	0.0003
632	0.0088	0.9909	0.0003
633	0.0078	0.9919	0.0002
634	0.0062	0.9936	0.0002
635	0.0048	0.9950	0.0001
636	0.0039	0.9960	0.0001
637	0.0034	0.9965	0.0001
638	0.0031	0.9968	0.0001
639	0.0030	0.9970	0.0001
640	0.0029	0.9970	0.0001
641	0.0029	0.9970	0.0001
642	0.0029	0.9970	0.0001
643	0.0027	0.9972	0.0001
644	0.0024	0.9975	0.0001
645	0.0021	0.9979	0.0001
