# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 2.1698611800067296
# width : 0.03176202704495869
# blue_cutoff : 2.15398016648425
# red_cutoff : 2.185742193529209
#
wavelength transmission
2.075 0.0000
2.076 0.0000
2.077 0.000100006
2.078 0.000100204
2.079 0.000100402
2.08 0.0001006
2.081 0.000100798
2.082 0.000100996
2.083 0.000101194
2.084 0.000101392
2.085 0.00010159
2.086 0.000101788
2.087 0.000101986
2.088 0.000102184
2.089 0.000102382
2.09 0.00010258
2.091 0.000102778
2.092 0.000102976
2.093 0.000103174
2.094 0.000103372
2.095 0.00010357
2.096 0.000103768
2.097 0.000103966
2.098 0.000104164
2.099 0.000104362
2.1 0.00010456
2.101 0.000104758
2.102 0.000104956
2.103 0.000105154
2.104 0.000109341
2.105 0.000117094
2.106 0.000124848
2.107 0.000132602
2.108 0.000140356
2.109 0.000161902
2.11 0.000185358
2.111 0.000208814
2.112 0.000232269
2.113 0.000255725
2.114 0.000279181
2.115 0.000302637
2.116 0.000326092
2.117 0.000349548
2.118 0.000373004
2.119 0.000396459
2.12 0.000419915
2.121 0.000443371
2.122 0.000509535
2.123 0.000642462
2.124 0.000775389
2.125 0.000908316
2.126 0.00104124
2.127 0.00117417
2.128 0.0013071
2.129 0.00144002
2.13 0.00157295
2.131 0.00170588
2.132 0.0018388
2.133 0.00197173
2.134 0.00210466
2.135 0.00248783
2.136 0.00328591
2.137 0.004084
2.138 0.00488208
2.139 0.00568016
2.14 0.00647824
2.141 0.00727633
2.142 0.00807441
2.143 0.00887249
2.144 0.00967058
2.145 0.014214
2.146 0.0194041
2.147 0.0245941
2.148 0.0297841
2.149 0.0349741
2.15 0.0401642
2.151 0.0453542
2.152 0.0550393
2.153 0.0762187
2.154 0.097398
2.155 0.127987
2.156 0.178714
2.157 0.258535
2.158 0.360348
2.159 0.501454
2.16 0.702167
2.161 0.787471
2.162 0.811402
2.163 0.818875
2.164 0.818583
2.165 0.810998
2.166 0.799009
2.167 0.787499
2.168 0.780717
2.169 0.781939
2.17 0.790175
2.171 0.802395
2.172 0.813536
2.173 0.819596
2.174 0.81745
2.175 0.808601
2.176 0.796217
2.177 0.785493
2.178 0.780188
2.179 0.783244
2.18 0.792669
2.181 0.805146
2.182 0.815406
2.183 0.819931
2.184 0.815979
2.185 0.803996
2.186 0.755447
2.187 0.618429
2.188 0.456776
2.189 0.31384
2.19 0.222484
2.191 0.156146
2.192 0.112913
2.193 0.0908078
2.194 0.0724643
2.195 0.0599721
2.196 0.0479281
2.197 0.0428991
2.198 0.03787
2.199 0.0328409
2.2 0.0278118
2.201 0.0227827
2.202 0.0177536
2.203 0.0127246
2.204 0.010142
2.205 0.00924703
2.206 0.00835205
2.207 0.00745706
2.208 0.00656208
2.209 0.00566709
2.21 0.00477211
2.211 0.00387712
2.212 0.00298214
2.213 0.00229422
2.214 0.00217738
2.215 0.00206054
2.216 0.00194369
2.217 0.00182685
2.218 0.00171001
2.219 0.00159317
2.22 0.00147632
2.221 0.00135948
2.222 0.00124264
2.223 0.00112579
2.224 0.00100895
2.225 0.000892107
2.226 0.000775264
2.227 0.000658421
2.228 0.000541578
2.229 0.000484218
2.23 0.000459629
2.231 0.00043504
2.232 0.000410451
2.233 0.000385862
2.234 0.000361272
2.235 0.000336683
2.236 0.000312094
2.237 0.000287505
2.238 0.000262916
2.239 0.000238327
2.24 0.000221026
2.241 0.000211769
2.242 0.000202513
2.243 0.000193256
2.244 0.000183999
2.245 0.000174742
2.246 0.000165485
2.247 0.000156229
2.248 0.000146972
2.249 0.000137715
2.25 0.000132231
2.251 0.000131326
2.252 0.000130422
2.253 0.000129518
2.254 0.000128613
2.255 0.000127709
2.256 0.000126804
2.257 0.0001259
2.258 0.000124996
2.259 0.000124091
2.26 0.000123187
2.261 0.000122283
2.262 0.000121378
2.263 0.000120474
2.264 0.000119569
2.265 0.000118665
2.266 0.000117761
2.267 0.000116856
2.268 0.000115952
2.269 0.000115047
2.27 0.000114143
2.271 0.000113239
2.272 0.000112334
2.273 0.00011143
2.274 0.000110526
2.275 0.000109621
2.276 0.000108717
2.277 0.000107812
2.278 0.000106908
2.279 0.000106004
2.28 0.000105099
2.281 0.000104195
2.282 0.000103291
2.283 0.000102386
2.284 0.000101482
2.285 0.000100577
2.286 0.0000
2.287 0.0000
