# author : Oliver Czoske
# source : Ester Aranzana
# date_created : 2017-11-20
# date_modified : 2025-12-16
# status : Measured at 80 K
# wavelength_unit : um
# changes :
# - 2022-03-17 (KL) Updated to match Rics email
# - 2023-06-06 (RD) Modified profiles after discussion with Schott
# - 2025-12-16 (OC) Replaced with measured values
#
 wavelength  transmission
     0.9990      0.002090
     0.9995      0.002090
     1.0000      0.001420
     1.0005      0.000000
     1.0010      0.006130
     1.0015      0.004000
     1.0020      0.000000
     1.0025      0.004500
     1.0030      0.000160
     1.0035      0.001110
     1.0040      0.001420
     1.0045      0.001070
     1.0050      0.000000
     1.0055      0.002510
     1.0060      0.000190
     1.0065      0.000000
     1.0070      0.000000
     1.0075      0.000000
     1.0080      0.001670
     1.0085      0.000000
     1.0090      0.004300
     1.0095      0.000000
     1.0100      0.000480
     1.0105      0.000000
     1.0110      0.001830
     1.0115      0.006610
     1.0120      0.000540
     1.0125      0.000350
     1.0130      0.002450
     1.0135      0.007070
     1.0140      0.000090
     1.0145      0.002780
     1.0150      0.000420
     1.0155      0.003490
     1.0160      0.000860
     1.0165      0.000000
     1.0170      0.002280
     1.0175      0.000280
     1.0180      0.000000
     1.0185      0.001950
     1.0190      0.003790
     1.0195      0.002200
     1.0200      0.004440
     1.0205      0.000070
     1.0210      0.000000
     1.0215      0.002380
     1.0220      0.000000
     1.0225      0.000020
     1.0230      0.001180
     1.0235      0.002590
     1.0240      0.001260
     1.0245      0.000000
     1.0250      0.000670
     1.0255      0.001430
     1.0260      0.003410
     1.0265      0.004910
     1.0270      0.004350
     1.0275      0.001900
     1.0280      0.000000
     1.0285      0.000000
     1.0290      0.000060
     1.0295      0.000000
     1.0300      0.002280
     1.0305      0.004240
     1.0310      0.000450
     1.0315      0.000090
     1.0320      0.000810
     1.0325      0.001120
     1.0330      0.004480
     1.0335      0.007290
     1.0340      0.000000
     1.0345      0.000000
     1.0350      0.002100
     1.0355      0.007600
     1.0360      0.000000
     1.0365      0.009500
     1.0370      0.001560
     1.0375      0.003360
     1.0380      0.002210
     1.0385      0.000940
     1.0390      0.002570
     1.0395      0.001320
     1.0400      0.002500
     1.0405      0.000000
     1.0410      0.000000
     1.0415      0.002780
     1.0420      0.003440
     1.0425      0.005720
