# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.5826646266415092
# width : 0.08593402829165209
# blue_cutoff : 1.5396976124956832
# red_cutoff : 1.6256316407873352
#  
wavelength transmission
1.48 0.0000
1.481 0.0000
1.482 0.000100138
1.483 0.000100451
1.484 0.000100763
1.485 0.000101075
1.486 0.000101388
1.487 0.0001017
1.488 0.000102012
1.489 0.000102324
1.49 0.000102637
1.491 0.000102949
1.492 0.000103261
1.493 0.000103574
1.494 0.000103886
1.495 0.000104198
1.496 0.000104511
1.497 0.000104823
1.498 0.000105135
1.499 0.000105448
1.5 0.00010576
1.501 0.000112487
1.502 0.000124714
1.503 0.000136942
1.504 0.000154657
1.505 0.00019165
1.506 0.000228643
1.507 0.000265636
1.508 0.00030263
1.509 0.000339623
1.51 0.000376616
1.511 0.000413609
1.512 0.000450603
1.513 0.000487596
1.514 0.000628214
1.515 0.000837852
1.516 0.00104749
1.517 0.00125713
1.518 0.00146676
1.519 0.0016764
1.52 0.00188604
1.521 0.00209568
1.522 0.00230532
1.523 0.00284739
1.524 0.00410605
1.525 0.00536472
1.526 0.00662339
1.527 0.00788206
1.528 0.00914073
1.529 0.0103994
1.53 0.0152846
1.531 0.0234699
1.532 0.0316552
1.533 0.0398405
1.534 0.0480258
1.535 0.0593018
1.536 0.0927064
1.537 0.127225
1.538 0.209688
1.539 0.344361
1.54 0.549549
1.541 0.827551
1.542 0.892907
1.543 0.902134
1.544 0.909038
1.545 0.912179
1.546 0.915006
1.547 0.917046
1.548 0.918816
1.549 0.919428
1.55 0.919899
1.551 0.918986
1.552 0.918072
1.553 0.915784
1.554 0.913491
1.555 0.910287
1.556 0.906982
1.557 0.903288
1.558 0.899499
1.559 0.895797
1.56 0.892131
1.561 0.888899
1.562 0.885942
1.563 0.883595
1.564 0.881821
1.565 0.880661
1.566 0.880354
1.567 0.880535
1.568 0.881744
1.569 0.883251
1.57 0.885782
1.571 0.888432
1.572 0.89188
1.573 0.895341
1.574 0.899154
1.575 0.902968
1.576 0.906552
1.577 0.910121
1.578 0.913003
1.579 0.915756
1.58 0.917573
1.581 0.919069
1.582 0.919596
1.583 0.919596
1.584 0.91877
1.585 0.917274
1.586 0.915206
1.587 0.912453
1.588 0.909407
1.589 0.905839
1.59 0.902205
1.591 0.898392
1.592 0.894639
1.593 0.891191
1.594 0.887807
1.595 0.885276
1.596 0.882745
1.597 0.881502
1.598 0.880294
1.599 0.880415
1.6 0.880722
1.601 0.882176
1.602 0.883949
1.603 0.886533
1.604 0.88949
1.605 0.892864
1.606 0.89653
1.607 0.900256
1.608 0.904045
1.609 0.907643
1.61 0.910948
1.611 0.91395
1.612 0.916243
1.613 0.918255
1.614 0.919168
1.615 0.919918
1.616 0.919306
1.617 0.918678
1.618 0.916638
1.619 0.914598
1.62 0.911551
1.621 0.90841
1.622 0.900933
1.623 0.892493
1.624 0.785271
1.625 0.569337
1.626 0.326365
1.627 0.211775
1.628 0.131019
1.629 0.0975381
1.63 0.0740385
1.631 0.0551172
1.632 0.0469797
1.633 0.0393623
1.634 0.031745
1.635 0.0241277
1.636 0.0165103
1.637 0.0114414
1.638 0.0100858
1.639 0.00873026
1.64 0.00737467
1.641 0.00601909
1.642 0.0046635
1.643 0.00330792
1.644 0.00251847
1.645 0.0023415
1.646 0.00216453
1.647 0.00198756
1.648 0.00181058
1.649 0.00163361
1.65 0.00145664
1.651 0.00127966
1.652 0.00110269
1.653 0.000925717
1.654 0.000748744
1.655 0.000571771
1.656 0.000517403
1.657 0.00048016
1.658 0.000442917
1.659 0.000405674
1.66 0.000368431
1.661 0.000331188
1.662 0.000293946
1.663 0.000256703
1.664 0.000232956
1.665 0.000218935
1.666 0.000204914
1.667 0.000190894
1.668 0.000176873
1.669 0.000162852
1.67 0.000148831
1.671 0.000136533
1.672 0.000135163
1.673 0.000133793
1.674 0.000132423
1.675 0.000131053
1.676 0.000129684
1.677 0.000128314
1.678 0.000126944
1.679 0.000125574
1.68 0.000124204
1.681 0.000122835
1.682 0.000121465
1.683 0.000120095
1.684 0.000118725
1.685 0.000117356
1.686 0.000115986
1.687 0.000114616
1.688 0.000113246
1.689 0.000111876
1.69 0.000110507
1.691 0.000109137
1.692 0.000107767
1.693 0.000106397
1.694 0.000105027
1.695 0.000103658
1.696 0.000102288
1.697 0.000100918
1.698 0.0000
1.699 0.0000
