# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.6351241752644228
# width : 0.28732440255992575
# blue_cutoff : 1.49146197398446
# red_cutoff : 1.7787863765443857
#  
wavelength transmission
1.432 0.0000
1.433 0.0000
1.434 0.000100186
1.435 0.000100527
1.436 0.000100867
1.437 0.000101208
1.438 0.000101549
1.439 0.000101889
1.44 0.00010223
1.441 0.000102571
1.442 0.000102912
1.443 0.000103252
1.444 0.000103593
1.445 0.000103934
1.446 0.000104274
1.447 0.000104615
1.448 0.000104956
1.449 0.000105297
1.45 0.000105637
1.451 0.000105978
1.452 0.000109627
1.453 0.000122968
1.454 0.000136309
1.455 0.000150879
1.456 0.000191238
1.457 0.000231596
1.458 0.000271954
1.459 0.000312312
1.46 0.00035267
1.461 0.000393029
1.462 0.000433387
1.463 0.000473745
1.464 0.000514103
1.465 0.000693175
1.466 0.000921888
1.467 0.0011506
1.468 0.00137931
1.469 0.00160803
1.47 0.00183674
1.471 0.00206545
1.472 0.00229416
1.473 0.00252288
1.474 0.00361523
1.475 0.00498839
1.476 0.00636154
1.477 0.0077347
1.478 0.00910786
1.479 0.010481
1.48 0.0132278
1.481 0.0221582
1.482 0.0310887
1.483 0.0400191
1.484 0.0489495
1.485 0.0595924
1.486 0.0931171
1.487 0.129557
1.488 0.212401
1.489 0.357468
1.49 0.580055
1.491 0.879729
1.492 0.939285
1.493 0.942005
1.494 0.944724
1.495 0.947444
1.496 0.950163
1.497 0.952883
1.498 0.955602
1.499 0.957998
1.5 0.958894
1.501 0.95979
1.502 0.960686
1.503 0.961582
1.504 0.962478
1.505 0.963374
1.506 0.96427
1.507 0.964906
1.508 0.965487
1.509 0.966069
1.51 0.966651
1.511 0.967233
1.512 0.967815
1.513 0.968397
1.514 0.968784
1.515 0.968958
1.516 0.969133
1.517 0.969308
1.518 0.969482
1.519 0.969657
1.52 0.969832
1.521 0.96995
1.522 0.96969
1.523 0.969429
1.524 0.969169
1.525 0.968908
1.526 0.968648
1.527 0.968387
1.528 0.968127
1.529 0.96756
1.53 0.966906
1.531 0.966252
1.532 0.965598
1.533 0.964944
1.534 0.96429
1.535 0.963636
1.536 0.962858
1.537 0.961916
1.538 0.960973
1.539 0.96003
1.54 0.959087
1.541 0.958145
1.542 0.957202
1.543 0.956248
1.544 0.955167
1.545 0.954087
1.546 0.953006
1.547 0.951925
1.548 0.950845
1.549 0.949764
1.55 0.948683
1.551 0.947628
1.552 0.946583
1.553 0.945537
1.554 0.944491
1.555 0.943446
1.556 0.9424
1.557 0.941355
1.558 0.940386
1.559 0.939542
1.56 0.938699
1.561 0.937856
1.562 0.937013
1.563 0.93617
1.564 0.935326
1.565 0.934493
1.566 0.933987
1.567 0.933481
1.568 0.932975
1.569 0.932469
1.57 0.931963
1.571 0.931458
1.572 0.930952
1.573 0.93073
1.574 0.930642
1.575 0.930555
1.576 0.930467
1.577 0.93038
1.578 0.930292
1.579 0.930205
1.58 0.93026
1.581 0.930604
1.582 0.930949
1.583 0.931294
1.584 0.931638
1.585 0.931983
1.586 0.932328
1.587 0.932673
1.588 0.933387
1.589 0.934109
1.59 0.934831
1.591 0.935553
1.592 0.936275
1.593 0.936997
1.594 0.937718
1.595 0.938605
1.596 0.939589
1.597 0.940572
1.598 0.941556
1.599 0.942539
1.6 0.943523
1.601 0.944506
1.602 0.945519
1.603 0.946607
1.604 0.947694
1.605 0.948782
1.606 0.94987
1.607 0.950958
1.608 0.952045
1.609 0.953133
1.61 0.954156
1.611 0.955174
1.612 0.956191
1.613 0.957209
1.614 0.958227
1.615 0.959245
1.616 0.960263
1.617 0.961146
1.618 0.961931
1.619 0.962716
1.62 0.963501
1.621 0.964286
1.622 0.965071
1.623 0.965856
1.624 0.966558
1.625 0.966985
1.626 0.967412
1.627 0.967839
1.628 0.968265
1.629 0.968692
1.63 0.969119
1.631 0.969545
1.632 0.969596
1.633 0.969596
1.634 0.969596
1.635 0.969596
1.636 0.969596
1.637 0.969596
1.638 0.969596
1.639 0.969369
1.64 0.968942
1.641 0.968515
1.642 0.968089
1.643 0.967662
1.644 0.967235
1.645 0.966809
1.646 0.966317
1.647 0.965532
1.648 0.964746
1.649 0.963961
1.65 0.963176
1.651 0.962391
1.652 0.961606
1.653 0.960821
1.654 0.959842
1.655 0.958824
1.656 0.957806
1.657 0.956789
1.658 0.955771
1.659 0.954753
1.66 0.953735
1.661 0.952683
1.662 0.951596
1.663 0.950508
1.664 0.94942
1.665 0.948332
1.666 0.947245
1.667 0.946157
1.668 0.945083
1.669 0.9441
1.67 0.943116
1.671 0.942133
1.672 0.941149
1.673 0.940166
1.674 0.939182
1.675 0.938199
1.676 0.93742
1.677 0.936698
1.678 0.935976
1.679 0.935254
1.68 0.934532
1.681 0.93381
1.682 0.933089
1.683 0.93253
1.684 0.932185
1.685 0.931841
1.686 0.931496
1.687 0.931151
1.688 0.930806
1.689 0.930462
1.69 0.930153
1.691 0.930241
1.692 0.930328
1.693 0.930416
1.694 0.930503
1.695 0.930591
1.696 0.930679
1.697 0.930766
1.698 0.931161
1.699 0.931667
1.7 0.932173
1.701 0.932679
1.702 0.933184
1.703 0.93369
1.704 0.934196
1.705 0.934832
1.706 0.935675
1.707 0.936518
1.708 0.937361
1.709 0.938205
1.71 0.939048
1.711 0.939891
1.712 0.940741
1.713 0.941787
1.714 0.942833
1.715 0.943878
1.716 0.944924
1.717 0.945969
1.718 0.947015
1.719 0.948061
1.72 0.94913
1.721 0.950211
1.722 0.951292
1.723 0.952372
1.724 0.953453
1.725 0.954534
1.726 0.955614
1.727 0.956649
1.728 0.957592
1.729 0.958534
1.73 0.959477
1.731 0.96042
1.732 0.961363
1.733 0.962305
1.734 0.963248
1.735 0.963907
1.736 0.96456
1.737 0.965214
1.738 0.965868
1.739 0.966522
1.74 0.967176
1.741 0.96783
1.742 0.968234
1.743 0.968495
1.744 0.968755
1.745 0.969016
1.746 0.969277
1.747 0.969537
1.748 0.969798
1.749 0.969934
1.75 0.969759
1.751 0.969585
1.752 0.96941
1.753 0.969235
1.754 0.969061
1.755 0.968886
1.756 0.968712
1.757 0.968156
1.758 0.967574
1.759 0.966992
1.76 0.966411
1.761 0.965829
1.762 0.965247
1.763 0.964665
1.764 0.963899
1.765 0.963003
1.766 0.962107
1.767 0.961212
1.768 0.960316
1.769 0.95942
1.77 0.958524
1.771 0.957253
1.772 0.954771
1.773 0.952288
1.774 0.949806
1.775 0.947323
1.776 0.94484
1.777 0.942358
1.778 0.939875
1.779 0.808055
1.78 0.600914
1.781 0.367057
1.782 0.242872
1.783 0.150537
1.784 0.115261
1.785 0.0868418
1.786 0.0686096
1.787 0.0544858
1.788 0.0471454
1.789 0.039805
1.79 0.0324646
1.791 0.0251241
1.792 0.0177837
1.793 0.0122605
1.794 0.0109542
1.795 0.00964786
1.796 0.00834156
1.797 0.00703525
1.798 0.00572895
1.799 0.00442264
1.8 0.00311634
1.801 0.00262082
1.802 0.00245029
1.803 0.00227975
1.804 0.00210921
1.805 0.00193868
1.806 0.00176814
1.807 0.0015976
1.808 0.00142706
1.809 0.00125653
1.81 0.00108599
1.811 0.000915452
1.812 0.000744915
1.813 0.000574937
1.814 0.000539048
1.815 0.000503159
1.816 0.00046727
1.817 0.000431381
1.818 0.000395492
1.819 0.000359603
1.82 0.000323714
1.821 0.000287825
1.822 0.000251936
1.823 0.000236559
1.824 0.000223048
1.825 0.000209538
1.826 0.000196027
1.827 0.000182516
1.828 0.000169005
1.829 0.000155494
1.83 0.000141983
1.831 0.000137754
1.832 0.000136434
1.833 0.000135114
1.834 0.000133794
1.835 0.000132474
1.836 0.000131154
1.837 0.000129834
1.838 0.000128514
1.839 0.000127194
1.84 0.000125874
1.841 0.000124554
1.842 0.000123234
1.843 0.000121914
1.844 0.000120594
1.845 0.000119274
1.846 0.000117954
1.847 0.000116634
1.848 0.000115314
1.849 0.000113994
1.85 0.000112674
1.851 0.000111354
1.852 0.000110034
1.853 0.000108714
1.854 0.000107394
1.855 0.000106074
1.856 0.000104754
1.857 0.000103434
1.858 0.000102114
1.859 0.000100794
1.86 0.0000
1.861 0.0000
