# author : Oliver Czoske
# source : Ester Aranzana
# date_created : 2017-11-20
# date_modified : 2025-12-16
# status : Measured at 80 K
# wavelength_unit : um
# changes :
# - 2022-03-17 (KL) Updated to match Rics email
# - 2023-06-06 (RD) Modified profiles after discussion with Schott
# - 2025-12-16 (OC) Replaced with measured values
#
 wavelength  transmission
     0.4990      0.018600
     0.4995      0.018600
     0.5000      0.018880
     0.5005      0.017000
     0.5010      0.019120
     0.5015      0.019220
     0.5020      0.028540
     0.5025      0.035330
     0.5030      0.049540
     0.5035      0.055450
     0.5040      0.041390
     0.5045      0.026140
     0.5050      0.015160
     0.5055      0.015170
     0.5060      0.015830
     0.5065      0.025010
     0.5070      0.035890
     0.5075      0.036690
     0.5080      0.028070
     0.5085      0.008340
     0.5090      0.000000
     0.5095      0.000000
     0.5100      0.000000
     0.5105      0.000190
     0.5110      0.008110
     0.5115      0.017300
     0.5120      0.020140
     0.5125      0.006890
     0.5130      0.003260
     0.5135      0.003420
     0.5140      0.010000
     0.5145      0.007120
     0.5150      0.000600
     0.5155      0.004970
     0.5160      0.006260
     0.5165      0.007750
     0.5170      0.005860
     0.5175      0.001020
     0.5180      0.004990
     0.5185      0.004430
     0.5190      0.006460
     0.5195      0.005290
     0.5200      0.014040
     0.5205      0.012040
     0.5210      0.010360
     0.5215      0.008850
     0.5220      0.008850
     0.5225      0.008980
     0.5230      0.011750
     0.5235      0.009600
     0.5240      0.014010
     0.5245      0.009440
     0.5250      0.009110
     0.5255      0.006860
     0.5260      0.006850
     0.5265      0.007820
     0.5270      0.008340
     0.5275      0.008660
     0.5280      0.007590
     0.5285      0.009430
     0.5290      0.003610
     0.5295      0.003020
     0.5300      0.002400
     0.5305      0.000830
     0.5310      0.003100
     0.5315      0.006590
     0.5320      0.004200
     0.5325      0.000350
     0.5330      0.000070
     0.5335      0.000790
     0.5340      0.000850
     0.5345      0.000000
     0.5350      0.003460
     0.5355      0.002660
     0.5360      0.003550
     0.5365      0.002930
     0.5370      0.004280
     0.5375      0.006380
     0.5380      0.003980
     0.5385      0.006800
     0.5390      0.005510
     0.5395      0.005630
     0.5400      0.006940
     0.5405      0.007020
     0.5410      0.006960
     0.5415      0.006410
     0.5420      0.006410
     0.5425      0.005580
     0.5430      0.007100
     0.5435      0.006100
     0.5440      0.008270
     0.5445      0.010220
     0.5450      0.007850
     0.5455      0.007770
     0.5460      0.008920
     0.5465      0.008030
     0.5470      0.007940
     0.5475      0.008670
     0.5480      0.008460
     0.5485      0.007360
     0.5490      0.008490
     0.5495      0.005140
     0.5500      0.006510
     0.5505      0.005390
     0.5510      0.006440
     0.5515      0.004630
     0.5520      0.005810
     0.5525      0.005900
     0.5530      0.003350
     0.5535      0.003780
     0.5540      0.003080
     0.5545      0.002200
     0.5550      0.005200
     0.5555      0.003770
     0.5560      0.000000
     0.5565      0.000000
     0.5570      0.000080
     0.5575      0.001840
     0.5580      0.001030
     0.5585      0.001970
     0.5590      0.002520
     0.5595      0.003500
     0.5600      0.004750
