# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 2.0626346782355207
# width : 0.03026098260695554
# blue_cutoff : 2.0475041869320427
# red_cutoff : 2.0777651695389987
#  
wavelength transmission
1.972 0.0000
1.973 0.0000
1.974 0.000100014
1.975 0.000100222
1.976 0.00010043
1.977 0.000100639
1.978 0.000100847
1.979 0.000101055
1.98 0.000101264
1.981 0.000101472
1.982 0.000101681
1.983 0.000101889
1.984 0.000102097
1.985 0.000102306
1.986 0.000102514
1.987 0.000102722
1.988 0.000102931
1.989 0.000103139
1.99 0.000103347
1.991 0.000103556
1.992 0.000103764
1.993 0.000103972
1.994 0.000104181
1.995 0.000104389
1.996 0.000104598
1.997 0.000104806
1.998 0.000105014
1.999 0.000105223
2.0 0.000112413
2.001 0.000120571
2.002 0.00012873
2.003 0.000136888
2.004 0.000152635
2.005 0.000177315
2.006 0.000201996
2.007 0.000226676
2.008 0.000251356
2.009 0.000276036
2.01 0.000300716
2.011 0.000325396
2.012 0.000350076
2.013 0.000374757
2.014 0.000399437
2.015 0.000424117
2.016 0.000448797
2.017 0.000547226
2.018 0.000687091
2.019 0.000826957
2.02 0.000966823
2.021 0.00110669
2.022 0.00124655
2.023 0.00138642
2.024 0.00152629
2.025 0.00166615
2.026 0.00180602
2.027 0.00194588
2.028 0.00208575
2.029 0.00241596
2.03 0.00325568
2.031 0.00409541
2.032 0.00493514
2.033 0.00577486
2.034 0.00661459
2.035 0.00745432
2.036 0.00829405
2.037 0.00913377
2.038 0.010994
2.039 0.0164551
2.04 0.0219161
2.041 0.0273772
2.042 0.0328382
2.043 0.0382993
2.044 0.0437604
2.045 0.0509032
2.046 0.0719277
2.047 0.094213
2.048 0.123201
2.049 0.175042
2.05 0.25902
2.051 0.369223
2.052 0.529877
2.053 0.720198
2.054 0.794993
2.055 0.81419
2.056 0.819523
2.057 0.816547
2.058 0.806384
2.059 0.793251
2.06 0.783225
2.061 0.780199
2.062 0.786378
2.063 0.798197
2.064 0.810973
2.065 0.818734
2.066 0.818337
2.067 0.810111
2.068 0.797186
2.069 0.785707
2.07 0.780214
2.071 0.783696
2.072 0.794223
2.073 0.80726
2.074 0.817155
2.075 0.81936
2.076 0.813357
2.077 0.793939
2.078 0.701195
2.079 0.555859
2.08 0.381504
2.081 0.25106
2.082 0.177939
2.083 0.119701
2.084 0.0964402
2.085 0.0749948
2.086 0.0618515
2.087 0.0487083
2.088 0.0431312
2.089 0.0378397
2.09 0.0325482
2.091 0.0272567
2.092 0.0219652
2.093 0.0166737
2.094 0.0113822
2.095 0.00985641
2.096 0.00891471
2.097 0.00797301
2.098 0.0070313
2.099 0.0060896
2.1 0.0051479
2.101 0.00420619
2.102 0.00326449
2.103 0.00232499
2.104 0.00220205
2.105 0.00207911
2.106 0.00195617
2.107 0.00183323
2.108 0.00171029
2.109 0.00158735
2.11 0.00146441
2.111 0.00134147
2.112 0.00121853
2.113 0.00109559
2.114 0.000972651
2.115 0.000849712
2.116 0.000726772
2.117 0.000603833
2.118 0.000496036
2.119 0.000470164
2.12 0.000444292
2.121 0.000418419
2.122 0.000392547
2.123 0.000366675
2.124 0.000340803
2.125 0.000314931
2.126 0.000289058
2.127 0.000263186
2.128 0.000237314
2.129 0.000220162
2.13 0.000210422
2.131 0.000200682
2.132 0.000190942
2.133 0.000181203
2.134 0.000171463
2.135 0.000161723
2.136 0.000151983
2.137 0.000142243
2.138 0.000132626
2.139 0.000131674
2.14 0.000130723
2.141 0.000129771
2.142 0.00012882
2.143 0.000127868
2.144 0.000126916
2.145 0.000125965
2.146 0.000125013
2.147 0.000124062
2.148 0.00012311
2.149 0.000122159
2.15 0.000121207
2.151 0.000120255
2.152 0.000119304
2.153 0.000118352
2.154 0.000117401
2.155 0.000116449
2.156 0.000115498
2.157 0.000114546
2.158 0.000113594
2.159 0.000112643
2.16 0.000111691
2.161 0.00011074
2.162 0.000109788
2.163 0.000108837
2.164 0.000107885
2.165 0.000106934
2.166 0.000105982
2.167 0.00010503
2.168 0.000104079
2.169 0.000103127
2.17 0.000102176
2.171 0.000101224
2.172 0.000100273
2.173 0.0000
2.174 0.0000
