# author : Oliver Czoske
# source : Ester Aranzana
# date_created : 2017-11-20
# date_modified: 2025-12-16
# status: Measured at 80 K
# wavelength_unit : um
# changes :
# - 2022-03-17 (KL) Updated to match Ric Davies' email
# - 2023-06-06 (RD) Modified profiles after discussion with Schott
# - 2025-06-16 (FH) Updated filter curve based on Ric Davies' email.
# - 2025-12-16 (OC) Replaced with measured values
#
 wavelength  transmission
     0.4990      0.011680
     0.4995      0.011680
     0.5000      0.010150
     0.5005      0.029500
     0.5010      0.014100
     0.5015      0.016370
     0.5020      0.011470
     0.5025      0.014650
     0.5030      0.016220
     0.5035      0.023260
     0.5040      0.010170
     0.5045      0.012080
     0.5050      0.015530
     0.5055      0.004540
     0.5060      0.005870
     0.5065      0.005890
     0.5070      0.011140
     0.5075      0.006510
     0.5080      0.000760
     0.5085      0.000380
     0.5090      0.024000
     0.5095      0.000000
     0.5100      0.010530
     0.5105      0.019760
     0.5110      0.000000
     0.5115      0.000000
     0.5120      0.022710
     0.5125      0.018420
     0.5130      0.000000
     0.5135      0.000000
     0.5140      0.004820
     0.5145      0.012200
     0.5150      0.000530
     0.5155      0.002150
     0.5160      0.002880
     0.5165      0.000000
     0.5170      0.001360
     0.5175      0.003940
     0.5180      0.000000
     0.5185      0.000000
     0.5190      0.001990
     0.5195      0.007920
     0.5200      0.001830
     0.5205      0.000000
     0.5210      0.008100
     0.5215      0.000000
     0.5220      0.000000
     0.5225      0.000000
     0.5230      0.000000
     0.5235      0.000000
     0.5240      0.000000
     0.5245      0.000420
     0.5250      0.000000
     0.5255      0.000000
     0.5260      0.001650
     0.5265      0.000000
     0.5270      0.000000
     0.5275      0.000000
     0.5280      0.000000
     0.5285      0.000000
     0.5290      0.000000
     0.5295      0.001750
     0.5300      0.000000
     0.5305      0.000000
     0.5310      0.000000
     0.5315      0.000000
     0.5320      0.000000
     0.5325      0.000000
     0.5330      0.000000
     0.5335      0.000000
     0.5340      0.000000
     0.5345      0.001160
     0.5350      0.000000
     0.5355      0.000000
     0.5360      0.000000
     0.5365      0.000000
     0.5370      0.000380
     0.5375      0.003550
     0.5380      0.000000
     0.5385      0.000000
     0.5390      0.000000
     0.5395      0.000000
     0.5400      0.000000
     0.5405      0.000000
     0.5410      0.000000
     0.5415      0.000000
     0.5420      0.000000
     0.5425      0.000000
     0.5430      0.000000
     0.5435      0.000000
     0.5440      0.000000
     0.5445      0.000000
     0.5450      0.000000
     0.5455      0.000000
     0.5460      0.000000
     0.5465      0.000000
     0.5470      0.000000
     0.5475      0.000000
     0.5480      0.000000
     0.5485      0.000000
     0.5490      0.000000
     0.5495      0.000000
     0.5500      0.000000
     0.5505      0.000000
     0.5510      0.000530
     0.5515      0.000000
     0.5520      0.000000
     0.5525      0.000620
     0.5530      0.000000
     0.5535      0.000000
     0.5540      0.000000
     0.5545      0.000000
     0.5550      0.000000
     0.5555      0.015570
     0.5560      0.122220
     0.5565      0.014400
     0.5570      0.001150
     0.5575      0.002910
     0.5580      0.000290
     0.5585      0.001160
     0.5590      0.000000
     0.5595      0.000000
     0.5600      0.000000
     0.5605      0.000440
     0.5610      0.000150
     0.5615      0.001130
     0.5620      0.000140
     0.5625      0.000000
     0.5630      0.000160
     0.5635      0.002590
     0.5640      0.002390
     0.5645      0.002960
     0.5650      0.003730
     0.5655      0.018080
     0.5660      0.132590
     0.5665      0.205620
     0.5670      0.034640
     0.5675      0.014430
     0.5680      0.007260
     0.5685      0.010070
     0.5690      0.007390
     0.5695      0.008480
     0.5700      0.007240
     0.5705      0.008730
     0.5710      0.012950
     0.5715      0.017690
     0.5720      0.026150
     0.5725      0.037610
     0.5730      0.049720
     0.5735      0.059930
     0.5740      0.062570
     0.5745      0.060980
     0.5750      0.057480
     0.5755      0.054150
     0.5760      0.053250
     0.5765      0.051800
     0.5770      0.053800
     0.5775      0.056280
     0.5780      0.066140
     0.5785      0.084410
     0.5790      0.103070
     0.5795      0.086940
     0.5800      0.052350
     0.5805      0.029910
     0.5810      0.015990
     0.5815      0.010320
     0.5820      0.007060
     0.5825      0.006150
     0.5830      0.004680
     0.5835      0.003330
     0.5840      0.003320
     0.5845      0.002260
     0.5850      0.002650
     0.5855      0.002630
     0.5860      0.002800
     0.5865      0.003900
     0.5870      0.004340
     0.5875      0.005750
     0.5880      0.008140
     0.5885      0.011650
     0.5890      0.017980
     0.5895      0.025990
     0.5900      0.031390
     0.5905      0.035860
     0.5910      0.037840
     0.5915      0.039580
     0.5920      0.046840
     0.5925      0.057140
     0.5930      0.069970
     0.5935      0.080270
     0.5940      0.083480
     0.5945      0.079630
     0.5950      0.064370
     0.5955      0.043500
     0.5960      0.027690
     0.5965      0.018320
     0.5970      0.012860
     0.5975      0.009160
     0.5980      0.006360
     0.5985      0.004700
     0.5990      0.003020
     0.5995      0.003230
     0.6000      0.001580
     0.6005      0.003230
     0.6010      0.003270
     0.6015      0.004510
     0.6020      0.004350
     0.6025      0.004140
     0.6030      0.004950
     0.6035      0.006090
     0.6040      0.009950
     0.6045      0.017370
     0.6050      0.032310
     0.6055      0.051040
     0.6060      0.060550
     0.6065      0.064530
     0.6070      0.070450
     0.6075      0.083710
     0.6080      0.101600
     0.6085      0.099500
     0.6090      0.074550
     0.6095      0.053840
     0.6100      0.041710
     0.6105      0.037540
     0.6110      0.035620
     0.6115      0.034380
     0.6120      0.032120
     0.6125      0.030320
     0.6130      0.028200
     0.6135      0.026940
     0.6140      0.024540
     0.6145      0.020530
     0.6150      0.017040
     0.6155      0.015000
     0.6160      0.015270
     0.6165      0.015640
     0.6170      0.016260
     0.6175      0.014700
     0.6180      0.011430
     0.6185      0.009480
