# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.2715550047191497
# width : 0.051056149957250135
# blue_cutoff : 1.2460269297405246
# red_cutoff : 1.2970830796977748
#  
wavelength transmission
1.196 0.0000
1.197 0.0000
1.198 0.000100085
1.199 0.000100428
1.2 0.000100772
1.201 0.000101115
1.202 0.000101459
1.203 0.000101802
1.204 0.000102145
1.205 0.000102489
1.206 0.000102832
1.207 0.000103175
1.208 0.000103519
1.209 0.000103862
1.21 0.000104206
1.211 0.000104549
1.212 0.000104892
1.213 0.000105236
1.214 0.000118214
1.215 0.000131659
1.216 0.000152812
1.217 0.000193486
1.218 0.000234159
1.219 0.000274833
1.22 0.000315507
1.221 0.00035618
1.222 0.000396854
1.223 0.000437527
1.224 0.000573994
1.225 0.000804494
1.226 0.00103499
1.227 0.00126549
1.228 0.00149599
1.229 0.00172649
1.23 0.00195699
1.231 0.00218749
1.232 0.00357097
1.233 0.00495488
1.234 0.00633878
1.235 0.00772269
1.236 0.00910659
1.237 0.0143562
1.238 0.0233564
1.239 0.0323565
1.24 0.0413566
1.241 0.0542744
1.242 0.0909999
1.243 0.14904
1.244 0.271771
1.245 0.488504
1.246 0.762518
1.247 0.801217
1.248 0.810842
1.249 0.815616
1.25 0.818831
1.251 0.819887
1.252 0.818553
1.253 0.815328
1.254 0.810539
1.255 0.804619
1.256 0.798093
1.257 0.79177
1.258 0.786464
1.259 0.782622
1.26 0.780577
1.261 0.780533
1.262 0.782618
1.263 0.786916
1.264 0.792476
1.265 0.798765
1.266 0.805206
1.267 0.811207
1.268 0.815955
1.269 0.818766
1.27 0.819596
1.271 0.8184
1.272 0.815283
1.273 0.810489
1.274 0.804333
1.275 0.797832
1.276 0.791634
1.277 0.786297
1.278 0.782322
1.279 0.780238
1.28 0.780652
1.281 0.783056
1.282 0.787187
1.283 0.792666
1.284 0.79901
1.285 0.805545
1.286 0.811347
1.287 0.815889
1.288 0.818776
1.289 0.819737
1.29 0.818636
1.291 0.815118
1.292 0.810074
1.293 0.79982
1.294 0.747814
1.295 0.506038
1.296 0.257966
1.297 0.145374
1.298 0.0937171
1.299 0.0654964
1.3 0.0466859
1.301 0.0381895
1.302 0.0296931
1.303 0.0211967
1.304 0.0127003
1.305 0.00952068
1.306 0.00800866
1.307 0.00649665
1.308 0.00498463
1.309 0.00347262
1.31 0.0022777
1.311 0.00208031
1.312 0.00188291
1.313 0.00168551
1.314 0.00148812
1.315 0.00129072
1.316 0.00109332
1.317 0.000895926
1.318 0.000698529
1.319 0.000501132
1.32 0.000458754
1.321 0.000417213
1.322 0.000375673
1.323 0.000334132
1.324 0.000292591
1.325 0.00025105
1.326 0.000219434
1.327 0.000203795
1.328 0.000188157
1.329 0.000172518
1.33 0.00015688
1.331 0.000141241
1.332 0.000131952
1.333 0.000130424
1.334 0.000128896
1.335 0.000127368
1.336 0.00012584
1.337 0.000124312
1.338 0.000122784
1.339 0.000121256
1.34 0.000119729
1.341 0.000118201
1.342 0.000116673
1.343 0.000115145
1.344 0.000113617
1.345 0.000112089
1.346 0.000110561
1.347 0.000109033
1.348 0.000107506
1.349 0.000105978
1.35 0.00010445
1.351 0.000102922
1.352 0.000101394
1.353 0.0000
1.354 0.0000
