# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.1918856866616647
# width : 0.05092982602905294
# blue_cutoff : 1.1664207736471384
# red_cutoff : 1.217350599676191
#  
wavelength transmission
1.118 0.0000
1.119 0.0000
1.120 0.0001
1.121 0.000100078
1.122 0.000100445
1.123 0.000100812
1.124 0.000101179
1.125 0.000101546
1.126 0.000101912
1.127 0.000102279
1.128 0.000102646
1.129 0.000103013
1.13 0.00010338
1.131 0.000103747
1.132 0.000104114
1.133 0.000104481
1.134 0.000104848
1.135 0.000105215
1.136 0.00011833
1.137 0.000132697
1.138 0.000158745
1.139 0.000202212
1.140 0.000245679
1.141 0.000289146
1.142 0.000332613
1.143 0.00037608
1.144 0.000419547
1.145 0.000487926
1.146 0.00073426
1.147 0.000980593
1.148 0.00122693
1.149 0.00147326
1.150 0.00171959
1.151 0.00196593
1.152 0.00233579
1.153 0.00381473
1.154 0.00529367
1.155 0.0067726
1.156 0.00825154
1.157 0.00973048
1.158 0.0190313
1.159 0.0286491
1.16 0.0382669
1.161 0.0488789
1.162 0.083436
1.163 0.137438
1.164 0.262281
1.165 0.488506
1.166 0.770637
1.167 0.802347
1.168 0.811235
1.169 0.81586
1.17 0.8189
1.171 0.819953
1.172 0.81846
1.173 0.815109
1.174 0.810243
1.175 0.804302
1.176 0.797808
1.177 0.791507
1.178 0.78627
1.179 0.782516
1.18 0.780561
1.181 0.780591
1.182 0.782669
1.183 0.787007
1.184 0.792581
1.185 0.798857
1.186 0.805271
1.187 0.811242
1.188 0.815973
1.189 0.818767
1.19 0.819596
1.191 0.818418
1.192 0.81533
1.193 0.810572
1.194 0.804437
1.195 0.797966
1.196 0.791775
1.197 0.786416
1.198 0.782386
1.199 0.780309
1.2 0.780632
1.201 0.78293
1.202 0.78696
1.203 0.792363
1.204 0.798674
1.205 0.805187
1.206 0.811015
1.207 0.815645
1.208 0.818673
1.209 0.81981
1.21 0.818757
1.211 0.815383
1.212 0.810502
1.213 0.800945
1.214 0.755499
1.215 0.506069
1.216 0.250237
1.217 0.131972
1.218 0.0863471
1.219 0.0599415
1.22 0.0438892
1.221 0.0348337
1.222 0.0257782
1.223 0.0167227
1.224 0.010137
1.225 0.00852537
1.226 0.00691378
1.227 0.00530219
1.228 0.00369061
1.229 0.00229316
1.23 0.00208277
1.231 0.00187237
1.232 0.00166197
1.233 0.00145158
1.234 0.00124118
1.235 0.00103079
1.236 0.000820392
1.237 0.000609996
1.238 0.000478929
1.239 0.000434654
1.24 0.000390378
1.241 0.000346103
1.242 0.000301827
1.243 0.000257552
1.244 0.000220852
1.245 0.000204183
1.246 0.000187515
1.247 0.000170846
1.248 0.000154177
1.249 0.000137508
1.25 0.000131486
1.251 0.000129858
1.252 0.000128229
1.253 0.000126601
1.254 0.000124972
1.255 0.000123344
1.256 0.000121716
1.257 0.000120087
1.258 0.000118459
1.259 0.00011683
1.26 0.000115202
1.261 0.000113573
1.262 0.000111945
1.263 0.000110316
1.264 0.000108688
1.265 0.000107059
1.266 0.000105431
1.267 0.000103802
1.268 0.000102174
1.269 0.000100545
1.270 0.0001
1.271 0.0000
1.272 0.0000
