# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 1.2479443820326959
# width : 0.19349482616262234
# blue_cutoff : 1.1511969689513848
# red_cutoff : 1.344691795114007
#  
wavelength transmission
1.105 0.0000
1.106 0.0000
1.107 0.000100284
1.108 0.000100725
1.109 0.000101167
1.11 0.000101608
1.111 0.000102049
1.112 0.000102491
1.113 0.000102932
1.114 0.000103374
1.115 0.000103815
1.116 0.000104257
1.117 0.000104698
1.118 0.00010514
1.119 0.000105581
1.12 0.000106022
1.121 0.000115313
1.122 0.000132597
1.123 0.000151582
1.124 0.000203873
1.125 0.000256163
1.126 0.000308454
1.127 0.000360745
1.128 0.000413035
1.129 0.000465326
1.13 0.000517616
1.131 0.000780703
1.132 0.00107704
1.133 0.00137337
1.134 0.0016697
1.135 0.00196603
1.136 0.00226237
1.137 0.0025587
1.138 0.0042363
1.139 0.00601544
1.14 0.00779458
1.141 0.00957373
1.142 0.0113529
1.143 0.0215379
1.144 0.0331082
1.145 0.0446784
1.146 0.0571225
1.147 0.0972385
1.148 0.160392
1.149 0.309148
1.15 0.580084
1.151 0.917081
1.152 0.941349
1.153 0.9454
1.154 0.949451
1.155 0.953501
1.156 0.957552
1.157 0.959079
1.158 0.960414
1.159 0.961748
1.16 0.963083
1.161 0.964417
1.162 0.965286
1.163 0.966153
1.164 0.967019
1.165 0.967886
1.166 0.968716
1.167 0.968976
1.168 0.969236
1.169 0.969496
1.17 0.969756
1.171 0.969935
1.172 0.969547
1.173 0.969159
1.174 0.968771
1.175 0.968383
1.176 0.967882
1.177 0.966908
1.178 0.965934
1.179 0.96496
1.18 0.963986
1.181 0.962901
1.182 0.961496
1.183 0.960092
1.184 0.958688
1.185 0.957284
1.186 0.955813
1.187 0.954203
1.188 0.952594
1.189 0.950984
1.19 0.949374
1.191 0.947785
1.192 0.946227
1.193 0.94467
1.194 0.943112
1.195 0.941555
1.196 0.940135
1.197 0.938879
1.198 0.937622
1.199 0.936366
1.2 0.93511
1.201 0.934116
1.202 0.933362
1.203 0.932609
1.204 0.931855
1.205 0.931102
1.206 0.930713
1.207 0.930583
1.208 0.930452
1.209 0.930322
1.21 0.930191
1.211 0.93048
1.212 0.930994
1.213 0.931507
1.214 0.932021
1.215 0.932534
1.216 0.933451
1.217 0.934526
1.218 0.935601
1.219 0.936677
1.22 0.937752
1.221 0.939132
1.222 0.940597
1.223 0.942062
1.224 0.943527
1.225 0.944992
1.226 0.946589
1.227 0.948209
1.228 0.949829
1.229 0.951449
1.23 0.95307
1.231 0.954595
1.232 0.956111
1.233 0.957627
1.234 0.959143
1.235 0.960659
1.236 0.961836
1.237 0.963005
1.238 0.964174
1.239 0.965344
1.24 0.966489
1.241 0.967124
1.242 0.96776
1.243 0.968395
1.244 0.969031
1.245 0.969596
1.246 0.969596
1.247 0.969596
1.248 0.969596
1.249 0.969596
1.25 0.969483
1.251 0.968848
1.252 0.968212
1.253 0.967577
1.254 0.966941
1.255 0.966176
1.256 0.965006
1.257 0.963837
1.258 0.962667
1.259 0.961498
1.26 0.960222
1.261 0.958705
1.262 0.957189
1.263 0.955673
1.264 0.954157
1.265 0.952602
1.266 0.950982
1.267 0.949362
1.268 0.947741
1.269 0.946121
1.27 0.944569
1.271 0.943104
1.272 0.941639
1.273 0.940174
1.274 0.938709
1.275 0.937441
1.276 0.936366
1.277 0.935291
1.278 0.934216
1.279 0.93314
1.28 0.932386
1.281 0.931873
1.282 0.931359
1.283 0.930846
1.284 0.930332
1.285 0.930229
1.286 0.930359
1.287 0.93049
1.288 0.93062
1.289 0.930751
1.29 0.931319
1.291 0.932073
1.292 0.932826
1.293 0.93358
1.294 0.934333
1.295 0.935473
1.296 0.936729
1.297 0.937985
1.298 0.939241
1.299 0.940497
1.3 0.942004
1.301 0.943562
1.302 0.945119
1.303 0.946677
1.304 0.948234
1.305 0.949839
1.306 0.951449
1.307 0.953058
1.308 0.954668
1.309 0.956278
1.31 0.957689
1.311 0.959093
1.312 0.960497
1.313 0.961902
1.314 0.963293
1.315 0.964267
1.316 0.965241
1.317 0.966215
1.318 0.967189
1.319 0.968107
1.32 0.968495
1.321 0.968883
1.322 0.969271
1.323 0.969659
1.324 0.969941
1.325 0.969681
1.326 0.969421
1.327 0.969161
1.328 0.968901
1.329 0.968503
1.33 0.967636
1.331 0.966769
1.332 0.965903
1.333 0.965036
1.334 0.964032
1.335 0.962697
1.336 0.961363
1.337 0.960029
1.338 0.958694
1.339 0.95651
1.34 0.952812
1.341 0.949114
1.342 0.945416
1.343 0.941719
1.344 0.878491
1.345 0.60096
1.346 0.311503
1.347 0.18161
1.348 0.116222
1.349 0.0814876
1.35 0.0573577
1.351 0.0475817
1.352 0.0378673
1.353 0.0281528
1.354 0.0184384
1.355 0.0119545
1.356 0.0102257
1.357 0.00849696
1.358 0.0067682
1.359 0.00503943
1.36 0.00331066
1.361 0.00259104
1.362 0.00236535
1.363 0.00213966
1.364 0.00191397
1.365 0.00168828
1.366 0.00146259
1.367 0.0012369
1.368 0.0010112
1.369 0.000785514
1.37 0.000571874
1.371 0.000524378
1.372 0.000476882
1.373 0.000429385
1.374 0.000381889
1.375 0.000334393
1.376 0.000286897
1.377 0.000245351
1.378 0.00022747
1.379 0.000209589
1.38 0.000191708
1.381 0.000173827
1.382 0.000155946
1.383 0.000138691
1.384 0.000136944
1.385 0.000135197
1.386 0.00013345
1.387 0.000131704
1.388 0.000129957
1.389 0.00012821
1.39 0.000126463
1.391 0.000124716
1.392 0.000122969
1.393 0.000121222
1.394 0.000119475
1.395 0.000117728
1.396 0.000115981
1.397 0.000114235
1.398 0.000112488
1.399 0.000110741
1.4 0.000108994
1.401 0.000107247
1.402 0.0001055
1.403 0.000103753
1.404 0.000102006
1.405 0.000100259
1.406 0.0000
1.407 0.0000
