# source : Generic_Bessell.I SVO
# wavelength_unit : angstrom
# download_date : 2020-05-23
wavelength transmission
11700 0.976777
11705 0.970486
11710 0.971351
11715 0.978771
11720 0.974734
11725 0.969387
11730 0.968874
11735 0.950085
11740 0.92616
11745 0.950492
11750 0.970293
11755 0.969632
11760 0.985673
11765 0.992625
11770 0.976347
11775 0.939686
11780 0.939704
11785 0.967125
11790 0.977988
11795 0.963961
11800 0.970498
11805 0.984841
11810 0.973231
11815 0.931265
11820 0.901812
11825 0.940128
11830 0.97894
11835 0.983834
11840 0.963308
11845 0.942425
11850 0.948056
11855 0.974568
11860 0.985875
11865 0.981767
11870 0.971953
11875 0.946152
11880 0.927766
11885 0.942206
11890 0.966158
11895 0.97845
11900 0.98131
11905 0.975805
11910 0.976528
11915 0.981461
11920 0.98515
11925 0.989246
11930 0.980573
11935 0.969614
11940 0.980815
11945 0.985875
11950 0.979645
11955 0.975587
11960 0.978874
11965 0.984236
11970 0.983552
11975 0.974215
11980 0.976686
11985 0.965804
11990 0.953592
11995 0.969139
12000 0.979289
12005 0.977727
12010 0.973854
12015 0.96744
12020 0.96946
12025 0.98217
12030 0.974242
12035 0.938635
12040 0.931655
12045 0.961394
12050 0.96694
12055 0.979921
12060 0.988763
12065 0.981954
12070 0.975657
12075 0.97462
12080 0.974888
12085 0.976584
12090 0.974079
12095 0.975023
12100 0.980829
12105 0.988011
12110 0.979813
12115 0.970395
12120 0.975829
12125 0.981656
12130 0.989676
12135 0.989908
12140 0.981482
12145 0.97762
12150 0.979185
12155 0.985892
12160 0.991672
12165 0.988323
12170 0.988118
12175 0.992453
12180 0.990045
12185 0.988053
12190 0.985249
12195 0.986161
12200 0.988808
12205 0.991329
12210 0.991927
12215 0.985437
12220 0.984916
12225 0.98675
12230 0.98793
12235 0.988101
12240 0.989341
12245 0.992705
12250 0.993683
12255 0.99338
12260 0.994528
12265 0.992313
12270 0.988305
12275 0.991586
12280 0.996353
12285 0.99734
12290 0.996037
12295 0.995
12300 0.996146
12305 0.998058
12310 0.998798
12315 0.998681
12320 0.99861
12325 0.997529
12330 0.996024
12335 0.996784
12340 0.998865
12345 0.999455
12350 0.999224
12355 0.999201
12360 0.999391
12365 0.998944
12370 0.998798
12375 0.999424
12380 0.999618
12385 0.999606
12390 0.999781
12395 0.99993
12400 0.999797
12405 0.999385
12410 0.99935
12415 0.999734
12420 0.999924
12425 0.999974
12430 0.999987
12435 0.999939
12440 0.999773
12445 0.999739
12450 0.999856
12455 0.999907
12460 0.999909
12465 0.999764
12470 0.999769
12475 0.999678
12480 0.999199
12485 0.999371
12490 0.999458
12495 0.998813
12500 0.999102
12505 0.999015
12510 0.997745
12515 0.998324
12520 0.99845
12525 0.996314
12530 0.997153
12535 0.997924
12540 0.994379
12545 0.994844
12550 0.997322
12555 0.993264
12560 0.992223
12565 0.996706
12570 0.993291
12575 0.988848
12580 0.994142
12585 0.993098
12590 0.984481
12595 0.986507
12600 0.987911
12605 0.976332
12610 0.96995
12615 0.97284
12620 0.964341
12625 0.951234
12630 0.952896
12635 0.952426
12640 0.940197
12645 0.937113
12650 0.94514
12655 0.94353
12660 0.935879
12665 0.944456
12670 0.956846
12675 0.957313
12680 0.92053
12685 0.827965
12690 0.807267
12695 0.886275
12700 0.948279
12705 0.969009
12710 0.972691
12715 0.972872
12720 0.970527
12725 0.970182
12730 0.970524
12735 0.974835
12740 0.971955
12745 0.974446
12750 0.976771
12755 0.982604
12760 0.979863
12765 0.980001
12770 0.984974
12775 0.988458
12780 0.989417
12785 0.987455
12790 0.99239
12795 0.99362
12800 0.992737
12805 0.992026
12810 0.994972
12815 0.997955
12820 0.996923
12825 0.995505
12830 0.997479
12835 0.998524
12840 0.99736
12845 0.995762
12850 0.997514
12855 0.999254
12860 0.998899
12865 0.997613
12870 0.997433
12875 0.998147
12880 0.997244
12885 0.994733
12890 0.993903
12895 0.996418
12900 0.997936
12905 0.998285
12910 0.997258
12915 0.993251
12920 0.991921
12925 0.995091
12930 0.99726
12935 0.997584
12940 0.996804
12945 0.99684
12950 0.995199
12955 0.991666
12960 0.991817
12965 0.992422
12970 0.987373
12975 0.985714
12980 0.991971
12985 0.996272
12990 0.994008
12995 0.985871
13000 0.982165
13005 0.978732
13010 0.980889
13015 0.990831
13020 0.993541
13025 0.986085
13030 0.976738
13035 0.965915
13040 0.955407
13045 0.962769
13050 0.985006
13055 0.98931
13060 0.982626
13065 0.961445
13070 0.960899
13075 0.974298
13080 0.967194
13085 0.975655
13090 0.981421
13095 0.955877
13100 0.941234
13105 0.94841
13110 0.971694
13115 0.98802
13120 0.974471
13125 0.959905
13130 0.949271
13135 0.924982
13140 0.93072
13145 0.950727
13150 0.953239
13155 0.955262
13160 0.969497
13165 0.966207
13170 0.947109
13175 0.966528
13180 0.963793
13185 0.938209
13190 0.936239
13195 0.933048
13200 0.906022
13205 0.917669
13210 0.942001
13215 0.935802
13220 0.947142
13225 0.936449
13230 0.91291
13235 0.925838
13240 0.931362
13245 0.948152
13250 0.958899
13255 0.939779
13260 0.949633
13265 0.950142
13270 0.927565
13275 0.925407
13280 0.902933
13285 0.860525
13290 0.860352
13295 0.899508
13300 0.910738
13305 0.890063
13310 0.841053
13315 0.807372
13320 0.804376
13325 0.821738
13330 0.870898
