# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 2.198062005264801
# width : 0.030834018084589923
# blue_cutoff : 2.182644996222506
# red_cutoff : 2.2134790143070964
# wavelength_unit : um
#  
wavelength transmission
2.102 0.0000
2.103 0.0000
2.104 0.0001
2.105 0.000100026
2.106 0.000100221
2.107 0.000100416
2.108 0.000100612
2.109 0.000100807
2.11 0.000101003
2.111 0.000101198
2.112 0.000101393
2.113 0.000101589
2.114 0.000101784
2.115 0.000101979
2.116 0.000102175
2.117 0.00010237
2.118 0.000102566
2.119 0.000102761
2.12 0.000102956
2.121 0.000103152
2.122 0.000103347
2.123 0.000103543
2.124 0.000103738
2.125 0.000103933
2.126 0.000104129
2.127 0.000104324
2.128 0.00010452
2.129 0.000104715
2.13 0.00010491
2.131 0.000105106
2.132 0.000107333
2.133 0.000114983
2.134 0.000122634
2.135 0.000130285
2.136 0.000137936
2.137 0.000154272
2.138 0.000177417
2.139 0.000200562
2.14 0.000223707
2.141 0.000246852
2.142 0.000269996
2.143 0.000293141
2.144 0.000316286
2.145 0.000339431
2.146 0.000362576
2.147 0.000385721
2.148 0.000408866
2.149 0.000432011
2.15 0.000455155
2.151 0.000574558
2.152 0.000705723
2.153 0.000836888
2.154 0.000968053
2.155 0.00109922
2.156 0.00123038
2.157 0.00136155
2.158 0.00149271
2.159 0.00162388
2.16 0.00175504
2.161 0.00188621
2.162 0.00201737
2.163 0.00214854
2.164 0.0027407
2.165 0.00352818
2.166 0.00431567
2.167 0.00510315
2.168 0.00589063
2.169 0.00667812
2.17 0.0074656
2.171 0.00825309
2.172 0.00904057
2.173 0.0100481
2.174 0.0151694
2.175 0.0202907
2.176 0.025412
2.177 0.0305333
2.178 0.0356546
2.179 0.0407759
2.18 0.0458972
2.181 0.056974
2.182 0.0778728
2.183 0.0987716
2.184 0.130503
2.185 0.18178
2.186 0.260532
2.187 0.362137
2.188 0.501307
2.189 0.700558
2.19 0.785578
2.191 0.811547
2.192 0.818996
2.193 0.818265
2.194 0.809345
2.195 0.796602
2.196 0.785126
2.197 0.780424
2.198 0.783926
2.199 0.794508
2.2 0.807471
2.201 0.817204
2.202 0.819596
2.203 0.813159
2.204 0.801294
2.205 0.788659
2.206 0.781224
2.207 0.781689
2.208 0.790143
2.209 0.80297
2.21 0.814435
2.211 0.819814
2.212 0.816225
2.213 0.803755
2.214 0.753887
2.215 0.617198
2.216 0.45746
2.217 0.316328
2.218 0.224424
2.219 0.158586
2.22 0.114088
2.221 0.0922625
2.222 0.0734449
2.223 0.0611115
2.224 0.0487782
2.225 0.0434852
2.226 0.0385196
2.227 0.033554
2.228 0.0285884
2.229 0.0236228
2.23 0.0186571
2.231 0.0136915
2.232 0.0103254
2.233 0.0094417
2.234 0.008558
2.235 0.00767431
2.236 0.00679061
2.237 0.00590692
2.238 0.00502322
2.239 0.00413953
2.24 0.00325583
2.241 0.00237213
2.242 0.00221606
2.243 0.0021007
2.244 0.00198534
2.245 0.00186997
2.246 0.00175461
2.247 0.00163924
2.248 0.00152388
2.249 0.00140851
2.25 0.00129315
2.251 0.00117778
2.252 0.00106242
2.253 0.000947054
2.254 0.000831689
2.255 0.000716325
2.256 0.00060096
2.257 0.000497026
2.258 0.000472748
2.259 0.000448469
2.26 0.000424191
2.261 0.000399913
2.262 0.000375635
2.263 0.000351357
2.264 0.000327079
2.265 0.000302801
2.266 0.000278523
2.267 0.000254245
2.268 0.000229967
2.269 0.000217995
2.27 0.000208855
2.271 0.000199715
2.272 0.000190575
2.273 0.000181435
2.274 0.000172295
2.275 0.000163155
2.276 0.000154015
2.277 0.000144874
2.278 0.000135734
2.279 0.000132049
2.28 0.000131156
2.281 0.000130263
2.282 0.00012937
2.283 0.000128477
2.284 0.000127584
2.285 0.000126691
2.286 0.000125798
2.287 0.000124905
2.288 0.000124012
2.289 0.000123119
2.29 0.000122226
2.291 0.000121333
2.292 0.00012044
2.293 0.000119547
2.294 0.000118654
2.295 0.000117761
2.296 0.000116869
2.297 0.000115976
2.298 0.000115083
2.299 0.00011419
2.3 0.000113297
2.301 0.000112404
2.302 0.000111511
2.303 0.000110618
2.304 0.000109725
2.305 0.000108832
2.306 0.000107939
2.307 0.000107046
2.308 0.000106153
2.309 0.00010526
2.31 0.000104367
2.311 0.000103474
2.312 0.000102581
2.313 0.000101688
2.314 0.000100795
2.315 0.0001
2.316 0.0000
2.317 0.0000
