# author : Ric Davies
# source : Ric Davies
# date_created : 2017-11-20
# date_modified : 2017-11-20
# status : Design, pre PDR list of filters
# type : filter:transmission
# center : 2.3049951389611416
# width : 0.04686924049904058
# blue_cutoff : 2.2815605187116215
# red_cutoff : 2.3284297592106618
#  
wavelength transmission
2.197 0.0000
2.198 0.0000
2.199 0.0001
2.2 0.000100159
2.201 0.000100346
2.202 0.000100533
2.203 0.00010072
2.204 0.000100907
2.205 0.000101094
2.206 0.000101281
2.207 0.000101468
2.208 0.000101655
2.209 0.000101842
2.21 0.000102029
2.211 0.000102216
2.212 0.000102403
2.213 0.00010259
2.214 0.000102777
2.215 0.000102964
2.216 0.000103151
2.217 0.000103338
2.218 0.000103525
2.219 0.000103712
2.22 0.000103899
2.221 0.000104086
2.222 0.000104273
2.223 0.00010446
2.224 0.000104647
2.225 0.000104834
2.226 0.000105021
2.227 0.000105208
2.228 0.000111022
2.229 0.000118345
2.23 0.000125668
2.231 0.000132991
2.232 0.000140313
2.233 0.000160471
2.234 0.000182623
2.235 0.000204776
2.236 0.000226929
2.237 0.000249081
2.238 0.000271234
2.239 0.000293386
2.24 0.000315539
2.241 0.000337692
2.242 0.000359844
2.243 0.000381997
2.244 0.000404149
2.245 0.000426302
2.246 0.000448454
2.247 0.000530959
2.248 0.0006565
2.249 0.000782041
2.25 0.000907582
2.251 0.00103312
2.252 0.00115866
2.253 0.00128421
2.254 0.00140975
2.255 0.00153529
2.256 0.00166083
2.257 0.00178637
2.258 0.00191191
2.259 0.00203745
2.26 0.00216299
2.261 0.00279373
2.262 0.00354747
2.263 0.0043012
2.264 0.00505494
2.265 0.00580868
2.266 0.00656242
2.267 0.00731615
2.268 0.00806989
2.269 0.00882363
2.27 0.00957737
2.271 0.0133195
2.272 0.0182212
2.273 0.0231229
2.274 0.0280245
2.275 0.0329262
2.276 0.0378279
2.277 0.0427296
2.278 0.0484953
2.279 0.0631578
2.28 0.0831608
2.281 0.103164
2.282 0.138549
2.283 0.191572
2.284 0.266956
2.285 0.367962
2.286 0.500745
2.287 0.695397
2.288 0.779515
2.289 0.804818
2.29 0.81326
2.291 0.817904
2.292 0.819733
2.293 0.818462
2.294 0.814294
2.295 0.807885
2.296 0.800244
2.297 0.792572
2.298 0.786071
2.299 0.781763
2.3 0.78032
2.301 0.781969
2.302 0.786447
2.303 0.79305
2.304 0.800739
2.305 0.808308
2.306 0.814569
2.307 0.818539
2.308 0.819596
2.309 0.817577
2.31 0.812799
2.311 0.806014
2.312 0.798288
2.313 0.790833
2.314 0.78482
2.315 0.781192
2.316 0.780518
2.317 0.782903
2.318 0.787972
2.319 0.794928
2.32 0.80268
2.321 0.81001
2.322 0.815767
2.323 0.819049
2.324 0.819339
2.325 0.816593
2.326 0.811241
2.327 0.799977
2.328 0.760822
2.329 0.636867
2.33 0.506049
2.331 0.356178
2.332 0.244861
2.333 0.17961
2.334 0.122733
2.335 0.101977
2.336 0.0812198
2.337 0.0678079
2.338 0.0560773
2.339 0.0466669
2.34 0.0419447
2.341 0.0372225
2.342 0.0325003
2.343 0.0277781
2.344 0.0230559
2.345 0.0183337
2.346 0.0136115
2.347 0.0103545
2.348 0.00951412
2.349 0.00867376
2.35 0.0078334
2.351 0.00699304
2.352 0.00615269
2.353 0.00531233
2.354 0.00447197
2.355 0.00363161
2.356 0.00279125
2.357 0.00227643
2.358 0.00216672
2.359 0.00205701
2.36 0.0019473
2.361 0.00183759
2.362 0.00172788
2.363 0.00161816
2.364 0.00150845
2.365 0.00139874
2.366 0.00128903
2.367 0.00117932
2.368 0.0010696
2.369 0.000959892
2.37 0.000850181
2.371 0.000740469
2.372 0.000630757
2.373 0.000521045
2.374 0.000481398
2.375 0.000458309
2.376 0.000435221
2.377 0.000412133
2.378 0.000389045
2.379 0.000365957
2.38 0.000342868
2.381 0.00031978
2.382 0.000296692
2.383 0.000273604
2.384 0.000250516
2.385 0.000227427
2.386 0.000217488
2.387 0.000208796
2.388 0.000200104
2.389 0.000191412
2.39 0.00018272
2.391 0.000174028
2.392 0.000165336
2.393 0.000156644
2.394 0.000147952
2.395 0.00013926
2.396 0.000132437
2.397 0.000131588
2.398 0.000130738
2.399 0.000129889
2.4 0.00012904
2.401 0.000128191
2.402 0.000127342
2.403 0.000126493
2.404 0.000125643
2.405 0.000124794
2.406 0.000123945
2.407 0.000123096
2.408 0.000122247
2.409 0.000121397
2.41 0.000120548
2.411 0.000119699
2.412 0.00011885
2.413 0.000118001
2.414 0.000117152
2.415 0.000116302
2.416 0.000115453
2.417 0.000114604
2.418 0.000113755
2.419 0.000112906
2.42 0.000112056
2.421 0.000111207
2.422 0.000110358
2.423 0.000109509
2.424 0.00010866
2.425 0.000107811
2.426 0.000106961
2.427 0.000106112
2.428 0.000105263
2.429 0.000104414
2.43 0.000103565
2.431 0.000102715
2.432 0.000101866
2.433 0.000101017
2.434 0.000100168
2.435 0.0001
2.436 0.0000
2.437 0.0000
